case,context_fill,context_tokens,seq_len,layer,head,correct,pathology,attention_entropy,frac_system,frac_early_cases,frac_recent_cases,frac_current_query,peak_position,peak_relative
0,0.0005,16,192,0,0,False,Guillain-Barré syndrome,2.5014233589172363,0.012844161130487919,0.0,0.0,0.9871557950973511,191,1.0
0,0.0005,16,192,0,1,False,Guillain-Barré syndrome,2.9211106300354004,0.021832920610904694,0.0,0.0,0.9781670570373535,171,0.8952879581151832
0,0.0005,16,192,0,2,False,Guillain-Barré syndrome,1.0892821550369263,0.07393579930067062,0.0,0.0,0.926064133644104,191,1.0
0,0.0005,16,192,0,3,False,Guillain-Barré syndrome,1.3508830070495605,0.8969089388847351,0.0,0.0,0.10309086740016937,0,0.0
0,0.0005,16,192,0,4,False,Guillain-Barré syndrome,2.9322361946105957,0.2512483596801758,0.0,0.0,0.7487515807151794,191,1.0
0,0.0005,16,192,0,5,False,Guillain-Barré syndrome,3.44058895111084,0.3855426609516144,0.0,0.0,0.614457368850708,0,0.0
0,0.0005,16,192,0,6,False,Guillain-Barré syndrome,3.200373888015747,0.4576510488986969,0.0,0.0,0.5423489212989807,0,0.0
0,0.0005,16,192,0,7,False,Guillain-Barré syndrome,3.012681245803833,0.167524054646492,0.0,0.0,0.8324758410453796,185,0.9685863874345549
0,0.0005,16,192,0,8,False,Guillain-Barré syndrome,3.3522510528564453,0.5126596689224243,0.0,0.0,0.4873403310775757,1,0.005235602094240838
0,0.0005,16,192,0,9,False,Guillain-Barré syndrome,3.745447874069214,0.17321760952472687,0.0,0.0,0.8267824649810791,186,0.9738219895287958
0,0.0005,16,192,0,10,False,Guillain-Barré syndrome,3.2034995555877686,0.46824467182159424,0.0,0.0,0.5317553877830505,1,0.005235602094240838
0,0.0005,16,192,0,11,False,Guillain-Barré syndrome,4.398948669433594,0.08386366814374924,0.0,0.0,0.9161363244056702,183,0.9581151832460733
0,0.0005,16,192,0,12,False,Guillain-Barré syndrome,4.297199249267578,0.18126267194747925,0.0,0.0,0.8187373876571655,0,0.0
0,0.0005,16,192,0,13,False,Guillain-Barré syndrome,4.753942489624023,0.16791878640651703,0.0,0.0,0.8320811986923218,0,0.0
0,0.0005,16,192,0,14,False,Guillain-Barré syndrome,4.310586452484131,0.19005846977233887,0.0,0.0,0.8099414706230164,185,0.9685863874345549
0,0.0005,16,192,0,15,False,Guillain-Barré syndrome,4.110499858856201,0.36390072107315063,0.0,0.0,0.6360993385314941,0,0.0
0,0.0005,16,192,0,16,False,Guillain-Barré syndrome,3.095351457595825,0.11014646291732788,0.0,0.0,0.8898534774780273,171,0.8952879581151832
0,0.0005,16,192,0,17,False,Guillain-Barré syndrome,3.450497627258301,0.45311471819877625,0.0,0.0,0.5468851923942566,0,0.0
0,0.0005,16,192,0,18,False,Guillain-Barré syndrome,2.5626931190490723,0.6393890976905823,0.0,0.0,0.3606109023094177,0,0.0
0,0.0005,16,192,0,19,False,Guillain-Barré syndrome,4.757262229919434,0.09213615953922272,0.0,0.0,0.9078638553619385,191,1.0
