layer,mode,auroc_mean,auroc_std,acc_mean,acc_std
0,last,0.5,0.0,0.6666666666666666,0.007022084070579068
1,last,0.9126687537760201,0.03540489860584797,0.8335595776772248,0.047928214693533595
2,last,0.9224309331575767,0.03240385209767579,0.8451734539969834,0.04010875428544848
3,last,0.9219168451694403,0.030523640248553086,0.8487933634992458,0.0381407973083919
4,last,0.9384451035316086,0.030765042107292258,0.8529411764705882,0.04645452585596597
5,last,0.9433761739990112,0.027828620915908465,0.8527903469079939,0.028794821191750072
6,last,0.9413571703191079,0.021535549993332827,0.8567119155354449,0.030935691152682798
7,last,0.9385906519470535,0.018843075272807566,0.8605580693815987,0.02784470596889121
8,last,0.944364255506124,0.021295550231698462,0.848868778280543,0.030802484027361993
9,last,0.946997857966716,0.031474648528913525,0.8838612368024134,0.044132147518396295
10,last,0.9831372549019608,0.010167952812517558,0.930316742081448,0.008866931195595182
11,last,0.9804674026473336,0.010009160757898034,0.9303921568627451,0.019244220889081665
12,last,0.9797385620915031,0.014447534579607329,0.930316742081448,0.008866931195595182
13,last,0.9719069588619762,0.017107630180780094,0.9186274509803922,0.014452116882304323
14,last,0.9668149612786291,0.020851441462318644,0.895475113122172,0.0358608188721691
15,last,0.9722716537595429,0.01356199678876859,0.9148567119155355,0.025996121611258714
16,last,0.9800444883835887,0.010693923320415423,0.9187028657616894,0.022413039549421736
17,last,0.9837930466304169,0.009011041300835076,0.9264705882352942,0.022253111714115308
18,last,0.9874531773493711,0.008328328816231119,0.9457767722473605,0.014297815174846533
19,last,0.9891343988575821,0.008964271216673257,0.9420060331825038,0.03209198019429653
20,last,0.9870978195199649,0.011532551802444748,0.934238310708899,0.03550795080874474
21,last,0.9850804635579722,0.0112372227884956,0.934238310708899,0.03550795080874474
22,last,0.9868006810567364,0.012110370392530278,0.9380844645550528,0.03295755370545965
23,last,0.9878184214862415,0.009145665053960847,0.9304675716440423,0.037517318840491184
24,last,0.9871071565881253,0.010006426014083485,0.9381598793363499,0.03054438296343597
25,last,0.9850799143186686,0.011217566240839229,0.9303921568627451,0.02581081218779154
26,last,0.9827264239028946,0.012870260272726634,0.9303921568627451,0.02581081218779154
27,last,0.9810649750096117,0.012424672721056377,0.934238310708899,0.028583694449593407
28,last,0.9806903938045807,0.012396381405979165,0.9303921568627451,0.031017027806660158
29,last,0.9813335530290546,0.012657214495392973,0.9303921568627451,0.031017027806660158
30,last,0.9783077937057175,0.014621804547760952,0.9186274509803922,0.028294516407091092
31,last,0.9783363541495029,0.01288044130716444,0.9147812971342384,0.031200217018352145
32,last,0.9770099412313945,0.011475731090657318,0.9148567119155355,0.039539503073817116
33,last,0.9770011534025376,0.013966850132582054,0.9110105580693817,0.03554509135229101
34,last,0.9770308123249298,0.01645667203027153,0.9147058823529413,0.03150894182543655
35,last,0.9777223046081177,0.016399958595942007,0.9110105580693816,0.039488118559997176
36,last,0.9780392156862744,0.016749294976790955,0.9070135746606336,0.028369994279488213
0,mean,0.9016015818091944,0.050737446866296075,0.7870286576168929,0.06543787115127407
1,mean,0.9006684242324381,0.0533706575613484,0.7829562594268477,0.05829840636960836
2,mean,0.8956500247157686,0.06461345980716816,0.806184012066365,0.07883496346051186
3,mean,0.9135920250453122,0.04981864091843894,0.8214932126696832,0.07374455125573068
4,mean,0.922028340748064,0.04698420525053415,0.8411010558069382,0.06770281923962253
5,mean,0.9328604382929642,0.03734324185309503,0.87579185520362,0.05629277738861877
6,mean,0.9263953424507058,0.03733711922218202,0.8644042232277526,0.032113416837620076
7,mean,0.922637447135717,0.03332164116443304,0.844947209653092,0.04277913024710353
8,mean,0.9341088592299664,0.027376863669239828,0.8564856711915535,0.029696192107776936
9,mean,0.9276822101389575,0.02773724991276707,0.8565610859728506,0.03626392510426387
10,mean,0.9296924259900038,0.031336857605225685,0.8487933634992458,0.04183991404730075
11,mean,0.9351496677102213,0.02646331926676193,0.8642533936651583,0.033102708114347436
12,mean,0.9431240731586751,0.03234729098691057,0.8683257918552035,0.028206942940949897
13,mean,0.9518053495908166,0.025190719776186535,0.887707390648567,0.02205595500292792
14,mean,0.965988905366068,0.02011798435888287,0.887707390648567,0.028282453429689835
15,mean,0.9781589498544516,0.009357628814983693,0.9109351432880846,0.0194189766991627
16,mean,0.9827906849014116,0.00988312893253609,0.9187782805429865,0.03312898467521365
17,mean,0.9862206843521722,0.00870896077820451,0.9341628959276018,0.026405514027063412
18,mean,0.9865013456362938,0.007860436829822693,0.9420814479638009,0.038464200067607986
19,mean,0.987154391168232,0.008026064894723363,0.9381598793363499,0.025356643180172566
20,mean,0.9888833964958532,0.006046339982484915,0.9458521870286576,0.02235332791559317
21,mean,0.9861849837974406,0.008248927733016253,0.9380844645550528,0.028320635231453596
22,mean,0.9871642774756962,0.007325287592731146,0.9380844645550528,0.028320635231453596
23,mean,0.9868094688855933,0.008788947586284812,0.9380844645550528,0.022498897567378044
24,mean,0.9851287966166857,0.009978458741878844,0.9303921568627451,0.02603678258971184
25,mean,0.9841670785961443,0.008938277226750014,0.9265460030165913,0.03068037920987298
26,mean,0.9848300104355466,0.00832679824857357,0.9343137254901961,0.02588869825568712
27,mean,0.9835233701323667,0.008604027911646401,0.9266214177978884,0.03286008172825633
28,mean,0.9821788323172406,0.00989778563892587,0.9304675716440423,0.03104452014012386
29,mean,0.9824188498928983,0.008487388400376873,0.9266214177978884,0.03903295983442973
30,mean,0.9783934750370736,0.011228125345099387,0.9188536953242835,0.04439580486958909
31,mean,0.9787202724226945,0.011929243308787547,0.9343137254901961,0.03946895820605173
32,mean,0.9777503158125995,0.01312321042581309,0.9265460030165913,0.03721656419808424
33,mean,0.9797380128521997,0.009707483050017686,0.9227752639517346,0.04365623533061971
34,mean,0.9790360850222442,0.008205968702463855,0.9227752639517346,0.04365623533061971
35,mean,0.9847630032405119,0.009475150965496316,0.9227752639517346,0.04365623533061971
36,mean,0.9867803592025046,0.007440492037628632,0.9264705882352942,0.013909887917592201
