layer,cv_accuracy_mean,cv_accuracy_std,test_accuracy,n_train,n_test,n_features
0,0.65,0.1224744871391589,0.7,80,20,2560
1,0.675,0.12747548783981963,0.75,80,20,2560
2,0.675,0.15512092057488572,0.65,80,20,2560
3,0.7,0.16488632447841148,0.8,80,20,2560
4,0.7,0.16007810593582122,0.85,80,20,2560
5,0.725,0.1286953767623375,0.85,80,20,2560
6,0.725,0.1286953767623375,0.8,80,20,2560
7,0.775,0.1224744871391589,0.85,80,20,2560
8,0.825,0.046770717334674264,0.8,80,20,2560
9,0.8125,0.07905694150420949,0.9,80,20,2560
10,0.825,0.07288689868556626,0.9,80,20,2560
11,0.8125,0.06846531968814576,0.9,80,20,2560
12,0.8375,0.06373774391990981,0.9,80,20,2560
13,0.8125,0.09682458365518543,0.9,80,20,2560
14,0.825,0.10752906583803283,0.9,80,20,2560
15,0.8125,0.07905694150420949,0.95,80,20,2560
16,0.875,0.03952847075210474,0.95,80,20,2560
17,0.85,0.075,0.95,80,20,2560
18,0.8375,0.0637377439199098,0.95,80,20,2560
19,0.875,0.06846531968814576,0.9,80,20,2560
20,0.85,0.075,0.95,80,20,2560
21,0.8625,0.09185586535436918,0.9,80,20,2560
22,0.8375,0.1015504800579495,0.9,80,20,2560
23,0.85,0.1159202311936963,0.9,80,20,2560
24,0.825,0.11456439237389601,0.85,80,20,2560
25,0.8125,0.10458250331675945,0.85,80,20,2560
26,0.8375,0.1286953767623375,0.85,80,20,2560
27,0.825,0.11456439237389601,0.9,80,20,2560
28,0.8,0.1,0.9,80,20,2560
29,0.8,0.10752906583803283,0.95,80,20,2560
30,0.775,0.09354143466934853,0.95,80,20,2560
31,0.7625,0.1334634781503914,0.9,80,20,2560
32,0.7625,0.1334634781503914,0.85,80,20,2560
33,0.7875,0.1159202311936963,0.85,80,20,2560
34,0.7375,0.1274754878398196,0.85,80,20,2560
35,0.725,0.09354143466934853,0.9,80,20,2560
