layer,probe_method,probe_type,cv_accuracy_mean,cv_accuracy_std,test_accuracy,n_train,n_test,n_features
0,attn,LogisticRegression(attention-summary),0.5625,0.08838834764831845,0.55,80,20,224
1,attn,LogisticRegression(attention-summary),0.525,0.08477912478906585,0.5,80,20,224
2,attn,LogisticRegression(attention-summary),0.575,0.07288689868556625,0.6,80,20,224
3,attn,LogisticRegression(attention-summary),0.575,0.024999999999999998,0.65,80,20,224
4,attn,LogisticRegression(attention-summary),0.525,0.049999999999999996,0.65,80,20,224
5,attn,LogisticRegression(attention-summary),0.575,0.07288689868556626,0.6,80,20,224
6,attn,LogisticRegression(attention-summary),0.525,0.15103807466993216,0.5,80,20,224
7,attn,LogisticRegression(attention-summary),0.4375,0.14252192813739226,0.6,80,20,224
8,attn,LogisticRegression(attention-summary),0.625,0.13693063937629152,0.35,80,20,224
9,attn,LogisticRegression(attention-summary),0.5375,0.1015504800579495,0.55,80,20,224
10,attn,LogisticRegression(attention-summary),0.5625,0.07905694150420949,0.65,80,20,224
11,attn,LogisticRegression(attention-summary),0.625,0.08838834764831845,0.6,80,20,224
12,attn,LogisticRegression(attention-summary),0.5125,0.12747548783981963,0.55,80,20,224
13,attn,LogisticRegression(attention-summary),0.6125,0.10752906583803283,0.45,80,20,224
14,attn,LogisticRegression(attention-summary),0.675,0.046770717334674264,0.55,80,20,224
15,attn,LogisticRegression(attention-summary),0.4875,0.09185586535436918,0.4,80,20,224
16,attn,LogisticRegression(attention-summary),0.6625,0.075,0.55,80,20,224
17,attn,LogisticRegression(attention-summary),0.6125,0.07288689868556625,0.75,80,20,224
18,attn,LogisticRegression(attention-summary),0.4625,0.1346291201783626,0.6,80,20,224
19,attn,LogisticRegression(attention-summary),0.6625,0.03061862178478973,0.6,80,20,224
20,attn,LogisticRegression(attention-summary),0.5375,0.1159202311936963,0.55,80,20,224
21,attn,LogisticRegression(attention-summary),0.6375,0.1274754878398196,0.55,80,20,224
22,attn,LogisticRegression(attention-summary),0.5875,0.08477912478906585,0.45,80,20,224
23,attn,LogisticRegression(attention-summary),0.625,0.10458250331675945,0.5,80,20,224
24,attn,LogisticRegression(attention-summary),0.575,0.046770717334674264,0.45,80,20,224
25,attn,LogisticRegression(attention-summary),0.6375,0.09999999999999999,0.75,80,20,224
26,attn,LogisticRegression(attention-summary),0.6375,0.07288689868556625,0.75,80,20,224
27,attn,LogisticRegression(attention-summary),0.5875,0.049999999999999996,0.65,80,20,224
28,attn,LogisticRegression(attention-summary),0.5,0.07905694150420949,0.6,80,20,224
29,attn,LogisticRegression(attention-summary),0.625,0.125,0.6,80,20,224
30,attn,LogisticRegression(attention-summary),0.4375,0.1767766952966369,0.65,80,20,224
31,attn,LogisticRegression(attention-summary),0.6375,0.06123724356957946,0.65,80,20,224
32,attn,LogisticRegression(attention-summary),0.5375,0.1457737973711325,0.65,80,20,224
33,attn,LogisticRegression(attention-summary),0.425,0.046770717334674264,0.55,80,20,224
34,attn,LogisticRegression(attention-summary),0.5625,0.125,0.55,80,20,224
35,attn,LogisticRegression(attention-summary),0.65,0.075,0.6,80,20,224
