layer,probe_method,probe_type,cv_accuracy_mean,cv_accuracy_std,test_accuracy,n_train,n_test,n_features
0,dmm,DifferenceOfMeans(hidden-state),0.6125,0.046770717334674264,0.65,80,20,2560
1,dmm,DifferenceOfMeans(hidden-state),0.625,0.05590169943749474,0.6,80,20,2560
2,dmm,DifferenceOfMeans(hidden-state),0.6375,0.046770717334674264,0.6,80,20,2560
3,dmm,DifferenceOfMeans(hidden-state),0.65,0.1286953767623375,0.7,80,20,2560
4,dmm,DifferenceOfMeans(hidden-state),0.6875,0.13110110602126895,0.8,80,20,2560
5,dmm,DifferenceOfMeans(hidden-state),0.7375,0.12119199643540823,0.8,80,20,2560
6,dmm,DifferenceOfMeans(hidden-state),0.7375,0.09999999999999999,0.8,80,20,2560
7,dmm,DifferenceOfMeans(hidden-state),0.8,0.07288689868556626,0.85,80,20,2560
8,dmm,DifferenceOfMeans(hidden-state),0.775,0.09354143466934853,0.95,80,20,2560
9,dmm,DifferenceOfMeans(hidden-state),0.85,0.030618621784789725,0.95,80,20,2560
10,dmm,DifferenceOfMeans(hidden-state),0.8375,0.075,0.9,80,20,2560
11,dmm,DifferenceOfMeans(hidden-state),0.8625,0.07288689868556626,0.95,80,20,2560
12,dmm,DifferenceOfMeans(hidden-state),0.875,0.08838834764831845,0.95,80,20,2560
13,dmm,DifferenceOfMeans(hidden-state),0.8875,0.07288689868556626,0.9,80,20,2560
14,dmm,DifferenceOfMeans(hidden-state),0.8375,0.0637377439199098,0.95,80,20,2560
15,dmm,DifferenceOfMeans(hidden-state),0.85,0.05,1.0,80,20,2560
16,dmm,DifferenceOfMeans(hidden-state),0.85,0.030618621784789725,1.0,80,20,2560
17,dmm,DifferenceOfMeans(hidden-state),0.875,0.06846531968814576,0.95,80,20,2560
18,dmm,DifferenceOfMeans(hidden-state),0.825,0.06123724356957945,1.0,80,20,2560
19,dmm,DifferenceOfMeans(hidden-state),0.85,0.05,1.0,80,20,2560
20,dmm,DifferenceOfMeans(hidden-state),0.85,0.075,0.95,80,20,2560
21,dmm,DifferenceOfMeans(hidden-state),0.85,0.075,0.95,80,20,2560
22,dmm,DifferenceOfMeans(hidden-state),0.8375,0.0637377439199098,0.95,80,20,2560
23,dmm,DifferenceOfMeans(hidden-state),0.8,0.08291561975888499,1.0,80,20,2560
24,dmm,DifferenceOfMeans(hidden-state),0.8,0.08291561975888499,1.0,80,20,2560
25,dmm,DifferenceOfMeans(hidden-state),0.8375,0.0637377439199098,1.0,80,20,2560
26,dmm,DifferenceOfMeans(hidden-state),0.85,0.049999999999999996,1.0,80,20,2560
27,dmm,DifferenceOfMeans(hidden-state),0.8625,0.07288689868556626,1.0,80,20,2560
28,dmm,DifferenceOfMeans(hidden-state),0.8375,0.0637377439199098,1.0,80,20,2560
29,dmm,DifferenceOfMeans(hidden-state),0.825,0.06123724356957945,1.0,80,20,2560
30,dmm,DifferenceOfMeans(hidden-state),0.8125,0.03952847075210474,1.0,80,20,2560
31,dmm,DifferenceOfMeans(hidden-state),0.8,0.07288689868556626,0.95,80,20,2560
32,dmm,DifferenceOfMeans(hidden-state),0.725,0.075,0.95,80,20,2560
33,dmm,DifferenceOfMeans(hidden-state),0.7,0.09999999999999999,0.95,80,20,2560
34,dmm,DifferenceOfMeans(hidden-state),0.65,0.1346291201783626,0.85,80,20,2560
35,dmm,DifferenceOfMeans(hidden-state),0.6625,0.075,0.85,80,20,2560
