layer,probe_method,probe_type,cv_accuracy_mean,cv_accuracy_std,test_accuracy,n_train,n_test,n_features
0,dmm,DifferenceOfMeans(hidden-state),0.6375,0.1,0.6,80,20,3072
1,dmm,DifferenceOfMeans(hidden-state),0.675,0.06123724356957945,0.6,80,20,3072
2,dmm,DifferenceOfMeans(hidden-state),0.6375,0.025,0.6,80,20,3072
3,dmm,DifferenceOfMeans(hidden-state),0.5875,0.049999999999999996,0.85,80,20,3072
4,dmm,DifferenceOfMeans(hidden-state),0.625,0.0,0.8,80,20,3072
5,dmm,DifferenceOfMeans(hidden-state),0.725,0.049999999999999996,0.75,80,20,3072
6,dmm,DifferenceOfMeans(hidden-state),0.7375,0.10752906583803283,0.8,80,20,3072
7,dmm,DifferenceOfMeans(hidden-state),0.7,0.06123724356957946,0.95,80,20,3072
8,dmm,DifferenceOfMeans(hidden-state),0.775,0.1015504800579495,1.0,80,20,3072
9,dmm,DifferenceOfMeans(hidden-state),0.8,0.046770717334674264,0.9,80,20,3072
10,dmm,DifferenceOfMeans(hidden-state),0.875,0.03952847075210474,0.95,80,20,3072
11,dmm,DifferenceOfMeans(hidden-state),0.9,0.0637377439199098,0.95,80,20,3072
12,dmm,DifferenceOfMeans(hidden-state),0.8875,0.06123724356957945,0.95,80,20,3072
13,dmm,DifferenceOfMeans(hidden-state),0.9125,0.05,0.95,80,20,3072
14,dmm,DifferenceOfMeans(hidden-state),0.9,0.049999999999999996,0.95,80,20,3072
15,dmm,DifferenceOfMeans(hidden-state),0.9125,0.06373774391990981,0.95,80,20,3072
16,dmm,DifferenceOfMeans(hidden-state),0.9,0.049999999999999996,0.95,80,20,3072
17,dmm,DifferenceOfMeans(hidden-state),0.875,0.06846531968814576,0.95,80,20,3072
18,dmm,DifferenceOfMeans(hidden-state),0.8875,0.07288689868556626,0.95,80,20,3072
19,dmm,DifferenceOfMeans(hidden-state),0.875,0.06846531968814576,0.9,80,20,3072
20,dmm,DifferenceOfMeans(hidden-state),0.825,0.07288689868556626,0.95,80,20,3072
21,dmm,DifferenceOfMeans(hidden-state),0.825,0.06123724356957946,0.95,80,20,3072
22,dmm,DifferenceOfMeans(hidden-state),0.8125,0.05590169943749474,0.95,80,20,3072
23,dmm,DifferenceOfMeans(hidden-state),0.7875,0.049999999999999996,0.9,80,20,3072
24,dmm,DifferenceOfMeans(hidden-state),0.8125,0.05590169943749474,0.9,80,20,3072
25,dmm,DifferenceOfMeans(hidden-state),0.825,0.024999999999999998,0.9,80,20,3072
26,dmm,DifferenceOfMeans(hidden-state),0.8,0.024999999999999998,0.9,80,20,3072
27,dmm,DifferenceOfMeans(hidden-state),0.7875,0.03061862178478973,0.9,80,20,3072
28,dmm,DifferenceOfMeans(hidden-state),0.775,0.05,0.9,80,20,3072
29,dmm,DifferenceOfMeans(hidden-state),0.7375,0.046770717334674264,0.85,80,20,3072
30,dmm,DifferenceOfMeans(hidden-state),0.75,0.05590169943749474,0.9,80,20,3072
31,dmm,DifferenceOfMeans(hidden-state),0.7625,0.04677071733467427,0.9,80,20,3072
