layer,cv_accuracy_mean,cv_accuracy_std,test_accuracy,n_train,n_test,n_features
0,0.7375,0.12119199643540822,0.8,80,20,768
1,0.725,0.17940875118009153,0.7,80,20,768
2,0.675,0.1551209205748857,0.75,80,20,768
3,0.7125,0.175,0.85,80,20,768
4,0.7125,0.15103807466993216,0.85,80,20,768
5,0.7,0.15,0.75,80,20,768
6,0.7,0.1334634781503914,0.75,80,20,768
7,0.7125,0.1403121520040228,0.8,80,20,768
8,0.7125,0.1457737973711325,0.75,80,20,768
9,0.7125,0.17500000000000002,0.75,80,20,768
10,0.6875,0.15811388300841897,0.8,80,20,768
11,0.675,0.1446979612848778,0.75,80,20,768
