layer,probe_method,probe_type,cv_accuracy_mean,cv_accuracy_std,test_accuracy,n_train,n_test,n_features
0,lr,LogisticRegression(hidden-state),0.575,0.09185586535436918,0.7,80,20,2560
1,lr,LogisticRegression(hidden-state),0.6125,0.11456439237389598,0.8,80,20,2560
2,lr,LogisticRegression(hidden-state),0.6,0.08477912478906585,0.7,80,20,2560
3,lr,LogisticRegression(hidden-state),0.65,0.075,0.7,80,20,2560
4,lr,LogisticRegression(hidden-state),0.675,0.046770717334674264,0.75,80,20,2560
5,lr,LogisticRegression(hidden-state),0.6625,0.06373774391990981,0.85,80,20,2560
6,lr,LogisticRegression(hidden-state),0.7625,0.046770717334674264,0.85,80,20,2560
7,lr,LogisticRegression(hidden-state),0.775,0.0637377439199098,0.9,80,20,2560
8,lr,LogisticRegression(hidden-state),0.825,0.1,0.9,80,20,2560
9,lr,LogisticRegression(hidden-state),0.825,0.10752906583803283,0.95,80,20,2560
10,lr,LogisticRegression(hidden-state),0.8625,0.07288689868556626,0.85,80,20,2560
11,lr,LogisticRegression(hidden-state),0.85,0.075,0.95,80,20,2560
12,lr,LogisticRegression(hidden-state),0.8625,0.09185586535436918,1.0,80,20,2560
13,lr,LogisticRegression(hidden-state),0.875,0.06846531968814576,1.0,80,20,2560
14,lr,LogisticRegression(hidden-state),0.7625,0.046770717334674264,0.9,80,20,2560
15,lr,LogisticRegression(hidden-state),0.8125,0.03952847075210474,1.0,80,20,2560
16,lr,LogisticRegression(hidden-state),0.8375,0.0637377439199098,1.0,80,20,2560
17,lr,LogisticRegression(hidden-state),0.8375,0.075,0.95,80,20,2560
18,lr,LogisticRegression(hidden-state),0.8625,0.06123724356957946,1.0,80,20,2560
19,lr,LogisticRegression(hidden-state),0.85,0.0637377439199098,0.95,80,20,2560
20,lr,LogisticRegression(hidden-state),0.85,0.0637377439199098,1.0,80,20,2560
21,lr,LogisticRegression(hidden-state),0.8375,0.075,0.95,80,20,2560
22,lr,LogisticRegression(hidden-state),0.8125,0.06846531968814576,0.95,80,20,2560
23,lr,LogisticRegression(hidden-state),0.8125,0.08838834764831845,0.9,80,20,2560
24,lr,LogisticRegression(hidden-state),0.8,0.07288689868556626,1.0,80,20,2560
25,lr,LogisticRegression(hidden-state),0.825,0.08291561975888499,1.0,80,20,2560
26,lr,LogisticRegression(hidden-state),0.8625,0.10752906583803283,1.0,80,20,2560
27,lr,LogisticRegression(hidden-state),0.8625,0.06123724356957946,1.0,80,20,2560
28,lr,LogisticRegression(hidden-state),0.825,0.06123724356957946,1.0,80,20,2560
29,lr,LogisticRegression(hidden-state),0.825,0.046770717334674264,1.0,80,20,2560
30,lr,LogisticRegression(hidden-state),0.8375,0.075,1.0,80,20,2560
31,lr,LogisticRegression(hidden-state),0.8125,0.05590169943749474,1.0,80,20,2560
32,lr,LogisticRegression(hidden-state),0.8,0.07288689868556626,1.0,80,20,2560
33,lr,LogisticRegression(hidden-state),0.7875,0.0637377439199098,1.0,80,20,2560
34,lr,LogisticRegression(hidden-state),0.8125,0.05590169943749474,0.95,80,20,2560
35,lr,LogisticRegression(hidden-state),0.8,0.07288689868556626,0.9,80,20,2560
