layer,probe_method,probe_type,cv_accuracy_mean,cv_accuracy_std,test_accuracy,n_train,n_test,n_features
0,lr,LogisticRegression(hidden-state),0.6125,0.13919410907075055,0.6,80,20,768
1,lr,LogisticRegression(hidden-state),0.55,0.12119199643540823,0.5,80,20,768
2,lr,LogisticRegression(hidden-state),0.6125,0.1334634781503914,0.55,80,20,768
3,lr,LogisticRegression(hidden-state),0.6375,0.10752906583803283,0.6,80,20,768
4,lr,LogisticRegression(hidden-state),0.6625,0.09354143466934853,0.6,80,20,768
5,lr,LogisticRegression(hidden-state),0.65,0.1015504800579495,0.7,80,20,768
6,lr,LogisticRegression(hidden-state),0.65,0.15103807466993216,0.75,80,20,768
7,lr,LogisticRegression(hidden-state),0.6375,0.1334634781503914,0.8,80,20,768
8,lr,LogisticRegression(hidden-state),0.6375,0.1334634781503914,0.8,80,20,768
9,lr,LogisticRegression(hidden-state),0.6625,0.075,0.85,80,20,768
10,lr,LogisticRegression(hidden-state),0.6625,0.075,0.95,80,20,768
11,lr,LogisticRegression(hidden-state),0.6625,0.0637377439199098,0.8,80,20,768
