layer,probe_method,probe_type,cv_accuracy_mean,cv_accuracy_std,test_accuracy,n_train,n_test,n_features
0,lr,LogisticRegression(hidden-state),0.575,0.10752906583803283,0.65,80,20,3072
1,lr,LogisticRegression(hidden-state),0.6125,0.09185586535436918,0.65,80,20,3072
2,lr,LogisticRegression(hidden-state),0.6625,0.049999999999999996,0.7,80,20,3072
3,lr,LogisticRegression(hidden-state),0.7375,0.06123724356957946,0.85,80,20,3072
4,lr,LogisticRegression(hidden-state),0.8375,0.0637377439199098,0.95,80,20,3072
5,lr,LogisticRegression(hidden-state),0.825,0.07288689868556626,0.85,80,20,3072
6,lr,LogisticRegression(hidden-state),0.8625,0.07288689868556626,0.85,80,20,3072
7,lr,LogisticRegression(hidden-state),0.875,0.06846531968814576,0.95,80,20,3072
8,lr,LogisticRegression(hidden-state),0.8875,0.06123724356957946,0.95,80,20,3072
9,lr,LogisticRegression(hidden-state),0.875,0.03952847075210474,0.95,80,20,3072
10,lr,LogisticRegression(hidden-state),0.825,0.025,0.8,80,20,3072
11,lr,LogisticRegression(hidden-state),0.85,0.03061862178478973,0.85,80,20,3072
12,lr,LogisticRegression(hidden-state),0.8625,0.04677071733467427,0.9,80,20,3072
13,lr,LogisticRegression(hidden-state),0.85,0.05,0.9,80,20,3072
14,lr,LogisticRegression(hidden-state),0.8125,0.05590169943749474,0.95,80,20,3072
15,lr,LogisticRegression(hidden-state),0.825,0.046770717334674264,0.9,80,20,3072
16,lr,LogisticRegression(hidden-state),0.8125,0.0,0.9,80,20,3072
17,lr,LogisticRegression(hidden-state),0.7625,0.046770717334674264,0.85,80,20,3072
18,lr,LogisticRegression(hidden-state),0.7375,0.06123724356957945,0.95,80,20,3072
19,lr,LogisticRegression(hidden-state),0.7125,0.08477912478906585,0.9,80,20,3072
20,lr,LogisticRegression(hidden-state),0.75,0.08838834764831845,0.9,80,20,3072
21,lr,LogisticRegression(hidden-state),0.7375,0.046770717334674264,0.85,80,20,3072
22,lr,LogisticRegression(hidden-state),0.7625,0.046770717334674264,0.85,80,20,3072
23,lr,LogisticRegression(hidden-state),0.8,0.06123724356957945,0.95,80,20,3072
24,lr,LogisticRegression(hidden-state),0.775,0.049999999999999996,0.95,80,20,3072
25,lr,LogisticRegression(hidden-state),0.7875,0.049999999999999996,0.95,80,20,3072
26,lr,LogisticRegression(hidden-state),0.7875,0.0637377439199098,0.9,80,20,3072
27,lr,LogisticRegression(hidden-state),0.8,0.07288689868556626,0.9,80,20,3072
