layer,probe_method,probe_type,cv_accuracy_mean,cv_accuracy_std,test_accuracy,n_train,n_test,n_features
0,lr,LogisticRegression(hidden-state),0.625,0.08838834764831845,0.65,80,20,3072
1,lr,LogisticRegression(hidden-state),0.7,0.08291561975888499,0.5,80,20,3072
2,lr,LogisticRegression(hidden-state),0.5875,0.049999999999999996,0.7,80,20,3072
3,lr,LogisticRegression(hidden-state),0.5375,0.05,0.85,80,20,3072
4,lr,LogisticRegression(hidden-state),0.65,0.03061862178478973,0.8,80,20,3072
5,lr,LogisticRegression(hidden-state),0.7375,0.07288689868556626,0.8,80,20,3072
6,lr,LogisticRegression(hidden-state),0.7375,0.082915619758885,0.9,80,20,3072
7,lr,LogisticRegression(hidden-state),0.775,0.0637377439199098,0.95,80,20,3072
8,lr,LogisticRegression(hidden-state),0.7875,0.0637377439199098,0.9,80,20,3072
9,lr,LogisticRegression(hidden-state),0.85,0.08477912478906585,0.95,80,20,3072
10,lr,LogisticRegression(hidden-state),0.9125,0.049999999999999996,0.9,80,20,3072
11,lr,LogisticRegression(hidden-state),0.8875,0.07288689868556626,0.9,80,20,3072
12,lr,LogisticRegression(hidden-state),0.9125,0.0637377439199098,0.9,80,20,3072
13,lr,LogisticRegression(hidden-state),0.9125,0.049999999999999996,0.9,80,20,3072
14,lr,LogisticRegression(hidden-state),0.9125,0.0637377439199098,0.9,80,20,3072
15,lr,LogisticRegression(hidden-state),0.9,0.0637377439199098,0.9,80,20,3072
16,lr,LogisticRegression(hidden-state),0.9125,0.0637377439199098,0.9,80,20,3072
17,lr,LogisticRegression(hidden-state),0.9125,0.0637377439199098,0.9,80,20,3072
18,lr,LogisticRegression(hidden-state),0.875,0.07905694150420949,0.95,80,20,3072
19,lr,LogisticRegression(hidden-state),0.8625,0.08291561975888499,0.95,80,20,3072
20,lr,LogisticRegression(hidden-state),0.875,0.10458250331675945,0.95,80,20,3072
21,lr,LogisticRegression(hidden-state),0.875,0.07905694150420949,0.95,80,20,3072
22,lr,LogisticRegression(hidden-state),0.875,0.06846531968814576,0.95,80,20,3072
23,lr,LogisticRegression(hidden-state),0.85,0.08477912478906585,0.95,80,20,3072
24,lr,LogisticRegression(hidden-state),0.8875,0.06123724356957946,0.95,80,20,3072
25,lr,LogisticRegression(hidden-state),0.85,0.08477912478906585,0.95,80,20,3072
26,lr,LogisticRegression(hidden-state),0.825,0.07288689868556626,0.9,80,20,3072
27,lr,LogisticRegression(hidden-state),0.8375,0.09354143466934853,0.95,80,20,3072
28,lr,LogisticRegression(hidden-state),0.85,0.075,1.0,80,20,3072
29,lr,LogisticRegression(hidden-state),0.85,0.06373774391990981,1.0,80,20,3072
30,lr,LogisticRegression(hidden-state),0.8125,0.03952847075210474,1.0,80,20,3072
31,lr,LogisticRegression(hidden-state),0.8,0.046770717334674264,0.95,80,20,3072
