layer,cv_accuracy_mean,cv_accuracy_std,test_accuracy,n_train,n_test,n_features
0,0.65,0.1346291201783626,0.7,80,20,3072
1,0.7,0.13919410907075053,0.65,80,20,3072
2,0.775,0.0637377439199098,0.8,80,20,3072
3,0.7625,0.10752906583803283,0.85,80,20,3072
4,0.8125,0.13110110602126895,0.95,80,20,3072
5,0.8,0.1,0.95,80,20,3072
6,0.8375,0.08477912478906585,0.85,80,20,3072
7,0.8625,0.046770717334674264,0.95,80,20,3072
8,0.8625,0.06123724356957945,0.95,80,20,3072
9,0.8625,0.06123724356957945,0.95,80,20,3072
10,0.85,0.06373774391990981,1.0,80,20,3072
11,0.85,0.09354143466934853,1.0,80,20,3072
12,0.8625,0.06123724356957945,1.0,80,20,3072
13,0.8375,0.08477912478906585,1.0,80,20,3072
14,0.875,0.03952847075210474,1.0,80,20,3072
15,0.8375,0.08477912478906585,0.95,80,20,3072
16,0.8125,0.10458250331675945,0.95,80,20,3072
17,0.825,0.08291561975888499,0.95,80,20,3072
18,0.8125,0.07905694150420949,0.95,80,20,3072
19,0.775,0.08477912478906585,0.95,80,20,3072
20,0.75,0.10458250331675945,0.9,80,20,3072
21,0.775,0.075,0.9,80,20,3072
22,0.7625,0.09185586535436917,0.9,80,20,3072
23,0.775,0.08477912478906585,0.85,80,20,3072
24,0.75,0.10458250331675945,0.85,80,20,3072
25,0.7625,0.10752906583803283,0.75,80,20,3072
26,0.7375,0.12119199643540822,0.75,80,20,3072
27,0.7375,0.15,0.75,80,20,3072
