layer,cv_accuracy_mean,cv_accuracy_std,test_accuracy,n_train,n_test,n_features
0,0.625,0.125,0.75,80,20,3072
1,0.6625,0.15103807466993216,0.8,80,20,3072
2,0.7125,0.1920286436967152,0.8,80,20,3072
3,0.6875,0.1767766952966369,0.85,80,20,3072
4,0.775,0.10897247358851683,0.75,80,20,3072
5,0.725,0.1015504800579495,0.8,80,20,3072
6,0.7625,0.12119199643540822,0.85,80,20,3072
7,0.8125,0.06846531968814576,0.85,80,20,3072
8,0.775,0.1159202311936963,0.8,80,20,3072
9,0.8125,0.08838834764831845,0.9,80,20,3072
10,0.85,0.0637377439199098,0.9,80,20,3072
11,0.8625,0.07288689868556626,0.9,80,20,3072
12,0.875,0.07905694150420949,0.95,80,20,3072
13,0.8625,0.09185586535436917,0.9,80,20,3072
14,0.925,0.046770717334674264,0.95,80,20,3072
15,0.9125,0.0637377439199098,0.95,80,20,3072
16,0.9,0.075,0.95,80,20,3072
17,0.9125,0.0637377439199098,0.95,80,20,3072
18,0.9125,0.0637377439199098,0.95,80,20,3072
19,0.85,0.09354143466934853,0.95,80,20,3072
20,0.85,0.1159202311936963,0.95,80,20,3072
21,0.85,0.1159202311936963,0.95,80,20,3072
22,0.825,0.09185586535436918,0.85,80,20,3072
23,0.825,0.09185586535436917,0.85,80,20,3072
24,0.825,0.09999999999999999,0.85,80,20,3072
25,0.8125,0.11180339887498948,0.85,80,20,3072
26,0.8,0.1334634781503914,0.85,80,20,3072
27,0.825,0.12119199643540822,0.95,80,20,3072
28,0.8625,0.07288689868556626,0.85,80,20,3072
29,0.85,0.1015504800579495,0.85,80,20,3072
30,0.85,0.0637377439199098,0.85,80,20,3072
31,0.8375,0.05,0.85,80,20,3072
