layer,train_dataset,lr_train_acc,lr_explicit_test_acc,lr_implicit_acc,wlr_train_acc,wlr_explicit_test_acc,wlr_implicit_acc,mm_train_acc,mm_explicit_test_acc,mm_implicit_acc,mm_direction_norm,wmm_train_acc,wmm_explicit_test_acc,wmm_implicit_acc,wmm_probe_direction_norm,whitener_reg,whitener_cov_reg_condition_number
0,expanded_explicit_only,1.0,0.875,0.6633333333333333,1.0,0.85,0.57,0.7175,0.65,0.5516666666666666,9.788283348083496,0.9975,0.87,0.6133333333333333,1.9221501350402832,0.01,7866.286887687781
1,expanded_explicit_only,1.0,0.92,0.6916666666666667,1.0,0.82,0.6716666666666666,0.7625,0.685,0.5666666666666667,11.339445114135742,0.99875,0.895,0.6816666666666666,1.9296423196792603,0.01,8640.715580490252
2,expanded_explicit_only,1.0,0.915,0.725,1.0,0.905,0.6666666666666666,0.83625,0.8,0.6033333333333334,13.003220558166504,1.0,0.905,0.68,1.9507219791412354,0.01,9136.438246307396
3,expanded_explicit_only,1.0,0.94,0.7516666666666667,1.0,0.895,0.6666666666666666,0.81,0.825,0.5616666666666666,15.441221237182617,1.0,0.945,0.7366666666666667,1.9610494375228882,0.01,9338.87891158492
4,expanded_explicit_only,1.0,0.965,0.7433333333333333,1.0,0.88,0.6583333333333333,0.82875,0.895,0.5933333333333334,17.398178100585938,1.0,0.925,0.6983333333333334,1.9612300395965576,0.01,9855.934561733658
5,expanded_explicit_only,1.0,0.96,0.735,1.0,0.91,0.6333333333333333,0.80375,0.83,0.5533333333333333,19.430822372436523,1.0,0.935,0.705,1.9625608921051025,0.01,10209.239692134124
6,expanded_explicit_only,1.0,0.945,0.7833333333333333,1.0,0.9,0.645,0.85875,0.875,0.6433333333333333,21.814477920532227,1.0,0.945,0.68,1.9648351669311523,0.01,10250.311075350555
7,expanded_explicit_only,1.0,0.965,0.8016666666666666,1.0,0.945,0.6433333333333333,0.87,0.855,0.6583333333333333,24.425233840942383,1.0,0.96,0.6916666666666667,1.9652844667434692,0.01,10256.456120350413
8,expanded_explicit_only,1.0,0.96,0.7733333333333333,1.0,0.9,0.62,0.78875,0.83,0.5783333333333334,27.522390365600586,1.0,0.96,0.645,1.9645637273788452,0.01,10305.843617905257
9,expanded_explicit_only,1.0,0.96,0.8016666666666666,1.0,0.895,0.6466666666666666,0.7725,0.8,0.57,30.84519386291504,1.0,0.945,0.6733333333333333,1.9626644849777222,0.01,9495.64889184736
10,expanded_explicit_only,1.0,0.955,0.83,1.0,0.86,0.6866666666666666,0.8375,0.855,0.6883333333333334,35.48947525024414,1.0,0.92,0.7416666666666667,1.9594467878341675,0.01,7523.53833296472
11,expanded_explicit_only,1.0,0.955,0.8,1.0,0.94,0.7516666666666667,0.5,0.5,0.5,15.437705993652344,0.99875,0.97,0.7766666666666666,1.8786075115203857,0.01,51439.814633877126
