layer,cosine_lr_vs_mm,cosine_lr_vs_wmm
0,0.6401327642056039,0.4279755635855596
1,0.6565469301846727,0.43279421026644066
2,0.637735338098782,0.44941950303563477
3,0.6406390444135874,0.43400411269021233
4,0.6386331090798878,0.4347521530778489
5,0.6158412084535508,0.44792783800417896
6,0.6125915558163411,0.45334239844922825
7,0.6002517381326802,0.4776137136212674
8,0.5657342506104605,0.5133020649994906
9,0.5242525540378733,0.5467730906769787
10,0.4749825294943799,0.6001757823294808
11,0.07549728143923996,0.9457127198054041
