layer,wmm_explicit_test_acc,wmm_implicit_acc,wmm_effective_direction_norm,wmm_cov_reg_condition_number,wmm_reg
0,0.98,0.705,4.291568539974942,13782.59213896106,0.01
1,0.98,0.6966666666666667,3.836574847897464,13141.766639537183,0.01
2,0.965,0.7016666666666667,3.3943334595649133,12883.584066671045,0.01
3,0.98,0.7216666666666667,2.9367381020033045,13220.734462214996,0.01
4,0.99,0.7133333333333334,2.6116285556474392,13887.291031194582,0.01
5,0.995,0.7116666666666667,2.2227949356647416,15008.66097856232,0.01
6,0.995,0.6833333333333333,1.9347740142911203,15905.901901427005,0.01
7,0.98,0.6616666666666666,1.5606943126024684,13202.304405405705,0.01
8,0.985,0.6766666666666666,1.3503750501035259,14361.941552723652,0.01
9,0.975,0.6966666666666667,1.1402287488312066,12403.066188368075,0.01
10,0.965,0.7066666666666667,0.9308639499956364,12910.042357573364,0.01
11,0.965,0.7016666666666667,2.487982468613896,69426.39233087606,0.01
