layer,train_dataset,lr_train_acc,lr_explicit_test_acc,lr_implicit_acc,lr_red_team_acc,wlr_train_acc,wlr_explicit_test_acc,wlr_implicit_acc,wlr_red_team_acc,mm_train_acc,mm_explicit_test_acc,mm_implicit_acc,mm_red_team_acc,mm_direction_norm,wmm_train_acc,wmm_explicit_test_acc,wmm_implicit_acc,wmm_red_team_acc,wmm_probe_direction_norm,whitener_reg,whitener_cov_reg_condition_number
0,expanded_explicit_plus_redteam,1.0,0.99,0.8083333333333333,1.0,1.0,0.955,0.625,1.0,0.9191919191919192,0.91,0.6883333333333334,0.9315789473684211,5.684401988983154,0.998989898989899,0.98,0.705,0.9947368421052631,1.9410308599472046,0.01,13782.59213896106
1,expanded_explicit_plus_redteam,1.0,0.985,0.79,1.0,1.0,0.945,0.6416666666666667,1.0,0.8868686868686869,0.88,0.5566666666666666,0.8263157894736842,6.267782211303711,1.0,0.98,0.6966666666666667,1.0,1.9486069679260254,0.01,13141.766639537183
2,expanded_explicit_plus_redteam,1.0,0.995,0.805,1.0,1.0,0.945,0.67,1.0,0.8909090909090909,0.895,0.595,0.8315789473684211,7.056374549865723,1.0,0.965,0.7016666666666667,1.0,1.9514950513839722,0.01,12883.584066671045
3,expanded_explicit_plus_redteam,1.0,1.0,0.8183333333333334,1.0,1.0,0.95,0.6766666666666666,1.0,0.9212121212121213,0.94,0.7416666666666667,0.9052631578947369,8.36308479309082,1.0,0.98,0.7216666666666667,1.0,1.9548734426498413,0.01,13220.734462214996
4,expanded_explicit_plus_redteam,1.0,1.0,0.8083333333333333,1.0,1.0,0.975,0.6666666666666666,1.0,0.7808080808080808,0.84,0.575,0.6526315789473685,9.094408988952637,1.0,0.99,0.7133333333333334,1.0,1.9587892293930054,0.01,13887.291031194582
5,expanded_explicit_plus_redteam,1.0,1.0,0.8416666666666667,1.0,1.0,0.975,0.6483333333333333,1.0,0.9,0.93,0.7083333333333334,0.8842105263157894,10.525959014892578,1.0,0.995,0.7116666666666667,1.0,1.9574633836746216,0.01,15008.66097856232
6,expanded_explicit_plus_redteam,1.0,1.0,0.8183333333333334,1.0,1.0,0.945,0.6483333333333333,1.0,0.898989898989899,0.905,0.6783333333333333,0.9263157894736842,11.829086303710938,1.0,0.995,0.6833333333333333,1.0,1.9588178396224976,0.01,15905.901901427005
7,expanded_explicit_plus_redteam,1.0,0.995,0.8116666666666666,1.0,1.0,0.935,0.6083333333333333,1.0,0.9,0.905,0.725,0.8736842105263158,14.032362937927246,1.0,0.98,0.6616666666666666,1.0,1.957844853401184,0.01,13202.304405405705
8,expanded_explicit_plus_redteam,1.0,0.985,0.8033333333333333,1.0,1.0,0.94,0.61,1.0,0.7545454545454545,0.79,0.52,0.8789473684210526,15.648711204528809,1.0,0.985,0.6766666666666666,1.0,1.9561774730682373,0.01,14361.941552723652
9,expanded_explicit_plus_redteam,1.0,0.99,0.7766666666666666,1.0,1.0,0.945,0.6333333333333333,1.0,0.6272727272727273,0.61,0.5,0.7947368421052632,18.08551788330078,1.0,0.975,0.6966666666666667,1.0,1.9556432962417603,0.01,12403.066188368075
10,expanded_explicit_plus_redteam,1.0,0.985,0.76,1.0,1.0,0.935,0.6416666666666667,1.0,0.503030303030303,0.5,0.5,0.5157894736842106,21.243131637573242,1.0,0.965,0.7066666666666667,1.0,1.9504435062408447,0.01,12910.042357573364
11,expanded_explicit_plus_redteam,0.998989898989899,0.965,0.72,1.0,1.0,0.985,0.7516666666666667,1.0,0.5171717171717172,0.495,0.5,0.4842105263157895,13.432976722717285,0.9767676767676767,0.965,0.7016666666666667,0.9526315789473684,1.7007650136947632,0.01,69426.39233087606
