evidence_share,question_share,probe,arm,mean_shared_options,n_context,ctx_tokens,context_fill,pathology,gold,pred,correct,parsed,mean_entropy,response
0.0320513761107577,0.10239862476009876,0,disjoint,0.0,8,3150,0.769,Viral pharyngitis,E,,False,False,,
0.023500119132222608,0.09975675733585376,0,random,1.5,8,2984,0.7285,Viral pharyngitis,E,,False,False,,
0.015669593252823688,0.11064127240388189,0,near_dup,4.0,8,3343,0.8162,Viral pharyngitis,E,,False,False,,
0.02167432454007212,0.0969727245537797,1,disjoint,0.0,8,3128,0.7637,Croup,A,,False,False,,
0.024855635754647665,0.08612159639596939,1,random,0.875,8,2893,0.7063,Croup,A,,False,False,,
0.025369469018187374,0.09787862865778152,1,near_dup,3.375,8,2932,0.7158,Croup,A,,False,False,,
0.06020274468755815,0.10244719494949095,2,disjoint,0.0,8,2848,0.6953,Tuberculosis,B,,False,False,,
0.038793409723439254,0.11652322206646204,2,random,1.25,8,2767,0.6755,Tuberculosis,B,,False,False,,
0.04659417478251271,0.11599877814296633,2,near_dup,3.5,8,2314,0.5649,Tuberculosis,B,,False,False,,
0.04822677653282881,0.1093458427785663,4,disjoint,0.0,8,3150,0.769,Anaphylaxis,B,,False,False,,
0.049170951067935675,0.11103237616771366,4,random,0.625,8,3032,0.7402,Anaphylaxis,B,,False,False,,
0.03999119409127161,0.11739092619973235,4,near_dup,3.0,8,3747,0.9148,Anaphylaxis,B,,False,False,,
0.02859366949996911,0.08534488975419663,5,disjoint,0.0,8,3075,0.7507,Acute COPD exacerbation / infection,C,,False,False,,
0.022972966340603307,0.0892089717235649,5,random,1.375,8,2848,0.6953,Acute COPD exacerbation / infection,C,,False,False,,
0.023243730523972772,0.0892545981623698,5,near_dup,4.0,8,3102,0.7573,Acute COPD exacerbation / infection,C,,False,False,,
0.02690130253904499,0.15763577849429566,6,disjoint,0.0,8,3114,0.7603,GERD,E,,False,False,,
0.03466792477411218,0.15051265177316964,6,random,0.875,8,3269,0.7981,GERD,E,,False,False,,
0.04086292775173206,0.1177276496819104,6,near_dup,3.0,8,2713,0.6624,GERD,E,,False,False,,
0.03988484406727366,0.12261961291369516,7,disjoint,0.0,8,2986,0.729,HIV (initial infection),A,,False,False,,
0.03640277893282473,0.11856423412245931,7,random,0.25,8,3024,0.7383,HIV (initial infection),A,,False,False,,
0.033847654645796865,0.1003453492448898,7,near_dup,3.625,8,3215,0.7849,HIV (initial infection),A,,False,False,,
0.035158344835508615,0.13026899374381173,8,disjoint,0.0,8,3222,0.7866,Unstable angina,C,,False,False,,
0.03012092667631805,0.12242106669145869,8,random,1.25,8,3183,0.7771,Unstable angina,C,,False,False,,
0.02910052306833677,0.11991048541676719,8,near_dup,4.0,8,3350,0.8179,Unstable angina,C,,False,False,,
0.04541810543742031,0.11480264348210767,9,disjoint,0.0,8,2626,0.6411,Scombroid food poisoning,B,,False,False,,
0.04120785201666877,0.10865897498297272,9,random,1.375,8,2926,0.7144,Scombroid food poisoning,B,,False,False,,
0.042855744090047665,0.10435781940759625,9,near_dup,3.125,8,2905,0.7092,Scombroid food poisoning,B,,False,False,,
0.031136414734646678,0.10645527727319859,10,disjoint,0.0,8,3177,0.7756,Atrial fibrillation,A,,False,False,,
0.025232232525013387,0.10476116216159426,10,random,1.5,8,3071,0.7498,Atrial fibrillation,A,,False,False,,
0.02632605331018567,0.11268600043695187,10,near_dup,4.0,8,2736,0.668,Atrial fibrillation,A,,False,False,,
0.024211019685026258,0.1421515579422703,12,disjoint,0.0,8,3339,0.8152,Pulmonary embolism,C,,False,False,,
0.025961194798583165,0.13653573534975294,12,random,0.5,8,3216,0.7852,Pulmonary embolism,C,,False,False,,
0.026019969081971794,0.11398504530370701,12,near_dup,3.125,8,2894,0.7065,Pulmonary embolism,C,,False,False,,
0.03795591200469062,0.14549015708325896,13,disjoint,0.0,8,3420,0.835,Influenza,E,,False,False,,
0.03176281548803672,0.1356503588540363,13,random,0.5,8,3513,0.8577,Influenza,E,,False,False,,
0.04110764717916027,0.11958187611890025,13,near_dup,4.0,8,2849,0.6956,Influenza,E,,False,False,,
0.024144694150891155,0.13021746765298303,15,disjoint,0.0,8,3262,0.7964,Allergic sinusitis,C,,False,False,,
0.018987476265465375,0.12678079487523064,15,random,1.5,8,2480,0.6055,Allergic sinusitis,C,,False,False,,
