depth,probe,turn,kind,n_tokens,ctx_tokens,share
0,0,0,system,48,208,0.20829981492516936
0,0,1,probe,143,208,0.24193241017724176
0,1,0,system,48,313,0.19813847063126389
0,1,1,probe,248,313,0.26394623605358447
0,2,0,system,48,438,0.18905668301277778
0,2,1,probe,373,438,0.2817864976539113
0,3,0,system,48,375,0.19096923973386737
0,3,1,probe,310,375,0.2819386987580401
0,4,0,system,48,362,0.18882098046461238
0,4,1,probe,297,362,0.2818868694291723
0,5,0,system,48,387,0.18735539324558204
0,5,1,probe,322,387,0.2842578409422458
0,6,0,system,48,323,0.19373786131612292
0,6,1,probe,258,323,0.27527523830804057
0,7,0,system,48,419,0.18199219512352016
0,7,1,probe,354,419,0.2946602480569709
0,8,0,system,48,300,0.1983384606117511
0,8,1,probe,235,300,0.26749507932436245
0,9,0,system,48,696,0.1719647200187282
0,9,1,probe,631,696,0.33542639116058126
0,10,0,system,48,346,0.18922974062179776
0,10,1,probe,281,346,0.27944030511935125
0,11,0,system,48,320,0.1961065079459985
0,11,1,probe,255,320,0.27083635104145287
0,12,0,system,48,344,0.19069600712292356
0,12,1,probe,279,344,0.28862460475011176
0,13,0,system,48,386,0.1858025422817171
0,13,1,probe,321,386,0.2846631437266751
0,14,0,system,48,586,0.17891174014228284
0,14,1,probe,521,586,0.3117222220853364
0,15,0,system,48,423,0.18286375476886718
0,15,1,probe,358,423,0.3166560695535736
0,16,0,system,48,263,0.20338389940803836
0,16,1,probe,198,263,0.26082499744245524
0,17,0,system,48,351,0.19138901219250215
0,17,1,probe,286,351,0.28155510648684867
0,18,0,system,48,418,0.18596929499824455
0,18,1,probe,353,418,0.3130533713674595
0,19,0,system,48,393,0.18917033483301537
0,19,1,probe,328,393,0.29656878403147857
0,20,0,system,48,382,0.18679303798356983
0,20,1,probe,317,382,0.2903772592885616
0,21,0,system,48,483,0.18437819446181436
0,21,1,probe,418,483,0.311209441238816
0,22,0,system,48,479,0.18430175114503555
0,22,1,probe,414,479,0.31109735847212505
0,23,0,system,48,366,0.1909972394574524
0,23,1,probe,301,366,0.28018271706605447
0,24,0,system,48,299,0.19576388147552848
0,24,1,probe,234,299,0.26997143892003805
0,25,0,system,48,481,0.18043011882329907
0,25,1,probe,416,481,0.30704164523194777
0,26,0,system,48,336,0.19481690541779528
0,26,1,probe,271,336,0.29522381834749467
0,27,0,system,48,445,0.18677090839726063
0,27,1,probe,380,445,0.29328377866795563
0,28,0,system,48,392,0.18555632933025734
0,28,1,probe,327,392,0.2888248662895876
0,29,0,system,48,408,0.18390569540622081
0,29,1,probe,343,408,0.29946364475563314
0,30,0,system,48,333,0.1934237132365979
0,30,1,probe,268,333,0.27362952707744626
0,31,0,system,48,332,0.19295061790819545
0,31,1,probe,267,332,0.27766222287937126
0,32,0,system,48,414,0.18377544846056182
0,32,1,probe,349,414,0.30494914269388573
0,33,0,system,48,282,0.201865575973045
0,33,1,probe,217,282,0.2589503835185951
0,34,0,system,48,540,0.18014094727162444
0,34,1,probe,475,540,0.31852341870512646
0,35,0,system,48,333,0.1955881116358853
0,35,1,probe,268,333,0.2754779811634762
0,36,0,system,48,499,0.1797823004888741
0,36,1,probe,434,499,0.3196293224814326
0,37,0,system,48,318,0.1954637091657787
0,37,1,probe,253,318,0.27725711536072595
0,38,0,system,48,289,0.19877177900485776
0,38,1,probe,224,289,0.26642519939343856
0,39,0,system,48,373,0.190077121467354
0,39,1,probe,308,373,0.2835067688638446
