depth,probe,turn,kind,n_tokens,ctx_tokens,share
0,0,0,system,48,333,0.1934237132365979
0,0,1,probe,268,333,0.27362952707744626
0,1,0,system,48,332,0.19295061790819545
0,1,1,probe,267,332,0.27766222287937126
0,2,0,system,48,414,0.18377544846056182
0,2,1,probe,349,414,0.30494914269388573
0,3,0,system,48,282,0.201865575973045
0,3,1,probe,217,282,0.2589503835185951
0,4,0,system,48,540,0.18014094727162444
0,4,1,probe,475,540,0.31852341870512646
0,5,0,system,48,333,0.1955881116358853
0,5,1,probe,268,333,0.2754779811634762
0,6,0,system,48,499,0.1797823004888741
0,6,1,probe,434,499,0.3196293224814326
0,7,0,system,48,318,0.1954637091657787
0,7,1,probe,253,318,0.27725711536072595
0,8,0,system,48,289,0.19877177900485776
0,8,1,probe,224,289,0.26642519939343856
0,9,0,system,48,373,0.190077121467354
0,9,1,probe,308,373,0.2835067688638446
0,10,0,system,48,313,0.19463926070426396
0,10,1,probe,248,313,0.27380543084473175
0,11,0,system,48,367,0.19088366796206913
0,11,1,probe,302,367,0.2837525267661931
0,12,0,system,48,399,0.18921053082132921
0,12,1,probe,334,399,0.332873832227051
0,13,0,system,48,266,0.1999218920450403
0,13,1,probe,201,266,0.2601246038886984
0,14,0,system,48,415,0.1825039066270211
0,14,1,probe,350,415,0.3215327131185859
0,15,0,system,48,396,0.18742433896531097
0,15,1,probe,331,396,0.28745018069048456
0,16,0,system,48,289,0.2010258598013479
0,16,1,probe,224,289,0.26359481647659777
0,17,0,system,48,361,0.19075458940520207
0,17,1,probe,296,361,0.28230081375795635
0,18,0,system,48,388,0.18577072931120142
0,18,1,probe,323,388,0.2944901201549328
0,19,0,system,48,675,0.1721895291254505
0,19,1,probe,610,675,0.3328254026300783
0,20,0,system,48,327,0.19190255710415727
0,20,1,probe,262,327,0.27852679271700254
0,21,0,system,48,307,0.19808405717125765
0,21,1,probe,242,307,0.27171150368712915
0,22,0,system,48,481,0.18043011882329907
0,22,1,probe,416,481,0.30704164523194777
0,23,0,system,48,393,0.18917033483301537
0,23,1,probe,328,393,0.29656878403147857
0,24,0,system,48,363,0.18805117683800177
0,24,1,probe,298,363,0.2992813096680038
0,25,0,system,48,620,0.17363102913319395
0,25,1,probe,555,620,0.34850299685331265
0,26,0,system,48,266,0.20131490307252875
0,26,1,probe,201,266,0.2603163342157586
0,27,0,system,48,370,0.18847990484633215
0,27,1,probe,305,370,0.28901421332693644
0,28,0,system,48,480,0.1848270259052569
0,28,1,probe,415,480,0.31017283955247876
0,29,0,system,48,373,0.19082164429134352
0,29,1,probe,308,373,0.28381890862738146
0,30,0,system,48,286,0.2038750525412638
0,30,1,probe,221,286,0.2565334170420783
0,31,0,system,48,466,0.18252038330773424
0,31,1,probe,401,466,0.30456213178922553
0,32,0,system,48,561,0.17598133763767976
0,32,1,probe,496,561,0.3330991896445994
0,33,0,system,48,453,0.1856889339564738
0,33,1,probe,388,453,0.332902317909884
0,34,0,system,48,377,0.186738325702283
0,34,1,probe,312,377,0.2891540047703529
0,35,0,system,48,300,0.19974560888709902
0,35,1,probe,235,300,0.25721395000823577
