probe,gold,pathology,ctx_tokens,level,target_share,achieved_share,scale,pred,correct
0,E,Viral pharyngitis,3092,natural,,0.035009871591426496,1.0,D,False
0,E,Viral pharyngitis,3092,0.034,0.0335,0.0334017554967488,0.8894184115759556,D,False
0,E,Viral pharyngitis,3092,0.024,0.024,0.023901077911755584,0.5731311960714808,D,False
0,E,Viral pharyngitis,3092,0.017,0.0172,0.01712418756782604,0.3802992352356941,D,False
0,E,Viral pharyngitis,3092,0.012,0.0123,0.012284432765605096,0.23111410023442172,B,False
0,E,Viral pharyngitis,3092,0.009,0.0088,0.008799036671139628,0.1446275083208538,B,False
0,E,Viral pharyngitis,3092,0.007,0.007,0.006933451995987382,0.11274606657056462,D,False
1,C,Stable angina,3166,natural,,0.033717040611481564,1.0,B,False
1,C,Stable angina,3166,0.034,0.0335,0.033599581619057226,0.9293757195853386,B,False
1,C,Stable angina,3166,0.024,0.024,0.02399188715545603,0.5880132135130685,B,False
1,C,Stable angina,3166,0.017,0.0172,0.017264117018591724,0.38309485539442545,B,False
1,C,Stable angina,3166,0.012,0.0123,0.01233693641298612,0.23973463466761458,B,False
1,C,Stable angina,3166,0.009,0.0088,0.008801250855621163,0.15791424838939916,B,False
1,C,Stable angina,3166,0.007,0.007,0.006940630840426701,0.1286343687209221,B,False
2,B,GERD,3075,natural,,0.0423579066731272,1.0,B,True
2,B,GERD,3075,0.034,0.0335,0.0334005343571446,0.663546562885513,B,True
2,B,GERD,3075,0.024,0.024,0.023853121602335565,0.42446166067101215,B,True
2,B,GERD,3075,0.017,0.0172,0.017127455974492438,0.2715223187896751,B,True
2,B,GERD,3075,0.012,0.0123,0.012336269964156635,0.17242162389375282,B,True
2,B,GERD,3075,0.009,0.0088,0.008730527018677272,0.12492045240700124,B,True
2,B,GERD,3075,0.007,0.007,0.00703591912776974,0.08535489323371559,B,True
3,A,Atrial fibrillation,2934,natural,,0.03369643021947617,1.0,A,True
3,A,Atrial fibrillation,2934,0.034,0.0335,0.033549915783567495,0.9293757195853386,A,True
3,A,Atrial fibrillation,2934,0.024,0.024,0.023967387188409232,0.5731311960714808,A,True
3,A,Atrial fibrillation,2934,0.017,0.0172,0.017196380460201697,0.35865633790708634,A,True
3,A,Atrial fibrillation,2934,0.012,0.0123,0.012342575284113698,0.20555713592330557,A,True
3,A,Atrial fibrillation,2934,0.009,0.0088,0.008829042799533404,0.07481226495175938,A,True
3,A,Atrial fibrillation,2934,0.007,0.007,0.007013591139747271,0.060054667895307945,A,True
4,E,Pneumonia,3249,natural,,0.04852194287193334,1.0,A,False
4,E,Pneumonia,3249,0.034,0.0335,0.03355876269143645,0.5647969107236422,E,True
4,E,Pneumonia,3249,0.024,0.024,0.023965046062287238,0.3457595392659655,E,True
4,E,Pneumonia,3249,0.017,0.0172,0.01711680501943944,0.21166840101912124,E,True
4,E,Pneumonia,3249,0.012,0.0123,0.012411997188605127,0.12676381003940596,E,True
4,E,Pneumonia,3249,0.009,0.0088,0.008714164192261524,0.08049733103113403,E,True
4,E,Pneumonia,3249,0.007,0.007,0.0069240660050698,0.0675212780775444,E,True
5,A,Acute pulmonary edema,3075,natural,,0.042489358948645035,1.0,A,True
5,A,Acute pulmonary edema,3075,0.034,0.0335,0.03348624677246066,0.6443887248251953,A,True
5,A,Acute pulmonary edema,3075,0.024,0.024,0.0239019343002313,0.3802992352356941,A,True
5,A,Acute pulmonary edema,3075,0.017,0.0172,0.017101916436128902,0.23624849246007973,B,False
5,A,Acute pulmonary edema,3075,0.012,0.0123,0.012281047257639144,0.14148431639354717,B,False
5,A,Acute pulmonary edema,3075,0.009,0.0088,0.00884180884841271,0.09596708604499847,B,False
5,A,Acute pulmonary edema,3075,0.007,0.007,0.007079007346045491,0.06557181170489068,B,False
6,D,Pulmonary embolism,3107,natural,,0.037540054094527604,1.0,C,False
6,D,Pulmonary embolism,3107,0.034,0.0335,0.03346281435781246,0.7881734419272431,C,False
6,D,Pulmonary embolism,3107,0.024,0.024,0.02404411517069733,0.5210780352209016,C,False
