item,arm,level,target_share,achieved_share,scale,bias_nats,ctx_tokens,fill,gold,pred,correct,parsed,n_obeyed,obey_prefix_marker,obey_suffix_ok,obey_forbid_diagnosis,response
0,undemonstrated,natural,,0.18261133890234818,1.0,0.0,392,0.0957,B,B,True,True,3,True,True,True,◆B ⟦OK⟧
0,undemonstrated,0.1500,0.15,0.14901669217716892,0.5647969107236422,-0.5712890625,392,0.0957,B,B,True,True,3,True,True,True,◆B⟦OK⟧
0,undemonstrated,0.1200,0.12,0.12026875834652602,0.33824514172688175,-1.083984375,392,0.0957,B,B,True,True,2,False,True,True,B ⟦OK⟧
0,undemonstrated,0.0900,0.09,0.08997679663412818,0.18282630132100924,-1.69921875,392,0.0957,B,B,True,True,1,False,False,True,"B) GERD
E) Bronchitis

Given the symptoms of a cough, chest pain, and a burning sensation starting in the stomach and going up"
0,undemonstrated,0.0700,0.07,0.06924335303657733,0.11440977590183832,-2.16796875,392,0.0957,B,B,True,True,1,False,False,True,"B) GERD
E) Bronchitis

Given the symptoms of a cough, chest pain, and a burning sensation starting in the stomach and going up"
0,undemonstrated,0.0486,0.0486,0.048652144853206215,0.07159580830181511,-2.63671875,392,0.0957,B,B,True,True,1,False,False,True,"B) GERD

The patient's symptoms of a cough, chest pain described
user
, and a burning sensation starting in the stomach and going"
0,undemonstrated,0.0380,0.038,0.03770312392730616,0.05037394257513113,-2.98828125,392,0.0957,B,B,True,True,1,False,False,True,"B) GERD

The patient's symptoms suggest gastroesophageal reflux disease (GERD), given the presence of a burning sensation starting in the stomach and"
1,undemonstrated,natural,,0.1900440559663666,1.0,0.0,336,0.082,E,A,False,True,3,True,True,True,◆A ⟦OK⟧
1,undemonstrated,0.1500,0.15,0.14918340423505647,0.4950358969261986,-0.703125,336,0.082,E,A,False,True,3,True,True,True,◆A⟦OK⟧
1,undemonstrated,0.1200,0.12,0.1202688539046145,0.2755289704553164,-1.2890625,336,0.082,E,A,False,True,2,False,True,True,A ⟦OK⟧
1,undemonstrated,0.0900,0.09,0.08956192540657269,0.1446275083208538,-1.93359375,336,0.082,E,A,False,True,1,False,False,True,"A) Viral pharyngitis
E) Acute laryngitis
The patient's symptoms suggest a viral infection, given the presence of ph"
1,undemonstrated,0.0700,0.07,0.07018223765491653,0.09596708604499847,-2.34375,336,0.082,E,A,False,True,1,False,False,True,"A) Viral pharyngitis
E) Acute laryngitis

Given the symptoms of pain, fever, cough, and hoarseness"
1,undemonstrated,0.0486,0.0486,0.04893401741977156,0.060054667895307945,-2.8125,336,0.082,E,A,False,True,1,False,False,True,"A) Viral pharyngitis

Given the symptoms of pain, fever, cough, and changes in voice, along with the patient's history of living"
1,undemonstrated,0.0380,0.038,0.03819888050146198,0.04480351198999153,-3.10546875,336,0.082,E,A,False,True,1,False,False,True,"A) Viral pharyngitis

Given the symptoms of pain (described as burning), fever, cough, and changes in voice, along with the"
2,undemonstrated,natural,,0.19252004068075745,1.0,0.0,345,0.0842,D,B,False,True,3,True,True,True,◆B ⟦OK⟧
2,undemonstrated,0.1500,0.15,0.15003858926611865,0.48074327892797597,-0.732421875,345,0.0842,D,B,False,True,3,True,True,True,◆B ⟦OK⟧
2,undemonstrated,0.1200,0.12,0.11938136613706204,0.2675739305347498,-1.318359375,345,0.0842,D,B,False,True,2,False,True,True,B ⟦OK⟧
2,undemonstrated,0.0900,0.09,0.0901075856290129,0.1446275083208538,-1.93359375,345,0.0842,D,B,False,True,1,False,False,True,"B) Influenza
D) URTI

Given the symptoms and history, both influenza and upper respiratory tract infection (URTI) are strong"
