depth,probe,turn,kind,n_tokens,ctx_tokens,share
0,0,0,system,48,204,0.23783455836014764
0,0,1,probe,143,204,0.19658836419210432
0,1,0,system,48,309,0.22603289841834528
0,1,1,probe,248,309,0.20167295400884777
0,2,0,system,48,434,0.22134412876117873
0,2,1,probe,373,434,0.21517301787911264
0,3,0,system,48,372,0.22251654941938934
0,3,1,probe,311,372,0.2090078458660851
0,4,0,system,48,359,0.223500042563931
0,4,1,probe,298,359,0.20793302355793672
0,5,0,system,48,384,0.21518733433634923
0,5,1,probe,323,384,0.21585071737111453
0,6,0,system,48,320,0.22449567635019413
0,6,1,probe,259,320,0.2092389199402403
0,7,0,system,48,417,0.21855864152281454
0,7,1,probe,356,417,0.21292582451585415
0,8,0,system,48,297,0.22471518291269751
0,8,1,probe,236,297,0.21028229747455426
0,9,0,system,48,693,0.2086497214911768
0,9,1,probe,632,693,0.22435648384052592
0,10,0,system,48,343,0.22145103950799155
0,10,1,probe,282,343,0.20979348744369145
0,11,0,system,48,317,0.22572526297328038
0,11,1,probe,256,317,0.2071072218550222
0,12,0,system,48,340,0.22321925240431253
0,12,1,probe,279,340,0.20228654307634275
0,13,0,system,48,383,0.21609840881791362
0,13,1,probe,322,383,0.21260943035852
0,14,0,system,48,582,0.21143280298584763
0,14,1,probe,521,582,0.22325559899513353
0,15,0,system,48,420,0.21890075978080845
0,15,1,probe,359,420,0.21281485537632724
0,16,0,system,48,260,0.23347330762014187
0,16,1,probe,199,260,0.20402299121661185
0,17,0,system,48,348,0.22848120590987983
0,17,1,probe,287,348,0.2103003994089363
0,18,0,system,48,417,0.22703879682228373
0,18,1,probe,356,417,0.20964809442105234
0,19,0,system,48,391,0.22479424503586928
0,19,1,probe,330,391,0.2084992273338671
0,20,0,system,48,378,0.21766319125424735
0,20,1,probe,317,378,0.21376909275617656
0,21,0,system,48,480,0.21224399198243213
0,21,1,probe,419,480,0.21957166858024937
0,22,0,system,48,476,0.21248625032880616
0,22,1,probe,415,476,0.2182464131286231
0,23,0,system,48,362,0.22601040237709666
0,23,1,probe,301,362,0.20950786302938523
0,24,0,system,48,296,0.2276124266384937
0,24,1,probe,235,296,0.20723340074480673
0,25,0,system,48,478,0.21094835431229889
0,25,1,probe,417,478,0.220103689177702
0,26,0,system,48,333,0.22529901687045076
0,26,1,probe,272,333,0.2075914326509715
0,27,0,system,48,444,0.21565846525750507
0,27,1,probe,383,444,0.22010592574918203
0,28,0,system,48,388,0.21804624673898979
0,28,1,probe,327,388,0.21356104721123012
0,29,0,system,48,405,0.2119071118332983
0,29,1,probe,344,405,0.2199470952784621
0,30,0,system,48,329,0.22614264743678145
0,30,1,probe,268,329,0.20550852390204336
0,31,0,system,48,329,0.22650874173706503
0,31,1,probe,268,329,0.20649511166262785
0,32,0,system,48,412,0.21984906796992432
0,32,1,probe,351,412,0.21237852847559524
0,33,0,system,48,278,0.2298134066370901
0,33,1,probe,217,278,0.20526891107995712
0,34,0,system,48,537,0.2153134528049932
0,34,1,probe,476,537,0.2149265072398801
0,35,0,system,48,331,0.22551456723876223
0,35,1,probe,270,331,0.20326087327712342
0,36,0,system,48,497,0.21820718449768345
0,36,1,probe,436,497,0.22045197265405328
0,37,0,system,48,315,0.22345417828357186
0,37,1,probe,254,315,0.20858357009468045
0,38,0,system,48,285,0.22769262967989054
0,38,1,probe,224,285,0.20522612994805245
0,39,0,system,48,369,0.22238313461775142
0,39,1,probe,308,369,0.2069598139847502
2,0,0,system,48,677,0.1528416401348509
2,0,1,filler_q,22,677,0.009599863718881043
2,0,2,filler_a,200,677,0.04082272773289267
2,0,3,filler_q,32,677,0.011786722836190802
2,0,4,filler_a,199,677,0.058303595261061554
2,0,5,probe,143,677,0.17579594134426388
2,1,0,system,48,782,0.14420335888532496
2,1,1,filler_q,22,782,0.008287533015467325
2,1,2,filler_a,200,782,0.039712826278695934
2,1,3,filler_q,32,782,0.012822206347917392
2,1,4,filler_a,199,782,0.05717766631213097
2,1,5,probe,248,782,0.18110801187497425
2,2,0,system,48,907,0.14396141972242002
2,2,1,filler_q,22,907,0.009342969835054355
2,2,2,filler_a,200,907,0.040886312394899545
2,2,3,filler_q,32,907,0.013817847297222024
2,2,4,filler_a,199,907,0.05520063090328212
2,2,5,probe,373,907,0.17672035602223765
2,3,0,system,48,845,0.14752575822587083
2,3,1,filler_q,22,845,0.009262697509086393
2,3,2,filler_a,200,845,0.03967553302117711
2,3,3,filler_q,32,845,0.01314108916127622
2,3,4,filler_a,199,845,0.056009755781230415
2,3,5,probe,311,845,0.17398130935657982
