depth,probe,turn,kind,n_tokens,ctx_tokens,share
0,0,0,system,48,412,0.21984906796992432
0,0,1,probe,351,412,0.21237852847559524
0,1,0,system,48,278,0.2298134066370901
0,1,1,probe,217,278,0.20526891107995712
0,2,0,system,48,537,0.2153134528049932
0,2,1,probe,476,537,0.2149265072398801
0,3,0,system,48,331,0.22551456723876223
0,3,1,probe,270,331,0.20326087327712342
0,4,0,system,48,497,0.21820718449768345
0,4,1,probe,436,497,0.22045197265405328
0,5,0,system,48,315,0.22345417828357186
0,5,1,probe,254,315,0.20858357009468045
0,6,0,system,48,285,0.22769262967989054
0,6,1,probe,224,285,0.20522612994805245
0,7,0,system,48,369,0.22238313461775142
0,7,1,probe,308,369,0.2069598139847502
0,8,0,system,48,310,0.2222717354656596
0,8,1,probe,249,310,0.20785810811572517
0,9,0,system,48,364,0.22265772727194572
0,9,1,probe,303,364,0.2107588369464593
0,10,0,system,48,397,0.21667618743799363
0,10,1,probe,336,397,0.21201383423585743
0,11,0,system,48,263,0.23005970368287376
0,11,1,probe,202,263,0.20226753949984225
0,12,0,system,48,412,0.2185531190506663
0,12,1,probe,351,412,0.21054303814356776
0,13,0,system,48,394,0.21922164541227085
0,13,1,probe,333,394,0.21054907703815345
0,14,0,system,48,286,0.22790394917637408
0,14,1,probe,225,286,0.20498305810963544
0,15,0,system,48,358,0.22597437973146414
0,15,1,probe,297,358,0.20865304023465764
0,16,0,system,48,385,0.2156286926472324
0,16,1,probe,324,385,0.21835682975747248
0,17,0,system,48,671,0.21053123739906515
0,17,1,probe,610,671,0.2174772181974956
0,18,0,system,48,324,0.2249874809382155
0,18,1,probe,263,324,0.2054085155321464
0,19,0,system,48,304,0.22999174197896546
0,19,1,probe,243,304,0.20060935703238975
0,20,0,system,48,478,0.21094835431229889
0,20,1,probe,417,478,0.220103689177702
0,21,0,system,48,391,0.22479424503586928
0,21,1,probe,330,391,0.2084992273338671
0,22,0,system,48,360,0.22102397125584725
0,22,1,probe,299,360,0.2080175946952977
0,23,0,system,48,616,0.21413886507095528
0,23,1,probe,555,616,0.21911241187222244
0,24,0,system,48,263,0.23306373167432984
0,24,1,probe,202,263,0.19965806187128973
0,25,0,system,48,366,0.22459670961606806
0,25,1,probe,305,366,0.21232374563187673
0,26,0,system,48,477,0.2167074881777354
0,26,1,probe,416,477,0.21325973371099757
0,27,0,system,48,370,0.22117398749015973
0,27,1,probe,309,370,0.20847016788704775
0,28,0,system,48,282,0.2315616846982738
0,28,1,probe,221,282,0.2007524496772433
0,29,0,system,48,463,0.21363061749756684
0,29,1,probe,402,463,0.218154775204429
0,30,0,system,48,559,0.21192717743121095
0,30,1,probe,498,559,0.22423345402922884
0,31,0,system,48,451,0.2179777092296127
0,31,1,probe,390,451,0.2171285156607479
0,32,0,system,48,373,0.2170324876013132
0,32,1,probe,312,373,0.2152083933443223
0,33,0,system,48,296,0.2316659161954851
0,33,1,probe,235,296,0.19918621741160705
0,34,0,system,48,310,0.22617551259562294
0,34,1,probe,249,310,0.20564372766730393
0,35,0,system,48,366,0.2245914947760082
0,35,1,probe,305,366,0.21202171229421046
0,36,0,system,48,347,0.22155084857009905
0,36,1,probe,286,347,0.20740968966796072
0,37,0,system,48,264,0.22930386650091283
0,37,1,probe,203,264,0.1993781579267925
0,38,0,system,48,290,0.22884016183471448
0,38,1,probe,229,290,0.2040743766282101
0,39,0,system,48,537,0.21460879219067092
0,39,1,probe,476,537,0.2161402165833471
3,0,0,system,48,673,0.08977828896665983
3,0,1,filler_q,69,673,0.026911799404370145
3,0,2,filler_a,4,673,0.0111118208783296
3,0,3,filler_q,90,673,0.029239288002583363
3,0,4,filler_a,4,673,0.010305421463755989
3,0,5,filler_q,60,673,0.026737731355377686
3,0,6,filler_a,4,673,0.009379683765848823
3,0,7,probe,351,673,0.24377359225028325
3,1,0,system,48,539,0.09665931704282678
3,1,1,filler_q,69,539,0.025822872048933028
3,1,2,filler_a,4,539,0.010350632201707356
3,1,3,filler_q,90,539,0.028773539257306073
