probe,condition,filler,depth,closed,ctx_tokens,fill,patch_tokens,gold,s_a,s_b,s_p
0,pure_a,code,15,True,3577,0.8733,0,C,-35.28054428100586,-45.60436248779297,-19.99087905883789
0,pure_b,code,15,True,3577,0.8733,0,C,-35.28054428100586,-45.60436248779297,-19.99087905883789
0,patch_ab,code,15,True,3577,0.8733,3378,C,-35.402976989746094,-45.93342590332031,-19.799402236938477
0,patch_bb,code,15,True,3577,0.8733,3378,C,-35.43292236328125,-46.19122314453125,-20.04461669921875
0,patch_ba,code,15,True,3577,0.8733,3378,C,-35.43292236328125,-46.19122314453125,-20.04461669921875
0,patch_aa,code,15,True,3577,0.8733,3378,C,-35.402976989746094,-45.93342590332031,-19.799402236938477
0,unrel_pure_y,code,15,True,3584,0.875,0,C,-34.99348831176758,-45.656429290771484,-19.78868293762207
0,unrel_patch_xy,code,15,True,3584,0.875,3378,C,-35.119049072265625,-45.744205474853516,-19.541349411010742
0,unrel_patch_yy,code,15,True,3584,0.875,3378,C,-35.11812210083008,-45.686317443847656,-19.47054672241211
1,pure_a,code,15,True,3682,0.8989,0,E,-34.70866012573242,-45.70635223388672,-18.041778564453125
1,pure_b,code,15,True,3682,0.8989,0,E,-34.70866012573242,-45.70635223388672,-18.041778564453125
1,patch_ab,code,15,True,3682,0.8989,3378,E,-34.18315124511719,-45.09775924682617,-17.665281295776367
1,patch_bb,code,15,True,3682,0.8989,3378,E,-34.267845153808594,-45.3658447265625,-17.909456253051758
1,patch_ba,code,15,True,3682,0.8989,3378,E,-34.267845153808594,-45.3658447265625,-17.909456253051758
1,patch_aa,code,15,True,3682,0.8989,3378,E,-34.18315124511719,-45.09775924682617,-17.665281295776367
1,unrel_pure_y,code,15,True,3689,0.9006,0,E,-34.46512222290039,-46.1100959777832,-17.735347747802734
1,unrel_patch_xy,code,15,True,3689,0.9006,3378,E,-34.81547546386719,-46.39982604980469,-18.059885025024414
1,unrel_patch_yy,code,15,True,3689,0.9006,3378,E,-34.422183990478516,-45.74882125854492,-17.901952743530273
2,pure_a,code,15,True,3807,0.9294,0,A,-32.754364013671875,-45.386173248291016,-18.880226135253906
2,pure_b,code,15,True,3807,0.9294,0,A,-32.754364013671875,-45.386173248291016,-18.880226135253906
2,patch_ab,code,15,True,3807,0.9294,3378,A,-33.19776153564453,-45.47643280029297,-18.94054412841797
2,patch_bb,code,15,True,3807,0.9294,3378,A,-33.12114334106445,-45.60150146484375,-18.48642349243164
2,patch_ba,code,15,True,3807,0.9294,3378,A,-33.12114334106445,-45.60150146484375,-18.48642349243164
2,patch_aa,code,15,True,3807,0.9294,3378,A,-33.19776153564453,-45.47643280029297,-18.94054412841797
2,unrel_pure_y,code,15,True,3814,0.9312,0,A,-31.866899490356445,-44.413822174072266,-18.23909568786621
2,unrel_patch_xy,code,15,True,3814,0.9312,3378,A,-32.023216247558594,-44.2572021484375,-18.29787254333496
2,unrel_patch_yy,code,15,True,3814,0.9312,3378,A,-32.21173095703125,-44.37843704223633,-18.27447509765625
