probe,condition,filler,depth,closed,ctx_tokens,fill,patch_tokens,gold,s_a,s_b,s_p
0,pure_a,code,15,True,3577,0.8733,0,C,-35.28054428100586,-45.60436248779297,-19.99087905883789
0,pure_b,code,15,True,3577,0.8733,0,C,-35.28054428100586,-45.60436248779297,-19.99087905883789
0,patch_ab,code,15,True,3577,0.8733,2896,C,-35.56249237060547,-46.39445877075195,-20.04595947265625
0,patch_bb,code,15,True,3577,0.8733,2896,C,-35.74736785888672,-47.09840774536133,-20.268962860107422
0,patch_ba,code,15,True,3577,0.8733,2896,C,-35.74736785888672,-47.09840774536133,-20.268962860107422
0,patch_aa,code,15,True,3577,0.8733,2896,C,-35.56249237060547,-46.39445877075195,-20.04595947265625
0,unrel_pure_y,code,15,True,3584,0.875,0,C,-34.99348831176758,-45.656429290771484,-19.78868293762207
0,unrel_patch_xy,code,15,True,3584,0.875,2896,C,-35.27434158325195,-46.64894485473633,-20.012102127075195
0,unrel_patch_yy,code,15,True,3584,0.875,2896,C,-35.426265716552734,-46.606292724609375,-19.97930145263672
1,pure_a,code,15,True,3682,0.8989,0,E,-34.70866012573242,-45.70635223388672,-18.041778564453125
1,pure_b,code,15,True,3682,0.8989,0,E,-34.70866012573242,-45.70635223388672,-18.041778564453125
1,patch_ab,code,15,True,3682,0.8989,2896,E,-34.619205474853516,-45.986270904541016,-18.182100296020508
1,patch_bb,code,15,True,3682,0.8989,2896,E,-34.66632080078125,-45.77720642089844,-18.921667098999023
1,patch_ba,code,15,True,3682,0.8989,2896,E,-34.66632080078125,-45.77720642089844,-18.921667098999023
1,patch_aa,code,15,True,3682,0.8989,2896,E,-34.619205474853516,-45.986270904541016,-18.182100296020508
1,unrel_pure_y,code,15,True,3689,0.9006,0,E,-34.46512222290039,-46.1100959777832,-17.735347747802734
1,unrel_patch_xy,code,15,True,3689,0.9006,2896,E,-34.477210998535156,-47.19089126586914,-18.58201789855957
1,unrel_patch_yy,code,15,True,3689,0.9006,2896,E,-34.65074157714844,-47.42139434814453,-17.96306800842285
2,pure_a,code,15,True,3807,0.9294,0,A,-32.754364013671875,-45.386173248291016,-18.880226135253906
2,pure_b,code,15,True,3807,0.9294,0,A,-32.754364013671875,-45.386173248291016,-18.880226135253906
2,patch_ab,code,15,True,3807,0.9294,2896,A,-32.72268295288086,-46.39341354370117,-18.73512840270996
2,patch_bb,code,15,True,3807,0.9294,2896,A,-32.68655776977539,-46.852325439453125,-18.772871017456055
2,patch_ba,code,15,True,3807,0.9294,2896,A,-32.68655776977539,-46.852325439453125,-18.772871017456055
2,patch_aa,code,15,True,3807,0.9294,2896,A,-32.72268295288086,-46.39341354370117,-18.73512840270996
2,unrel_pure_y,code,15,True,3814,0.9312,0,A,-31.866899490356445,-44.413822174072266,-18.23909568786621
2,unrel_patch_xy,code,15,True,3814,0.9312,2896,A,-31.979324340820312,-45.40220260620117,-18.40302085876465
2,unrel_patch_yy,code,15,True,3814,0.9312,2896,A,-31.98562240600586,-45.66738510131836,-18.301477432250977
