probe,condition,filler,depth,closed,ctx_tokens,fill,patch_tokens,gold,s_a,s_b,s_p
0,pure_a,code,15,True,3577,0.8733,0,C,-35.28054428100586,-45.60436248779297,-19.99087905883789
0,pure_b,code,15,True,3577,0.8733,0,C,-35.28054428100586,-45.60436248779297,-19.99087905883789
0,patch_ab,code,15,True,3577,0.8733,156,C,-35.309783935546875,-45.69147872924805,-19.674423217773438
0,patch_bb,code,15,True,3577,0.8733,156,C,-35.21998596191406,-45.550819396972656,-19.681720733642578
0,patch_ba,code,15,True,3577,0.8733,156,C,-35.21998596191406,-45.550819396972656,-19.681720733642578
0,patch_aa,code,15,True,3577,0.8733,156,C,-35.309783935546875,-45.69147872924805,-19.674423217773438
0,unrel_pure_y,code,15,True,3584,0.875,0,C,-34.99348831176758,-45.656429290771484,-19.78868293762207
0,unrel_patch_xy,code,15,True,3584,0.875,156,C,-34.83866500854492,-45.184600830078125,-19.735610961914062
0,unrel_patch_yy,code,15,True,3584,0.875,156,C,-34.87826156616211,-45.51387023925781,-19.799034118652344
1,pure_a,code,15,True,3682,0.8989,0,E,-34.70866012573242,-45.70635223388672,-18.041778564453125
1,pure_b,code,15,True,3682,0.8989,0,E,-34.70866012573242,-45.70635223388672,-18.041778564453125
1,patch_ab,code,15,True,3682,0.8989,156,E,-34.48918914794922,-44.98228454589844,-17.891523361206055
1,patch_bb,code,15,True,3682,0.8989,156,E,-34.456302642822266,-45.41167449951172,-17.891870498657227
1,patch_ba,code,15,True,3682,0.8989,156,E,-34.456302642822266,-45.41167449951172,-17.891870498657227
1,patch_aa,code,15,True,3682,0.8989,156,E,-34.48918914794922,-44.98228454589844,-17.891523361206055
1,unrel_pure_y,code,15,True,3689,0.9006,0,E,-34.46512222290039,-46.1100959777832,-17.735347747802734
1,unrel_patch_xy,code,15,True,3689,0.9006,156,E,-34.45391845703125,-45.90109634399414,-18.062284469604492
1,unrel_patch_yy,code,15,True,3689,0.9006,156,E,-34.45266342163086,-46.37648010253906,-18.03458595275879
2,pure_a,code,15,True,3807,0.9294,0,A,-32.754364013671875,-45.386173248291016,-18.880226135253906
2,pure_b,code,15,True,3807,0.9294,0,A,-32.754364013671875,-45.386173248291016,-18.880226135253906
2,patch_ab,code,15,True,3807,0.9294,156,A,-33.06366729736328,-46.3338508605957,-18.660234451293945
2,patch_bb,code,15,True,3807,0.9294,156,A,-33.00947952270508,-46.23578643798828,-18.848777770996094
2,patch_ba,code,15,True,3807,0.9294,156,A,-33.00947952270508,-46.23578643798828,-18.848777770996094
2,patch_aa,code,15,True,3807,0.9294,156,A,-33.06366729736328,-46.3338508605957,-18.660234451293945
2,unrel_pure_y,code,15,True,3814,0.9312,0,A,-31.866899490356445,-44.413822174072266,-18.23909568786621
2,unrel_patch_xy,code,15,True,3814,0.9312,156,A,-31.945987701416016,-44.5884895324707,-18.396509170532227
2,unrel_patch_yy,code,15,True,3814,0.9312,156,A,-32.1287841796875,-44.85984420776367,-18.254858016967773
