probe,condition,filler,depth,closed,ctx_tokens,fill,patch_tokens,gold,s_a,s_b,s_p
0,pure_a,code,15,True,3577,0.8733,0,C,-35.28054428100586,-45.60436248779297,-19.99087905883789
0,pure_b,code,15,True,3577,0.8733,0,C,-35.28054428100586,-45.60436248779297,-19.99087905883789
0,patch_ab,code,15,True,3577,0.8733,155,C,-35.12118911743164,-44.60846710205078,-19.555850982666016
0,patch_bb,code,15,True,3577,0.8733,155,C,-32.146480560302734,-44.67464828491211,-14.345515251159668
0,patch_ba,code,15,True,3577,0.8733,155,C,-32.146480560302734,-44.67464828491211,-14.345515251159668
0,patch_aa,code,15,True,3577,0.8733,155,C,-35.12118911743164,-44.60846710205078,-19.555850982666016
0,unrel_pure_y,code,15,True,3584,0.875,0,C,-34.99348831176758,-45.656429290771484,-19.78868293762207
0,unrel_patch_xy,code,15,True,3584,0.875,155,C,-35.12132263183594,-44.54954528808594,-19.490989685058594
0,unrel_patch_yy,code,15,True,3584,0.875,155,C,-35.18373107910156,-44.64370346069336,-19.306636810302734
1,pure_a,code,15,True,3682,0.8989,0,E,-34.70866012573242,-45.70635223388672,-18.041778564453125
1,pure_b,code,15,True,3682,0.8989,0,E,-34.70866012573242,-45.70635223388672,-18.041778564453125
1,patch_ab,code,15,True,3682,0.8989,155,E,-34.093441009521484,-44.211761474609375,-16.82558250427246
1,patch_bb,code,15,True,3682,0.8989,155,E,-30.516788482666016,-43.35329818725586,-5.169288158416748
1,patch_ba,code,15,True,3682,0.8989,155,E,-30.516788482666016,-43.35329818725586,-5.169288158416748
1,patch_aa,code,15,True,3682,0.8989,155,E,-34.093441009521484,-44.211761474609375,-16.82558250427246
1,unrel_pure_y,code,15,True,3689,0.9006,0,E,-34.46512222290039,-46.1100959777832,-17.735347747802734
1,unrel_patch_xy,code,15,True,3689,0.9006,155,E,-34.17449188232422,-44.544307708740234,-17.447134017944336
1,unrel_patch_yy,code,15,True,3689,0.9006,155,E,-34.079612731933594,-44.100791931152344,-17.61945915222168
2,pure_a,code,15,True,3807,0.9294,0,A,-32.754364013671875,-45.386173248291016,-18.880226135253906
2,pure_b,code,15,True,3807,0.9294,0,A,-32.754364013671875,-45.386173248291016,-18.880226135253906
2,patch_ab,code,15,True,3807,0.9294,155,A,-32.310638427734375,-44.71611022949219,-18.139949798583984
2,patch_bb,code,15,True,3807,0.9294,155,A,-30.271581649780273,-43.17109298706055,-16.032318115234375
2,patch_ba,code,15,True,3807,0.9294,155,A,-30.271581649780273,-43.17109298706055,-16.032318115234375
2,patch_aa,code,15,True,3807,0.9294,155,A,-32.310638427734375,-44.71611022949219,-18.139949798583984
2,unrel_pure_y,code,15,True,3814,0.9312,0,A,-31.866899490356445,-44.413822174072266,-18.23909568786621
2,unrel_patch_xy,code,15,True,3814,0.9312,155,A,-32.72999572753906,-43.85822296142578,-18.47904396057129
2,unrel_patch_yy,code,15,True,3814,0.9312,155,A,-32.66962432861328,-44.419673919677734,-18.527162551879883
