probe,condition,filler,depth,closed,ctx_tokens,fill,patch_tokens,gold,s_a,s_b,s_p
0,pure_a,code,15,True,3577,0.8733,0,C,-35.28054428100586,-45.60436248779297,-19.99087905883789
0,pure_b,code,15,True,3577,0.8733,0,C,-35.28054428100586,-45.60436248779297,-19.99087905883789
0,patch_ab,code,15,True,3577,0.8733,155,C,-35.411834716796875,-45.46123123168945,-19.92574119567871
0,patch_bb,code,15,True,3577,0.8733,155,C,-35.47707748413086,-45.42882537841797,-19.80088996887207
0,patch_ba,code,15,True,3577,0.8733,155,C,-35.47707748413086,-45.42882537841797,-19.80088996887207
0,patch_aa,code,15,True,3577,0.8733,155,C,-35.411834716796875,-45.46123123168945,-19.92574119567871
0,unrel_pure_y,code,15,True,3584,0.875,0,C,-34.99348831176758,-45.656429290771484,-19.78868293762207
0,unrel_patch_xy,code,15,True,3584,0.875,155,C,-35.277198791503906,-46.29045104980469,-19.84233283996582
0,unrel_patch_yy,code,15,True,3584,0.875,155,C,-35.217384338378906,-45.7675895690918,-19.923391342163086
1,pure_a,code,15,True,3682,0.8989,0,E,-34.70866012573242,-45.70635223388672,-18.041778564453125
1,pure_b,code,15,True,3682,0.8989,0,E,-34.70866012573242,-45.70635223388672,-18.041778564453125
1,patch_ab,code,15,True,3682,0.8989,155,E,-34.43399429321289,-45.12342834472656,-17.768775939941406
1,patch_bb,code,15,True,3682,0.8989,155,E,-34.4371337890625,-45.432926177978516,-18.217918395996094
1,patch_ba,code,15,True,3682,0.8989,155,E,-34.4371337890625,-45.432926177978516,-18.217918395996094
1,patch_aa,code,15,True,3682,0.8989,155,E,-34.43399429321289,-45.12342834472656,-17.768775939941406
1,unrel_pure_y,code,15,True,3689,0.9006,0,E,-34.46512222290039,-46.1100959777832,-17.735347747802734
1,unrel_patch_xy,code,15,True,3689,0.9006,155,E,-34.33112716674805,-45.72352600097656,-17.82928466796875
1,unrel_patch_yy,code,15,True,3689,0.9006,155,E,-34.81584930419922,-46.325416564941406,-18.149887084960938
2,pure_a,code,15,True,3807,0.9294,0,A,-32.754364013671875,-45.386173248291016,-18.880226135253906
2,pure_b,code,15,True,3807,0.9294,0,A,-32.754364013671875,-45.386173248291016,-18.880226135253906
2,patch_ab,code,15,True,3807,0.9294,155,A,-33.08950424194336,-46.202579498291016,-18.69889259338379
2,patch_bb,code,15,True,3807,0.9294,155,A,-33.0548210144043,-45.94459533691406,-18.624401092529297
2,patch_ba,code,15,True,3807,0.9294,155,A,-33.0548210144043,-45.94459533691406,-18.624401092529297
2,patch_aa,code,15,True,3807,0.9294,155,A,-33.08950424194336,-46.202579498291016,-18.69889259338379
2,unrel_pure_y,code,15,True,3814,0.9312,0,A,-31.866899490356445,-44.413822174072266,-18.23909568786621
2,unrel_patch_xy,code,15,True,3814,0.9312,155,A,-31.932315826416016,-44.92060852050781,-18.561683654785156
2,unrel_patch_yy,code,15,True,3814,0.9312,155,A,-32.0242919921875,-44.97087097167969,-18.267738342285156
