probe,condition,filler,depth,closed,ctx_tokens,fill,patch_tokens,gold,s_a,s_b,s_p
0,pure_a,code,15,True,3577,0.8733,0,C,-35.28054428100586,-45.60436248779297,-19.99087905883789
0,pure_b,code,15,True,3577,0.8733,0,C,-35.28054428100586,-45.60436248779297,-19.99087905883789
0,patch_ab,code,15,True,3577,0.8733,327,C,-35.259429931640625,-44.811866760253906,-19.558835983276367
0,patch_bb,code,15,True,3577,0.8733,327,C,-35.442237854003906,-44.68464660644531,-19.61240005493164
0,patch_ba,code,15,True,3577,0.8733,327,C,-35.442237854003906,-44.68464660644531,-19.61240005493164
0,patch_aa,code,15,True,3577,0.8733,327,C,-35.259429931640625,-44.811866760253906,-19.558835983276367
0,unrel_pure_y,code,15,True,3584,0.875,0,C,-34.99348831176758,-45.656429290771484,-19.78868293762207
0,unrel_patch_xy,code,15,True,3584,0.875,327,C,-35.31392288208008,-45.20713424682617,-19.304950714111328
0,unrel_patch_yy,code,15,True,3584,0.875,327,C,-35.46614456176758,-45.84138870239258,-19.557703018188477
1,pure_a,code,15,True,3682,0.8989,0,E,-34.70866012573242,-45.70635223388672,-18.041778564453125
1,pure_b,code,15,True,3682,0.8989,0,E,-34.70866012573242,-45.70635223388672,-18.041778564453125
1,patch_ab,code,15,True,3682,0.8989,327,E,-34.980953216552734,-45.235660552978516,-17.603816986083984
1,patch_bb,code,15,True,3682,0.8989,327,E,-34.499080657958984,-44.80305862426758,-18.101003646850586
1,patch_ba,code,15,True,3682,0.8989,327,E,-34.499080657958984,-44.80305862426758,-18.101003646850586
1,patch_aa,code,15,True,3682,0.8989,327,E,-34.980953216552734,-45.235660552978516,-17.603816986083984
1,unrel_pure_y,code,15,True,3689,0.9006,0,E,-34.46512222290039,-46.1100959777832,-17.735347747802734
1,unrel_patch_xy,code,15,True,3689,0.9006,327,E,-34.403568267822266,-45.41229248046875,-17.742643356323242
1,unrel_patch_yy,code,15,True,3689,0.9006,327,E,-34.40266418457031,-44.92823791503906,-17.777387619018555
2,pure_a,code,15,True,3807,0.9294,0,A,-32.754364013671875,-45.386173248291016,-18.880226135253906
2,pure_b,code,15,True,3807,0.9294,0,A,-32.754364013671875,-45.386173248291016,-18.880226135253906
2,patch_ab,code,15,True,3807,0.9294,327,A,-33.66884994506836,-46.342674255371094,-18.660825729370117
2,patch_bb,code,15,True,3807,0.9294,327,A,-33.305694580078125,-45.68504333496094,-18.716859817504883
2,patch_ba,code,15,True,3807,0.9294,327,A,-33.305694580078125,-45.68504333496094,-18.716859817504883
2,patch_aa,code,15,True,3807,0.9294,327,A,-33.66884994506836,-46.342674255371094,-18.660825729370117
2,unrel_pure_y,code,15,True,3814,0.9312,0,A,-31.866899490356445,-44.413822174072266,-18.23909568786621
2,unrel_patch_xy,code,15,True,3814,0.9312,327,A,-33.02080535888672,-45.843990325927734,-18.613924026489258
2,unrel_patch_yy,code,15,True,3814,0.9312,327,A,-32.97687530517578,-45.89439392089844,-18.613929748535156
