probe,condition,filler,depth,closed,ctx_tokens,fill,patch_tokens,gold,s_a,s_b,s_p
0,pure_a,code,15,True,3577,0.8733,0,C,-35.28054428100586,-45.60436248779297,-19.99087905883789
0,pure_b,code,15,True,3577,0.8733,0,C,-35.28054428100586,-45.60436248779297,-19.99087905883789
0,patch_ab,code,15,True,3577,0.8733,155,C,-35.00077438354492,-44.03097152709961,-19.554719924926758
0,patch_bb,code,15,True,3577,0.8733,155,C,-32.7088737487793,-44.96833801269531,-14.668708801269531
0,patch_ba,code,15,True,3577,0.8733,155,C,-32.7088737487793,-44.96833801269531,-14.668708801269531
0,patch_aa,code,15,True,3577,0.8733,155,C,-35.00077438354492,-44.03097152709961,-19.554719924926758
0,unrel_pure_y,code,15,True,3584,0.875,0,C,-34.99348831176758,-45.656429290771484,-19.78868293762207
0,unrel_patch_xy,code,15,True,3584,0.875,155,C,-35.122379302978516,-44.49860382080078,-19.474790573120117
0,unrel_patch_yy,code,15,True,3584,0.875,155,C,-35.15024185180664,-44.76516342163086,-19.669225692749023
1,pure_a,code,15,True,3682,0.8989,0,E,-34.70866012573242,-45.70635223388672,-18.041778564453125
1,pure_b,code,15,True,3682,0.8989,0,E,-34.70866012573242,-45.70635223388672,-18.041778564453125
1,patch_ab,code,15,True,3682,0.8989,155,E,-33.965267181396484,-44.17484664916992,-17.35400390625
1,patch_bb,code,15,True,3682,0.8989,155,E,-30.88884925842285,-43.38467025756836,-7.413485527038574
1,patch_ba,code,15,True,3682,0.8989,155,E,-30.88884925842285,-43.38467025756836,-7.413485527038574
1,patch_aa,code,15,True,3682,0.8989,155,E,-33.965267181396484,-44.17484664916992,-17.35400390625
1,unrel_pure_y,code,15,True,3689,0.9006,0,E,-34.46512222290039,-46.1100959777832,-17.735347747802734
1,unrel_patch_xy,code,15,True,3689,0.9006,155,E,-34.20701217651367,-44.425315856933594,-17.74489402770996
1,unrel_patch_yy,code,15,True,3689,0.9006,155,E,-33.99939727783203,-43.80582809448242,-17.27001190185547
2,pure_a,code,15,True,3807,0.9294,0,A,-32.754364013671875,-45.386173248291016,-18.880226135253906
2,pure_b,code,15,True,3807,0.9294,0,A,-32.754364013671875,-45.386173248291016,-18.880226135253906
2,patch_ab,code,15,True,3807,0.9294,155,A,-31.952035903930664,-43.70549392700195,-18.018226623535156
2,patch_bb,code,15,True,3807,0.9294,155,A,-29.894990921020508,-42.2756233215332,-16.288860321044922
2,patch_ba,code,15,True,3807,0.9294,155,A,-29.894990921020508,-42.2756233215332,-16.288860321044922
2,patch_aa,code,15,True,3807,0.9294,155,A,-31.952035903930664,-43.70549392700195,-18.018226623535156
2,unrel_pure_y,code,15,True,3814,0.9312,0,A,-31.866899490356445,-44.413822174072266,-18.23909568786621
2,unrel_patch_xy,code,15,True,3814,0.9312,155,A,-32.4365234375,-44.478267669677734,-18.484010696411133
2,unrel_patch_yy,code,15,True,3814,0.9312,155,A,-32.10860061645508,-43.75117111206055,-18.169048309326172
3,pure_a,code,15,True,3745,0.9143,0,A,-32.81488037109375,-43.92451858520508,-18.90485954284668
