probe,condition,filler,depth,closed,ctx_tokens,fill,patch_tokens,gold,s_a,s_b,s_p,pred,compliant_a,compliant_b,response
0,pure_a,code,15,True,3577.0,0.8733,0.0,C,-35.28054428100586,-45.60436248779297,-19.99087905883789,,,,
0,pure_b,code,15,True,3577.0,0.8733,0.0,C,-35.28054428100586,-45.60436248779297,-19.99087905883789,,,,
0,patch_ab,code,15,True,3577.0,0.8733,3378.0,C,-35.71326446533203,-45.456172943115234,-19.42353630065918,,,,
0,patch_bb,code,15,True,3577.0,0.8733,3378.0,C,-32.23084259033203,-46.283164978027344,-14.211710929870605,,,,
0,patch_ba,code,15,True,3577.0,0.8733,3378.0,C,-32.23084259033203,-46.283164978027344,-14.211710929870605,,,,
0,patch_aa,code,15,True,3577.0,0.8733,3378.0,C,-35.71326446533203,-45.456172943115234,-19.42353630065918,,,,
0,unrel_pure_y,code,15,True,3584.0,0.875,0.0,C,-34.99348831176758,-45.656429290771484,-19.78868293762207,,,,
0,unrel_patch_xy,code,15,True,3584.0,0.875,3378.0,C,-34.93435287475586,-44.00673294067383,-19.248014450073242,,,,
0,unrel_patch_yy,code,15,True,3584.0,0.875,3378.0,C,-35.37302780151367,-44.839298248291016,-19.619022369384766,,,,
0,pure_a_gen,code,15,True,,,,C,,,,B,False,False,"Based on the provided information, the most likely diagnosis appears to be:

**B) URTI (Upper Respiratory Tract Infection)**

Here’s the reasoning:

- **Nasal Congestion or Clear Runny Nose**:**: This is a common symptom of URTI.
- **Severe Itching in One or Both Eyes and Nasal Itchiness**:**: These symptoms suggest an allergic reaction, which is more consistent with Allergic Sinusitis ("
0,pure_b_gen,code,15,True,,,,C,,,,B,False,False,"Based on the provided information, the most likely diagnosis appears to be:

**B) URTI (Upper Respiratory Tract Infection)**

Here's the reasoning:

- **Nasal Congestion or Clear Runny Nose**:**: This is a common symptom of URTI.
- **Severe Itching in One or Both Eyes**: and **Itchy Nose or Back of Throat**:: These symptoms suggest an allergic reaction, which is more consistent with **"
0,patch_ab_gen,code,15,True,,,,C,,,,,False,False,"Based on the provided information, the symptoms and history suggest a likely diagnosis of **Allergic Sinusitis**. Here's the reasoning:

- **Nasal Congestion or Clear Runny Nose**:**: This is a common symptom of allergic rhinitis.
- **Severe Itching in One or Both Eyes**:: This is a classic symptom of allergies, often indicating allergic conjunctivitis.
- **Yes — Is Your Nose or the Back of Your T"
0,patch_bb_gen,code,15,True,,,,C,,,,B,False,False,"Based on the symptoms and history provided, the most likely diagnosis appears to be:

**B) URTI (Upper Respiratory Tract Infection)**

Here's the reasoning:
- The patient is a 3-year-old male.
- Symptoms include nasal congestion or a clear runny nose, severe itching in the eyes, and a cough.
- There is no recent travel history or indication of living in a big city that would suggest allergies or e"
0,patch_ba_gen,code,15,True,,,,C,,,,B,False,False,"Based on the symptoms and history provided, the most likely diagnosis appears to be:

**B) URTI (Upper Respiratory Tract Infection)**

Here’s the reasoning:
- The patient is a 3-year-old male.
- Symptoms include nasal congestion or a clear runny nose, severe itching in the eyes, and a cough.
- There is no recent travel history or residence in a big city, which reduces the likelihood of other condi"
0,patch_aa_gen,code,15,True,,,,C,,,,,False,False,"Based on the provided information, the symptoms and history suggest a likely diagnosis of **Allergic Sinusitis**. Here’s the reasoning:

- **Nasal Congestion or Clear Runny Nose**:**: This is a common symptom of allergic rhinitis.
- **Severe Itching in One or Both Eyes**:: This is a classic symptom of allergies, particularly allergic rhinitis (hay fever).
- **Yes — Is Your Nose or the Back of Your"
0,unrel_pure_y_gen,code,15,True,,,,C,,,,B,False,False,"Based on the provided information, the most likely diagnosis appears to be:

**B) URTI (Upper Respiratory Tract Infection)**

Here’s the reasoning:

- **Nasal Congestion or Clear Runny Nose**:**: This is a common symptom of URTI.
- **Severe Itching in One or Both Eyes**:: This could indicate an allergic reaction, but the other symptoms suggest a viral infection rather than allergies.
- **Itchy Nos"
0,unrel_patch_xy_gen,code,15,True,,,,C,,,,B,False,False,"Based on the provided information, the most likely diagnosis appears to be:

**B) URTI (Upper Respiratory Tract Infection)**

Here’s the reasoning:

- **Nasal Congestion or Clear Runny Nose**:**: This is a common symptom of URTI.
- **Severe Itching in One or Both Eyes**:: This could indicate an allergic reaction, but the other symptoms suggest a viral infection rather than allergies.
- **Itchy Nos"
0,unrel_patch_yy_gen,code,15,True,,,,C,,,,B,False,False,"Based on the provided information, the most likely diagnosis appears to be:

**B) URTI (Upper Respiratory Tract Infection)**

Here’s the reasoning:

- **Nasal Congestion or Clear Runny Nose**:**: This is a common symptom of URTI.
- **Severe Itching in One or Both Eyes and Nasal Itchiness**:**: These symptoms suggest an allergic reaction, which is more consistent with Allergic Sinusitis ("
1,pure_a,code,15,True,3682.0,0.8989,0.0,E,-34.70866012573242,-45.70635223388672,-18.041778564453125,,,,
1,pure_b,code,15,True,3682.0,0.8989,0.0,E,-34.70866012573242,-45.70635223388672,-18.041778564453125,,,,
1,patch_ab,code,15,True,3682.0,0.8989,3378.0,E,-34.423126220703125,-45.53314208984375,-17.629634857177734,,,,
1,patch_bb,code,15,True,3682.0,0.8989,3378.0,E,-30.883607864379883,-45.43635559082031,-5.036419868469238,,,,
1,patch_ba,code,15,True,3682.0,0.8989,3378.0,E,-30.883607864379883,-45.43635559082031,-5.036419868469238,,,,
1,patch_aa,code,15,True,3682.0,0.8989,3378.0,E,-34.423126220703125,-45.53314208984375,-17.629634857177734,,,,
1,unrel_pure_y,code,15,True,3689.0,0.9006,0.0,E,-34.46512222290039,-46.1100959777832,-17.735347747802734,,,,
1,unrel_patch_xy,code,15,True,3689.0,0.9006,3378.0,E,-34.62721633911133,-44.38102340698242,-17.704280853271484,,,,
1,unrel_patch_yy,code,15,True,3689.0,0.9006,3378.0,E,-34.82181930541992,-44.715003967285156,-17.9099178314209,,,,
1,pure_a_gen,code,15,True,,,,E,,,,E,False,False,"Based on the provided information, the most likely diagnosis for the 19-year-old female patient is:

**E) Bronchospasm / acute asthma exacerbation**

Here’s the reasoning:

1. **Symptoms:**
   - Shortness of breath or difficulty breathing
   - Cough
   - Wheezing sound during exhalation

2. **History:**
   - Family history of asthma
   - Hospitalization for an asthma attack in the past"
1,pure_b_gen,code,15,True,,,,E,,,,E,False,False,"Based on the provided information, the most likely diagnosis for the 19-year-old female patient is:

**E) Bronchospasm / acute asthma exacerbation**

Here's the reasoning:

1. **Symptoms:**
   - Shortness of breath or difficulty breathing
   - Cough
   - Wheezing sound during exhalation

2. **History:**
   - Family history of asthma
   - Hospitalization for an asthma attack in the past"
1,patch_ab_gen,code,15,True,,,,E,,,,E,False,False,"Based on the provided information, the most likely diagnosis for the 19-year-old female patient is:

**E) Bronchospasm / acute asthma exacerbation**

Here's the reasoning:

1. **Symptoms:**
   - Shortness of breath or difficulty breathing
   - Cough
   - Wheezing sound during exhalation

2. **History:**
   - Family history of asthma
   - Hospitalization for an asthma attack in the past"
1,patch_bb_gen,code,15,True,,,,E,,,,E,False,False,"Based on the provided information, the most likely diagnosis for the 19-year-old female patient is:

**E) Bronchospasm / acute asthma exacerbation**

Here’s the reasoning:

- **Cough**: - Present
- **Shortness of breath or difficulty breathing** - Present
- **Wheezing sound on exhalation** - Present
- **Family history of asthma** - Present
- **Hospitalization for asthma attack in the past year"
1,patch_ba_gen,code,15,True,,,,E,,,,E,False,False,"Based on the provided information, the most likely diagnosis for the 19-year-old female patient is:

**E) Bronchospasm / acute asthma exacerbation**

Here’s the reasoning:

- **Cough**: - Present
- **Shortness of breath or difficulty breathing** - Present
- **Wheezing sound on exhalation** - Present
- **Family history of asthma** - Present
- **Hospitalization for asthma attack in the past year"
1,patch_aa_gen,code,15,True,,,,E,,,,E,False,False,"Based on the provided information, the most likely diagnosis for the 19-year-old female patient is:

**E) Bronchospasm / acute asthma exacerbation**

Here’s the reasoning:

1. **Symptoms**::
   - Shortness of breath or difficulty breathing
   - Cough
   - Wheezing sound during exhalation

2. **History**:
   - Family history of asthma
   - Hospitalization for an asthma attack in the past"
1,unrel_pure_y_gen,code,15,True,,,,E,,,,E,False,False,"Based on the provided information, the most likely diagnosis for the 19-year-old female patient with a cough, shortness of breath, wheezing, and a history of asthma, sinusitis, and exposure to secondhand smoke is:

**E) Bronchospasm / acute asthma exacerbation**

Here’s the reasoning:

1. **Symptoms**::
   - Shortness of breath or difficulty breathing
   - Cough
   - Wheezing (heard"
1,unrel_patch_xy_gen,code,15,True,,,,E,,,,E,False,False,"Based on the provided information, the most likely diagnosis for this 19-year-old female patient is:

**E) Bronchospasm / acute asthma exacerbation**

Here’s the reasoning:

1. **Symptoms**::
   - Shortness of breath or difficulty breathing
   - Cough
   - Wheezing sound during exhalation

2. **History**:
   - Family history of asthma
   - Hospitalization for an asthma attack in the past"
