probe,condition,filler,depth,closed,ctx_tokens,fill,patch_tokens,gold,s_a,s_b,s_p,pred,compliant_a,compliant_b,response
0,pure_a,mmlu,42,True,3673.0,0.8967,0.0,A,-37.29254913330078,-50.4554443359375,0.0,,,,
0,pure_b,mmlu,42,True,3673.0,0.8967,0.0,A,-37.29254913330078,-50.4554443359375,0.0,,,,
0,patch_ab,mmlu,42,True,3673.0,0.8967,3266.0,A,-36.084693908691406,-47.42144775390625,0.0,,,,
0,patch_bb,mmlu,42,True,3673.0,0.8967,3266.0,A,-35.81740951538086,-48.43022537231445,0.0,,,,
0,patch_ba,mmlu,42,True,3673.0,0.8967,3266.0,A,-35.81740951538086,-48.43022537231445,0.0,,,,
0,patch_aa,mmlu,42,True,3673.0,0.8967,3266.0,A,-36.084693908691406,-47.42144775390625,0.0,,,,
0,unrel_pure_y,mmlu,42,True,3680.0,0.8984,0.0,A,-35.58015060424805,-49.18126678466797,0.0,,,,
0,unrel_patch_xy,mmlu,42,True,3680.0,0.8984,3266.0,A,-36.77814483642578,-47.94569778442383,0.0,,,,
0,unrel_patch_yy,mmlu,42,True,3680.0,0.8984,3266.0,A,-37.12570571899414,-48.461177825927734,0.0,,,,
0,pure_a_gen,mmlu,42,True,,,,A,,,,A,False,False,A
0,pure_b_gen,mmlu,42,True,,,,A,,,,A,False,False,A
0,patch_ab_gen,mmlu,42,True,,,,A,,,,A,False,False,A
0,patch_bb_gen,mmlu,42,True,,,,A,,,,A,False,False,A
0,patch_ba_gen,mmlu,42,True,,,,A,,,,A,False,False,A
0,patch_aa_gen,mmlu,42,True,,,,A,,,,A,False,False,A
0,unrel_pure_y_gen,mmlu,42,True,,,,A,,,,A,False,False,A
0,unrel_patch_xy_gen,mmlu,42,True,,,,A,,,,A,False,False,A
0,unrel_patch_yy_gen,mmlu,42,True,,,,A,,,,A,False,False,A
1,pure_a,mmlu,42,True,3539.0,0.864,0.0,D,-39.687564849853516,-47.88697052001953,0.0,,,,
1,pure_b,mmlu,42,True,3539.0,0.864,0.0,D,-39.687564849853516,-47.88697052001953,0.0,,,,
1,patch_ab,mmlu,42,True,3539.0,0.864,3266.0,D,-37.207122802734375,-44.61671447753906,-5.960464477539063e-08,,,,
1,patch_bb,mmlu,42,True,3539.0,0.864,3266.0,D,-37.090972900390625,-42.5807991027832,-5.960464477539063e-08,,,,
1,patch_ba,mmlu,42,True,3539.0,0.864,3266.0,D,-37.090972900390625,-42.5807991027832,-5.960464477539063e-08,,,,
1,patch_aa,mmlu,42,True,3539.0,0.864,3266.0,D,-37.207122802734375,-44.61671447753906,-5.960464477539063e-08,,,,
1,unrel_pure_y,mmlu,42,True,3546.0,0.8657,0.0,D,-37.97380447387695,-46.091949462890625,0.0,,,,
1,unrel_patch_xy,mmlu,42,True,3546.0,0.8657,3266.0,D,-39.354713439941406,-46.35734558105469,0.0,,,,
1,unrel_patch_yy,mmlu,42,True,3546.0,0.8657,3266.0,D,-39.077152252197266,-46.404396057128906,-1.1920930376163597e-07,,,,
1,pure_a_gen,mmlu,42,True,,,,D,,,,B,False,False,B
1,pure_b_gen,mmlu,42,True,,,,D,,,,B,False,False,B
1,patch_ab_gen,mmlu,42,True,,,,D,,,,B,False,False,B
1,patch_bb_gen,mmlu,42,True,,,,D,,,,B,False,False,B
1,patch_ba_gen,mmlu,42,True,,,,D,,,,B,False,False,B
1,patch_aa_gen,mmlu,42,True,,,,D,,,,B,False,False,B
1,unrel_pure_y_gen,mmlu,42,True,,,,D,,,,B,False,False,B
1,unrel_patch_xy_gen,mmlu,42,True,,,,D,,,,B,False,False,B
1,unrel_patch_yy_gen,mmlu,42,True,,,,D,,,,B,False,False,B
2,pure_a,mmlu,42,True,3798.0,0.9272,0.0,A,-38.59127426147461,-51.34828186035156,0.0,,,,
2,pure_b,mmlu,42,True,3798.0,0.9272,0.0,A,-38.59127426147461,-51.34828186035156,0.0,,,,
2,patch_ab,mmlu,42,True,3798.0,0.9272,3266.0,A,-35.966583251953125,-48.132442474365234,0.0,,,,
2,patch_bb,mmlu,42,True,3798.0,0.9272,3266.0,A,-37.890384674072266,-50.00174331665039,0.0,,,,
2,patch_ba,mmlu,42,True,3798.0,0.9272,3266.0,A,-37.890384674072266,-50.00174331665039,0.0,,,,
2,patch_aa,mmlu,42,True,3798.0,0.9272,3266.0,A,-35.966583251953125,-48.132442474365234,0.0,,,,
2,unrel_pure_y,mmlu,42,True,3805.0,0.929,0.0,A,-36.97294235229492,-50.58871841430664,0.0,,,,
2,unrel_patch_xy,mmlu,42,True,3805.0,0.929,3266.0,A,-38.98908233642578,-50.33320236206055,0.0,,,,
2,unrel_patch_yy,mmlu,42,True,3805.0,0.929,3266.0,A,-38.9473876953125,-50.92078399658203,0.0,,,,
2,pure_a_gen,mmlu,42,True,,,,A,,,,A,False,False,A
2,pure_b_gen,mmlu,42,True,,,,A,,,,A,False,False,A
2,patch_ab_gen,mmlu,42,True,,,,A,,,,A,False,False,A
2,patch_bb_gen,mmlu,42,True,,,,A,,,,A,False,False,A
2,patch_ba_gen,mmlu,42,True,,,,A,,,,A,False,False,A
2,patch_aa_gen,mmlu,42,True,,,,A,,,,A,False,False,A
2,unrel_pure_y_gen,mmlu,42,True,,,,A,,,,A,False,False,A
2,unrel_patch_xy_gen,mmlu,42,True,,,,A,,,,A,False,False,A
2,unrel_patch_yy_gen,mmlu,42,True,,,,A,,,,A,False,False,A
3,pure_a,mmlu,42,True,3592.0,0.877,0.0,D,-37.60594940185547,-46.300968170166016,0.0,,,,
3,pure_b,mmlu,42,True,3592.0,0.877,0.0,D,-37.60594940185547,-46.300968170166016,0.0,,,,
3,patch_ab,mmlu,42,True,3592.0,0.877,3266.0,D,-35.38905334472656,-42.05112075805664,0.0,,,,
3,patch_bb,mmlu,42,True,3592.0,0.877,3266.0,D,-35.01753616333008,-41.755760192871094,0.0,,,,
3,patch_ba,mmlu,42,True,3592.0,0.877,3266.0,D,-35.01753616333008,-41.755760192871094,0.0,,,,
3,patch_aa,mmlu,42,True,3592.0,0.877,3266.0,D,-35.38905334472656,-42.05112075805664,0.0,,,,
3,unrel_pure_y,mmlu,42,True,3599.0,0.8787,0.0,D,-36.16498947143555,-45.15424728393555,0.0,,,,
3,unrel_patch_xy,mmlu,42,True,3599.0,0.8787,3266.0,D,-36.2070198059082,-42.64698791503906,1.1920928244535389e-07,,,,
3,unrel_patch_yy,mmlu,42,True,3599.0,0.8787,3266.0,D,-36.3310661315918,-43.39304733276367,1.1920928244535389e-07,,,,
3,pure_a_gen,mmlu,42,True,,,,D,,,,D,False,False,D
3,pure_b_gen,mmlu,42,True,,,,D,,,,D,False,False,D
3,patch_ab_gen,mmlu,42,True,,,,D,,,,D,False,False,D
3,patch_bb_gen,mmlu,42,True,,,,D,,,,D,False,False,D
3,patch_ba_gen,mmlu,42,True,,,,D,,,,D,False,False,D
3,patch_aa_gen,mmlu,42,True,,,,D,,,,D,False,False,D
3,unrel_pure_y_gen,mmlu,42,True,,,,D,,,,D,False,False,D
3,unrel_patch_xy_gen,mmlu,42,True,,,,D,,,,D,False,False,D
3,unrel_patch_yy_gen,mmlu,42,True,,,,D,,,,D,False,False,D
