mode,session,position,context_fill,subject,gold,pred,correct
random,0,0,0.0149,high_school_european_history,B,B,True
random,0,1,0.0559,high_school_chemistry,D,C,False
random,0,2,0.0813,high_school_biology,D,D,True
random,0,3,0.1228,high_school_european_history,B,D,False
random,0,4,0.2219,high_school_psychology,D,D,True
random,0,5,0.2422,high_school_biology,D,D,True
random,0,6,0.2573,moral_scenarios,A,A,True
random,0,7,0.2939,elementary_mathematics,D,D,True
random,0,8,0.3086,moral_scenarios,A,B,False
random,0,9,0.3381,machine_learning,B,B,True
random,0,10,0.3606,professional_accounting,A,C,False
random,0,11,0.3811,human_aging,B,C,False
random,0,12,0.3945,professional_law,B,C,False
random,0,13,0.5103,moral_scenarios,D,C,False
random,0,14,0.5405,econometrics,B,B,True
random,0,15,0.5698,human_sexuality,A,C,False
random,0,16,0.5911,professional_accounting,D,A,False
random,0,17,0.6194,clinical_knowledge,D,C,False
random,0,18,0.6404,college_chemistry,A,A,True
random,0,19,0.656,professional_psychology,A,A,True
random,0,20,0.6743,world_religions,D,D,True
random,0,21,0.6882,miscellaneous,B,B,True
random,0,22,0.7122,econometrics,D,D,True
random,0,23,0.7383,high_school_world_history,B,B,True
random,0,24,0.7881,high_school_psychology,B,B,True
random,0,25,0.8196,high_school_chemistry,D,B,False
random,0,26,0.8718,high_school_psychology,A,A,True
random,1,0,0.0149,high_school_statistics,B,B,True
random,1,1,0.0488,high_school_biology,C,C,True
random,1,2,0.0752,us_foreign_policy,A,A,True
random,1,3,0.0918,moral_scenarios,C,C,True
random,1,4,0.1248,high_school_psychology,B,B,True
random,1,5,0.1418,clinical_knowledge,D,D,True
random,1,6,0.1606,prehistory,D,D,True
random,1,7,0.1863,miscellaneous,A,A,True
random,1,8,0.2009,logical_fallacies,B,A,False
random,1,9,0.2217,college_chemistry,D,D,True
random,1,10,0.2417,professional_law,A,A,True
random,1,11,0.3176,high_school_chemistry,C,C,True
random,1,12,0.3403,management,B,B,True
random,1,13,0.3604,high_school_geography,B,A,False
random,1,14,0.3767,professional_law,A,D,False
random,1,15,0.4397,high_school_macroeconomics,D,D,True
random,1,16,0.46,elementary_mathematics,C,C,True
random,1,17,0.4763,professional_law,D,A,False
random,1,18,0.5461,human_aging,C,B,False
random,1,19,0.5615,high_school_us_history,B,B,True
random,1,20,0.6719,medical_genetics,C,C,True
random,1,21,0.6958,high_school_european_history,D,D,True
random,1,22,0.7827,high_school_biology,A,A,True
random,1,23,0.8,high_school_psychology,D,D,True
random,1,24,0.8203,high_school_government_and_politics,C,C,True
random,1,25,0.8389,high_school_us_history,C,C,True
random,2,0,0.0149,professional_medicine,B,B,True
random,2,1,0.0693,professional_accounting,D,D,True
random,2,2,0.0959,high_school_psychology,A,B,False
random,2,3,0.1233,philosophy,C,C,True
random,2,4,0.1431,professional_psychology,A,A,True
random,2,5,0.1753,security_studies,A,A,True
random,2,6,0.2297,high_school_us_history,D,B,False
random,2,7,0.3315,professional_law,C,C,True
random,2,8,0.3879,us_foreign_policy,B,B,True
random,2,9,0.4038,miscellaneous,A,A,True
random,2,10,0.4211,professional_law,A,A,True
random,2,11,0.4375,professional_law,D,C,False
random,2,12,0.488,professional_accounting,C,C,True
random,2,13,0.5081,professional_law,C,A,False
random,2,14,0.5874,econometrics,C,A,False
random,2,15,0.6323,high_school_chemistry,D,C,False
random,2,16,0.6577,us_foreign_policy,A,A,True
random,2,17,0.6772,moral_disputes,B,C,False
random,2,18,0.7017,professional_law,C,C,True
random,2,19,0.7588,high_school_macroeconomics,B,A,False
random,2,20,0.7754,professional_law,A,D,False
random,2,21,0.8206,professional_law,C,C,True
random,3,0,0.0149,moral_scenarios,B,B,True
random,3,1,0.0437,professional_law,B,A,False
random,3,2,0.1067,econometrics,C,C,True
random,3,3,0.1367,clinical_knowledge,B,B,True
random,3,4,0.1599,professional_law,B,B,True
random,3,5,0.2112,human_aging,B,B,True
random,3,6,0.2275,moral_scenarios,A,A,True
random,3,7,0.2583,high_school_us_history,B,B,True
random,3,8,0.3083,miscellaneous,C,C,True
random,3,9,0.3208,logical_fallacies,A,A,True
random,3,10,0.3413,electrical_engineering,D,D,True
random,3,11,0.3635,electrical_engineering,D,D,True
random,3,12,0.3838,management,C,C,True
random,3,13,0.3994,elementary_mathematics,C,B,False
random,3,14,0.415,human_sexuality,B,B,True
random,3,15,0.4299,professional_law,C,B,False
random,3,16,0.5132,high_school_mathematics,D,D,True
random,3,17,0.5376,high_school_us_history,B,B,True
random,3,18,0.6277,high_school_psychology,D,D,True
random,3,19,0.6538,formal_logic,A,A,True
random,3,20,0.6802,high_school_government_and_politics,D,D,True
random,3,21,0.7024,high_school_government_and_politics,C,C,True
random,3,22,0.7222,professional_psychology,D,D,True
random,3,23,0.7461,professional_law,D,D,True
random,3,24,0.7639,college_computer_science,D,B,False
random,3,25,0.7874,miscellaneous,A,A,True
random,3,26,0.802,moral_disputes,A,A,True
random,3,27,0.8259,econometrics,C,C,True
random,3,28,0.8606,moral_disputes,B,A,False
random,4,0,0.0149,conceptual_physics,B,B,True
