mode,session,position,context_fill,subject,gold,pred,correct
random,0,0,0.0149,high_school_european_history,B,B,True
random,0,1,0.0559,high_school_chemistry,D,C,False
random,0,2,0.0813,high_school_biology,D,D,True
random,0,3,0.1228,high_school_european_history,B,D,False
random,0,4,0.2219,high_school_psychology,D,D,True
random,0,5,0.2422,high_school_biology,D,D,True
random,0,6,0.2573,moral_scenarios,A,A,True
random,0,7,0.2939,elementary_mathematics,D,D,True
random,0,8,0.3086,moral_scenarios,A,B,False
random,0,9,0.3381,machine_learning,B,B,True
random,0,10,0.3606,professional_accounting,A,C,False
random,0,11,0.3811,human_aging,B,C,False
random,0,12,0.3945,professional_law,B,C,False
random,0,13,0.5103,moral_scenarios,D,C,False
random,0,14,0.5405,econometrics,B,B,True
random,0,15,0.5698,human_sexuality,A,C,False
random,0,16,0.5911,professional_accounting,D,A,False
random,0,17,0.6194,clinical_knowledge,D,C,False
random,0,18,0.6404,college_chemistry,A,A,True
random,0,19,0.656,professional_psychology,A,A,True
random,0,20,0.6743,world_religions,D,D,True
random,0,21,0.6882,miscellaneous,B,B,True
random,0,22,0.7122,econometrics,D,D,True
random,0,23,0.7383,high_school_world_history,B,B,True
random,0,24,0.7881,high_school_psychology,B,B,True
random,0,25,0.8196,high_school_chemistry,D,B,False
random,0,26,0.8718,high_school_psychology,A,A,True
coherent,0,0,0.0149,high_school_psychology,B,B,True
coherent,0,1,0.0522,high_school_psychology,B,B,True
coherent,0,2,0.0684,high_school_psychology,A,A,True
coherent,0,3,0.0891,high_school_psychology,A,A,True
coherent,0,4,0.1042,high_school_psychology,A,A,True
coherent,0,5,0.1311,high_school_psychology,D,D,True
coherent,0,6,0.1477,high_school_psychology,C,C,True
coherent,0,7,0.1709,high_school_psychology,A,A,True
coherent,0,8,0.1941,high_school_psychology,D,D,True
coherent,0,9,0.2148,high_school_psychology,B,B,True
coherent,0,10,0.2346,high_school_psychology,B,B,True
coherent,0,11,0.2478,high_school_psychology,C,C,True
coherent,0,12,0.2661,high_school_psychology,C,C,True
coherent,0,13,0.2886,high_school_psychology,D,D,True
coherent,0,14,0.3088,high_school_psychology,D,D,True
coherent,0,15,0.3274,high_school_psychology,B,B,True
coherent,0,16,0.3438,high_school_psychology,D,,False
coherent,0,17,0.3652,high_school_psychology,C,C,True
coherent,0,18,0.3838,high_school_psychology,A,A,True
coherent,0,19,0.4004,high_school_psychology,D,C,False
coherent,0,20,0.418,high_school_psychology,A,A,True
coherent,0,21,0.4658,high_school_psychology,A,A,True
coherent,0,22,0.4844,high_school_psychology,C,C,True
coherent,0,23,0.5022,high_school_psychology,D,D,True
coherent,0,24,0.5229,high_school_psychology,D,D,True
coherent,0,25,0.5386,high_school_psychology,D,D,True
coherent,0,26,0.5549,high_school_psychology,C,C,True
coherent,0,27,0.5706,high_school_psychology,A,A,True
coherent,0,28,0.5942,high_school_psychology,D,D,True
coherent,0,29,0.6145,high_school_psychology,C,C,True
coherent,0,30,0.6438,high_school_psychology,C,C,True
coherent,0,31,0.6631,high_school_psychology,B,B,True
coherent,0,32,0.6824,high_school_psychology,B,B,True
coherent,0,33,0.6992,high_school_psychology,D,B,False
coherent,0,34,0.7173,high_school_psychology,B,B,True
coherent,0,35,0.7358,high_school_psychology,A,A,True
coherent,0,36,0.7556,high_school_psychology,D,,False
coherent,0,37,0.7734,high_school_psychology,C,B,False
coherent,0,38,0.7908,high_school_psychology,B,B,True
coherent,0,39,0.8071,high_school_psychology,D,D,True
coherent,0,40,0.8328,high_school_psychology,D,D,True
coherent,0,41,0.8491,high_school_psychology,B,B,True
coherent,0,42,0.8647,high_school_psychology,C,C,True
