condition,case,entropy,pred,gold,correct
clean,0,0.27291900031268596,D,D,True
clean,1,0.2706957768648863,A,B,False
clean,2,0.235613258741796,C,A,False
clean,3,0.20765755586326123,D,D,True
clean,4,0.5642716705799102,D,C,False
clean,5,0.3452020674943924,C,A,False
clean,6,0.2508135322481394,B,B,True
clean,7,0.23851686716079712,D,D,True
clean,8,0.2884352053515613,C,C,True
clean,9,0.4244038436561823,D,D,True
clean,10,0.1633223570883274,B,A,False
clean,11,0.5948918600952311,A,A,True
clean,12,0.1587327990680933,A,A,True
clean,13,0.27216568365693095,D,C,False
clean,14,0.18432137444615365,B,B,True
clean,15,0.23394766747951506,A,A,True
clean,16,0.4777628920972347,A,D,False
clean,17,0.2013406442478299,A,C,False
clean,18,0.23655807906761767,A,B,False
clean,19,0.22869154559448363,D,A,False
fatigued,0,0.3708839448954677,A,D,False
fatigued,1,0.2842979126192707,A,B,False
fatigued,2,0.3956967911683023,A,A,True
fatigued,3,0.46791187608614565,D,D,True
fatigued,4,0.2950878876128829,B,C,False
fatigued,5,0.4339292000513524,A,A,True
fatigued,6,0.36804885123355136,B,B,True
fatigued,7,0.28033589603728615,D,D,True
fatigued,8,0.48992894161492584,C,C,True
fatigued,9,0.5474004151299596,C,D,False
fatigued,10,0.466348479827866,D,A,False
fatigued,11,0.97758306887548,A,A,True
fatigued,12,0.3990300682373345,A,A,True
fatigued,13,0.31233774669979336,D,C,False
fatigued,14,0.4846276772208512,A,B,False
fatigued,15,0.45379930138587954,A,A,True
fatigued,16,0.38629737898655647,A,D,False
fatigued,17,0.5554227223619819,D,C,False
fatigued,18,0.41157077960669997,A,B,False
fatigued,19,0.4693830940872431,D,A,False
fatigued+F90871,0,0.3796439221348717,A,D,False
fatigued+F90871,1,0.2847975242079378,A,B,False
fatigued+F90871,2,0.42383105056360365,A,A,True
fatigued+F90871,3,0.4859212085604668,D,D,True
fatigued+F90871,4,0.3037171027923857,B,C,False
fatigued+F90871,5,0.4521250449120998,A,A,True
fatigued+F90871,6,0.4111839379976219,B,B,True
fatigued+F90871,7,0.2806717868228993,D,D,True
fatigued+F90871,8,0.5427550092339516,C,C,True
fatigued+F90871,9,0.5782344385981559,C,D,False
fatigued+F90871,10,0.475543559063226,D,A,False
fatigued+F90871,11,1.0849068321404047,A,A,True
fatigued+F90871,12,0.40302764270454644,A,A,True
fatigued+F90871,13,0.31488244177792996,D,C,False
fatigued+F90871,14,0.4825030643958598,A,B,False
fatigued+F90871,15,0.4768916178261861,A,A,True
fatigued+F90871,16,0.4210975702282869,A,D,False
fatigued+F90871,17,0.5846066085156053,D,C,False
fatigued+F90871,18,0.43548554214648905,A,B,False
fatigued+F90871,19,0.48474164004437625,D,A,False
fatigued+random,0,0.8376497305929661,A,D,False
fatigued+random,1,0.4807310143020004,A,B,False
fatigued+random,2,0.41791452271863816,A,A,True
fatigued+random,3,0.4489823503419757,D,D,True
fatigued+random,4,0.3263389804382718,B,C,False
fatigued+random,5,0.41224494683556256,A,A,True
fatigued+random,6,0.4008664357226937,B,B,True
fatigued+random,7,0.28916421461892444,D,D,True
fatigued+random,8,0.4722906083799899,C,C,True
fatigued+random,9,0.5453007500618696,C,D,False
fatigued+random,10,0.4624568876810372,D,A,False
fatigued+random,11,1.1362325797478359,A,A,True
fatigued+random,12,0.3773893781006336,A,A,True
fatigued+random,13,0.5276632810011506,C,C,True
fatigued+random,14,0.5515678448602557,A,B,False
fatigued+random,15,0.49553367085754874,A,A,True
fatigued+random,16,0.8851035416126252,A,D,False
fatigued+random,17,0.5238116232212633,D,C,False
fatigued+random,18,0.36678849831223487,A,B,False
fatigued+random,19,0.5247812676243484,D,A,False
