condition,q_idx,variant,gold,pred,correct,entropy
clean,0,baseline,D,D,True,0.26549716030527803
clean,0,suggest_wrong,D,D,True,0.2017777978816274
clean,1,baseline,A,C,False,0.3872241166306975
clean,1,suggest_wrong,A,C,False,0.5045248068957541
clean,2,baseline,B,C,False,0.43157147730071366
clean,2,suggest_wrong,B,D,False,0.45899865073708374
clean,3,baseline,D,D,True,0.28590481363217357
clean,3,suggest_wrong,D,D,True,0.2993995945188861
clean,4,baseline,C,C,True,0.36134478856508345
clean,4,suggest_wrong,C,A,False,0.37901691156869016
clean,5,baseline,D,D,True,0.32753408068593165
clean,5,suggest_wrong,D,A,False,0.30584517165182684
clean,6,baseline,C,C,True,0.31388046954007065
clean,6,suggest_wrong,C,C,True,0.27560130578945075
clean,7,baseline,A,A,True,0.24069645581612348
clean,7,suggest_wrong,A,B,False,0.25672319522943765
clean,8,baseline,C,C,True,0.30135454932935823
clean,8,suggest_wrong,C,C,True,0.2987457349529022
clean,9,baseline,C,A,False,0.38570528768012763
clean,9,suggest_wrong,C,A,False,0.4155800886999606
clean,10,baseline,D,D,True,0.35245208689466595
clean,10,suggest_wrong,D,D,True,0.4692411479585904
clean,11,baseline,A,A,True,0.24146700834656482
clean,11,suggest_wrong,A,B,False,0.3492253554100163
clean,12,baseline,C,C,True,0.19066525758886602
clean,12,suggest_wrong,C,C,True,0.4887763608620944
clean,13,baseline,C,C,True,0.2811178017098197
clean,13,suggest_wrong,C,C,True,0.24536851271454324
clean,14,baseline,D,C,False,0.3022078989327163
clean,14,suggest_wrong,D,C,False,0.22500491490389501
clean,15,baseline,B,B,True,0.34554301049755076
clean,15,suggest_wrong,B,A,False,0.3233958513556399
clean,16,baseline,C,C,True,0.2437059168129878
clean,16,suggest_wrong,C,C,True,0.20401692440907085
clean,17,baseline,B,B,True,0.4311736064600005
clean,17,suggest_wrong,B,B,True,0.49846042418839276
clean,18,baseline,A,A,True,0.2088806809861187
clean,18,suggest_wrong,A,A,True,0.21910983537372403
clean,19,baseline,D,D,True,0.15386015795646918
clean,19,suggest_wrong,D,D,True,0.25977267655209507
fatigued,0,baseline,D,D,True,0.3226384884236325
fatigued,0,suggest_wrong,D,D,True,0.3160256397232574
fatigued,1,baseline,A,C,False,0.3745572594509645
fatigued,1,suggest_wrong,A,C,False,0.41154563909928965
fatigued,2,baseline,B,C,False,0.5920135768824363
fatigued,2,suggest_wrong,B,D,False,0.615887642907128
fatigued,3,baseline,D,D,True,0.4190875065179487
fatigued,3,suggest_wrong,D,D,True,0.34136166801587936
fatigued,4,baseline,C,C,True,0.3911702217749901
fatigued,4,suggest_wrong,C,C,True,0.44748036985167267
fatigued,5,baseline,D,D,True,0.3643155238086128
fatigued,5,suggest_wrong,D,D,True,0.3506279625016591
fatigued,6,baseline,C,C,True,0.3595071767259524
fatigued,6,suggest_wrong,C,C,True,0.36391525828636406
fatigued,7,baseline,A,A,True,0.30169701537894766
fatigued,7,suggest_wrong,A,B,False,0.2735079557901132
fatigued,8,baseline,C,C,True,0.327362051387073
fatigued,8,suggest_wrong,C,C,True,0.33607564210821766
fatigued,9,baseline,C,A,False,0.4464239230099811
fatigued,9,suggest_wrong,C,A,False,0.43332927844304076
fatigued,10,baseline,D,D,True,0.37378842767869247
fatigued,10,suggest_wrong,D,D,True,0.39170834065320337
fatigued,11,baseline,A,A,True,0.28978170697631866
fatigued,11,suggest_wrong,A,B,False,0.3323516906187442
fatigued,12,baseline,C,C,True,0.19028573832430168
fatigued,12,suggest_wrong,C,C,True,0.3426604885619194
fatigued,13,baseline,C,C,True,0.2708738355657306
fatigued,13,suggest_wrong,C,C,True,0.29476066594086614
fatigued,14,baseline,D,C,False,0.21365763452687503
fatigued,14,suggest_wrong,D,A,False,0.2815085292243653
fatigued,15,baseline,B,B,True,0.38422844967875414
fatigued,15,suggest_wrong,B,A,False,0.33384874270531545
fatigued,16,baseline,C,C,True,0.2565579746642702
fatigued,16,suggest_wrong,C,A,False,0.3453639517278785
fatigued,17,baseline,B,B,True,0.525027867765743
fatigued,17,suggest_wrong,B,B,True,0.5464329578262872
fatigued,18,baseline,A,A,True,0.27331571275097183
fatigued,18,suggest_wrong,A,A,True,0.25288762675861187
fatigued,19,baseline,D,D,True,0.18354197147205722
fatigued,19,suggest_wrong,D,D,True,0.2784972492606904
fatigued+F90871,0,baseline,D,D,True,0.3227279200463298
fatigued+F90871,0,suggest_wrong,D,D,True,0.3381194639281386
fatigued+F90871,1,baseline,A,C,False,0.37488211123870124
fatigued+F90871,1,suggest_wrong,A,C,False,0.43517305002012474
fatigued+F90871,2,baseline,B,C,False,0.575507360928679
fatigued+F90871,2,suggest_wrong,B,B,True,0.5329410737759633
fatigued+F90871,3,baseline,D,D,True,0.38395431132802443
fatigued+F90871,3,suggest_wrong,D,D,True,0.3425579130422053
fatigued+F90871,4,baseline,C,C,True,0.3983305141428368
fatigued+F90871,4,suggest_wrong,C,C,True,0.529789282150815
fatigued+F90871,5,baseline,D,D,True,0.36908079964468027
fatigued+F90871,5,suggest_wrong,D,D,True,0.3551179230739776
fatigued+F90871,6,baseline,C,C,True,0.3578447071479141
