feature_name,layer,lr_explicit_test_acc,lr_implicit_acc,wlr_explicit_test_acc,wlr_implicit_acc,mm_explicit_test_acc,mm_implicit_acc,wmm_explicit_test_acc,wmm_implicit_acc,whitener_cov_reg_condition_number
last_answer_token,0,0.875,0.6416666666666667,0.86,0.5783333333333334,0.68,0.5766666666666667,0.875,0.62,7871.295783201345
last_answer_token,1,0.92,0.6683333333333333,0.84,0.6483333333333333,0.695,0.5666666666666667,0.865,0.6566666666666666,8527.779085255786
last_answer_token,2,0.915,0.6983333333333334,0.89,0.7116666666666667,0.795,0.58,0.885,0.7233333333333334,9055.326676933204
last_answer_token,3,0.945,0.7333333333333333,0.89,0.6166666666666667,0.755,0.545,0.92,0.6716666666666666,9760.594881966053
last_answer_token,4,0.94,0.7183333333333334,0.895,0.6233333333333333,0.845,0.5716666666666667,0.93,0.6733333333333333,9583.104516654263
last_answer_token,5,0.955,0.695,0.91,0.63,0.705,0.5116666666666667,0.93,0.6683333333333333,9789.496111179973
last_answer_token,6,0.97,0.7283333333333334,0.92,0.6333333333333333,0.87,0.585,0.96,0.6616666666666666,9363.42038033097
last_answer_token,7,0.97,0.725,0.91,0.59,0.71,0.5066666666666667,0.955,0.6083333333333333,9127.87864839847
last_answer_token,8,0.965,0.6866666666666666,0.905,0.59,0.7,0.5016666666666667,0.955,0.645,9039.030456410894
last_answer_token,9,0.965,0.6583333333333333,0.88,0.5666666666666667,0.82,0.52,0.925,0.6716666666666666,8036.7445411128865
last_answer_token,10,0.955,0.6266666666666667,0.85,0.56,0.525,0.5,0.91,0.6183333333333333,7764.9800370111525
last_answer_token,11,0.93,0.66,0.955,0.645,0.5,0.5,0.945,0.655,53246.53397626601
mean_answer_tokens,0,0.995,0.7333333333333333,0.96,0.5866666666666667,0.945,0.685,0.99,0.62,7056.509628734786
mean_answer_tokens,1,0.995,0.7283333333333334,0.935,0.61,0.93,0.7066666666666667,0.985,0.655,6712.989940299203
mean_answer_tokens,2,0.995,0.7533333333333333,0.94,0.6183333333333333,0.885,0.5583333333333333,0.985,0.7,6140.408771912318
mean_answer_tokens,3,1.0,0.7583333333333333,0.965,0.6016666666666667,0.945,0.6883333333333334,0.985,0.63,6004.942191038456
mean_answer_tokens,4,1.0,0.7383333333333333,0.97,0.5616666666666666,0.95,0.67,0.985,0.61,6577.349532147515
mean_answer_tokens,5,1.0,0.73,0.965,0.615,0.895,0.6216666666666667,0.98,0.6466666666666666,7133.3219787051885
mean_answer_tokens,6,1.0,0.7016666666666667,0.94,0.4533333333333333,0.905,0.6666666666666666,0.98,0.5733333333333334,7312.640819226528
mean_answer_tokens,7,1.0,0.7133333333333334,0.98,0.49333333333333335,0.895,0.6716666666666666,0.995,0.5966666666666667,6914.561808418153
mean_answer_tokens,8,0.995,0.74,0.965,0.43833333333333335,0.86,0.5566666666666666,0.97,0.5216666666666666,6367.969766681873
mean_answer_tokens,9,1.0,0.7633333333333333,0.945,0.5816666666666667,0.685,0.505,0.985,0.6383333333333333,5457.287753593806
mean_answer_tokens,10,0.99,0.7116666666666667,0.945,0.5416666666666666,0.525,0.5,0.975,0.5566666666666666,4703.344281251519
mean_answer_tokens,11,0.985,0.66,0.995,0.57,0.5,0.5,0.995,0.6366666666666667,68778.678775329
