train_dataset,feature_name,layer,base_train_size,extra_train_size,train_size,lr_explicit_test_acc,lr_implicit_acc,wlr_explicit_test_acc,wlr_implicit_acc,mm_explicit_test_acc,mm_implicit_acc,wmm_explicit_test_acc,wmm_implicit_acc,whitener_cov_reg_condition_number
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,last_answer_token,0,800,390,1190,0.87,0.6716666666666666,0.845,0.5916666666666667,0.595,0.5083333333333333,0.88,0.6583333333333333,7089.219216713598
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,last_answer_token,1,800,390,1190,0.905,0.6566666666666666,0.845,0.6066666666666667,0.575,0.5033333333333333,0.875,0.675,6972.938927743323
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,last_answer_token,2,800,390,1190,0.92,0.6983333333333334,0.86,0.6,0.575,0.5066666666666667,0.91,0.6983333333333334,6537.347017131653
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,last_answer_token,3,800,390,1190,0.95,0.7066666666666667,0.865,0.5966666666666667,0.745,0.5316666666666666,0.905,0.6566666666666666,6741.8704448019835
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,last_answer_token,4,800,390,1190,0.955,0.77,0.905,0.6616666666666666,0.68,0.5083333333333333,0.955,0.7083333333333334,6655.478277052603
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,last_answer_token,5,800,390,1190,0.95,0.75,0.885,0.7066666666666667,0.5,0.5,0.94,0.765,6548.773799185108
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,last_answer_token,6,800,390,1190,0.97,0.7883333333333333,0.895,0.7016666666666667,0.66,0.5033333333333333,0.955,0.7533333333333333,7034.140834117993
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,last_answer_token,7,800,390,1190,0.97,0.7683333333333333,0.915,0.6116666666666667,0.62,0.5,0.97,0.7283333333333334,7767.540787005981
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,last_answer_token,8,800,390,1190,0.96,0.7616666666666667,0.87,0.65,0.775,0.5016666666666667,0.955,0.7216666666666667,9756.702394074691
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,last_answer_token,9,800,390,1190,0.95,0.7166666666666667,0.895,0.6,0.795,0.6683333333333333,0.945,0.6566666666666666,10346.650319170678
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,last_answer_token,10,800,390,1190,0.95,0.7083333333333334,0.915,0.6483333333333333,0.71,0.5016666666666667,0.955,0.6816666666666666,11162.215521068967
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,last_answer_token,11,800,390,1190,0.935,0.7433333333333333,0.945,0.7,0.5,0.5,0.94,0.7416666666666667,54577.152200235294
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,mean_answer_tokens,0,800,390,1190,0.985,0.785,0.95,0.6883333333333334,0.935,0.7583333333333333,0.98,0.73,13616.216578529371
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,mean_answer_tokens,1,800,390,1190,0.98,0.7966666666666666,0.96,0.6766666666666666,0.935,0.7566666666666667,0.99,0.7633333333333333,12457.35248379576
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,mean_answer_tokens,2,800,390,1190,0.995,0.8183333333333334,0.95,0.7266666666666667,0.92,0.6933333333333334,0.98,0.78,10296.464191207977
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,mean_answer_tokens,3,800,390,1190,1.0,0.86,0.955,0.665,0.945,0.7966666666666666,0.99,0.725,9064.094786295158
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,mean_answer_tokens,4,800,390,1190,1.0,0.8583333333333333,0.955,0.58,0.94,0.7866666666666666,0.995,0.7,10023.7103169575
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,mean_answer_tokens,5,800,390,1190,1.0,0.8833333333333333,0.965,0.7433333333333333,0.91,0.7166666666666667,0.995,0.8016666666666666,9126.677888445322
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,mean_answer_tokens,6,800,390,1190,0.995,0.8533333333333334,0.96,0.68,0.9,0.6666666666666666,0.99,0.7766666666666666,10412.412315695867
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,mean_answer_tokens,7,800,390,1190,0.995,0.8933333333333333,0.95,0.6083333333333333,0.915,0.785,0.995,0.6783333333333333,9613.358833133545
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,mean_answer_tokens,8,800,390,1190,0.99,0.8583333333333333,0.96,0.645,0.78,0.5933333333333334,0.985,0.72,11143.92856508439
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,mean_answer_tokens,9,800,390,1190,0.99,0.845,0.965,0.72,0.59,0.5066666666666667,0.985,0.7616666666666667,10268.860468788629
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,mean_answer_tokens,10,800,390,1190,0.99,0.8083333333333333,0.935,0.6633333333333333,0.5,0.5,0.985,0.7266666666666667,9894.927743118275
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,mean_answer_tokens,11,800,390,1190,0.985,0.785,0.99,0.7533333333333333,0.5,0.5,0.99,0.795,64132.70948988986
