dataset,strength,condition,idx,answer,fallback,continuation
explicit_test_small,0,baseline,0,A,False,A) Reactive crisis management is the
explicit_test_small,0,baseline,1,A,False,A) A or B is the most
explicit_test_small,0,baseline,2,A,False,A) A faster result with less durability
explicit_test_small,0,baseline,3,A,False,A) A is the most important moment
explicit_test_small,0,baseline,4,A,False,"A) Quick fixes that work now
"
explicit_test_small,0,baseline,5,A,False,"A) Today
(B) Forever"
explicit_test_small,0,baseline,6,A,False,"A) A year to decades
("
explicit_test_small,0,baseline,7,A,False,A) A trend is a trend that
explicit_test_small,0,baseline,8,A,False,"A) Immediate but limited impact
"
explicit_test_small,0,baseline,9,A,False,A) A major operational need is needed
explicit_test_small,0,add_mm,0,A,False,A) Reactive crisis management is the
explicit_test_small,0,add_mm,1,A,False,A) A or B is the most
explicit_test_small,0,add_mm,2,A,False,A) A faster result with less durability
explicit_test_small,0,add_mm,3,A,False,A) A is the most important moment
explicit_test_small,0,add_mm,4,A,False,"A) Quick fixes that work now
"
explicit_test_small,0,add_mm,5,A,False,"A) Today
(B) Forever"
explicit_test_small,0,add_mm,6,A,False,"A) A year to decades
("
explicit_test_small,0,add_mm,7,A,False,A) A trend is a trend that
explicit_test_small,0,add_mm,8,A,False,"A) Immediate but limited impact
"
explicit_test_small,0,add_mm,9,A,False,A) A major operational need is needed
explicit_test_small,0,sub_mm,0,A,False,A) Reactive crisis management is the
explicit_test_small,0,sub_mm,1,A,False,A) A or B is the most
explicit_test_small,0,sub_mm,2,A,False,A) A faster result with less durability
explicit_test_small,0,sub_mm,3,A,False,A) A is the most important moment
explicit_test_small,0,sub_mm,4,A,False,"A) Quick fixes that work now
"
explicit_test_small,0,sub_mm,5,A,False,"A) Today
(B) Forever"
explicit_test_small,0,sub_mm,6,A,False,"A) A year to decades
("
explicit_test_small,0,sub_mm,7,A,False,A) A trend is a trend that
explicit_test_small,0,sub_mm,8,A,False,"A) Immediate but limited impact
"
explicit_test_small,0,sub_mm,9,A,False,A) A major operational need is needed
explicit_test_small,2,baseline,0,A,False,A) Reactive crisis management is the
explicit_test_small,2,baseline,1,A,False,A) A or B is the most
explicit_test_small,2,baseline,2,A,False,A) A faster result with less durability
explicit_test_small,2,baseline,3,A,False,A) A is the most important moment
explicit_test_small,2,baseline,4,A,False,"A) Quick fixes that work now
"
explicit_test_small,2,baseline,5,A,False,"A) Today
(B) Forever"
explicit_test_small,2,baseline,6,A,False,"A) A year to decades
("
explicit_test_small,2,baseline,7,A,False,A) A trend is a trend that
explicit_test_small,2,baseline,8,A,False,"A) Immediate but limited impact
"
explicit_test_small,2,baseline,9,A,False,A) A major operational need is needed
explicit_test_small,2,add_mm,0,A,False,A) Reactive crisis management is the
explicit_test_small,2,add_mm,1,A,False,A) A or B is the most
explicit_test_small,2,add_mm,2,A,False,A) A faster result with less durability
explicit_test_small,2,add_mm,3,A,False,A) A is the most important moment
explicit_test_small,2,add_mm,4,A,False,"A) Quick fixes that work now
"
explicit_test_small,2,add_mm,5,A,False,"A) Today
(B) Forever"
explicit_test_small,2,add_mm,6,A,False,"A) A year to decades
("
explicit_test_small,2,add_mm,7,A,False,A) A trend is a trend that
explicit_test_small,2,add_mm,8,A,False,"A) Immediate but limited impact
"
explicit_test_small,2,add_mm,9,A,False,A) A major operational need is needed
explicit_test_small,2,sub_mm,0,A,False,A) Reactive crisis management is the
explicit_test_small,2,sub_mm,1,A,False,A) A or B is the most
explicit_test_small,2,sub_mm,2,A,False,A) A faster result with less durability
explicit_test_small,2,sub_mm,3,A,False,A) A is the most important moment
explicit_test_small,2,sub_mm,4,A,False,"A) Quick fixes that work now
"
explicit_test_small,2,sub_mm,5,A,False,"A) Today
(B) Forever"
explicit_test_small,2,sub_mm,6,A,False,"A) A year, (B)"
explicit_test_small,2,sub_mm,7,A,False,A) A trend is a trend that
explicit_test_small,2,sub_mm,8,A,False,A) Immediate but limited impact (
explicit_test_small,2,sub_mm,9,A,False,A) A major operational need is needed
explicit_test_small,5,baseline,0,A,False,A) Reactive crisis management is the
explicit_test_small,5,baseline,1,A,False,A) A or B is the most
explicit_test_small,5,baseline,2,A,False,A) A faster result with less durability
explicit_test_small,5,baseline,3,A,False,A) A is the most important moment
explicit_test_small,5,baseline,4,A,False,"A) Quick fixes that work now
"
explicit_test_small,5,baseline,5,A,False,"A) Today
(B) Forever"
explicit_test_small,5,baseline,6,A,False,"A) A year to decades
("
explicit_test_small,5,baseline,7,A,False,A) A trend is a trend that
explicit_test_small,5,baseline,8,A,False,"A) Immediate but limited impact
"
explicit_test_small,5,baseline,9,A,False,A) A major operational need is needed
explicit_test_small,5,add_mm,0,A,False,A) Reactive crisis management is the
explicit_test_small,5,add_mm,1,A,False,A) A or B is the most
explicit_test_small,5,add_mm,2,A,False,A) A faster result with less durability
explicit_test_small,5,add_mm,3,A,False,"A) A is the most important
"
explicit_test_small,5,add_mm,4,A,False,A) A lot of people are saying
explicit_test_small,5,add_mm,5,A,False,"A) Today
(B) Forever"
explicit_test_small,5,add_mm,6,A,False,"A) A year to decades
("
explicit_test_small,5,add_mm,7,A,False,A) A trend is a trend that
explicit_test_small,5,add_mm,8,A,False,"A) Immediate but limited impact
"
explicit_test_small,5,add_mm,9,A,False,A) A major operational need is needed
explicit_test_small,5,sub_mm,0,A,False,A) Reactive crisis management is the
explicit_test_small,5,sub_mm,1,A,False,A) A or B is the most
explicit_test_small,5,sub_mm,2,A,False,A) A faster result with less durability
explicit_test_small,5,sub_mm,3,A,False,A) A is the most important moment
explicit_test_small,5,sub_mm,4,A,False,"A) Quick fixes that work now
"
explicit_test_small,5,sub_mm,5,A,False,"A) Today
(B) Forever"
explicit_test_small,5,sub_mm,6,A,False,"A) A year, (B)"
explicit_test_small,5,sub_mm,7,A,False,"A) A trend is coming, and"
explicit_test_small,5,sub_mm,8,A,False,A) Immediate but limited impact (
explicit_test_small,5,sub_mm,9,A,False,A) A major operational need is needed
explicit_test_small,10,baseline,0,A,False,A) Reactive crisis management is the
explicit_test_small,10,baseline,1,A,False,A) A or B is the most
explicit_test_small,10,baseline,2,A,False,A) A faster result with less durability
explicit_test_small,10,baseline,3,A,False,A) A is the most important moment
explicit_test_small,10,baseline,4,A,False,"A) Quick fixes that work now
"
explicit_test_small,10,baseline,5,A,False,"A) Today
(B) Forever"
explicit_test_small,10,baseline,6,A,False,"A) A year to decades
("
explicit_test_small,10,baseline,7,A,False,A) A trend is a trend that
explicit_test_small,10,baseline,8,A,False,"A) Immediate but limited impact
"
explicit_test_small,10,baseline,9,A,False,A) A major operational need is needed
explicit_test_small,10,add_mm,0,A,False,A) Reactive crisis management is the
explicit_test_small,10,add_mm,1,A,False,A) A or B is the most
explicit_test_small,10,add_mm,2,A,False,A) A faster result with less durability
explicit_test_small,10,add_mm,3,A,False,"A) A is the most important
"
explicit_test_small,10,add_mm,4,A,False,A) A lot of people are saying
explicit_test_small,10,add_mm,5,A,False,"A) Today
(B) Forever"
explicit_test_small,10,add_mm,6,A,False,"A) A year to decades
("
explicit_test_small,10,add_mm,7,A,False,A) A trend will emerge over time
explicit_test_small,10,add_mm,8,A,False,"A) Immediate but limited impact
"
explicit_test_small,10,add_mm,9,A,False,A) A major operational need is needed
explicit_test_small,10,sub_mm,0,A,False,A) Reactive crisis management is the
explicit_test_small,10,sub_mm,1,A,False,A) A or B is the most
explicit_test_small,10,sub_mm,2,A,False,A) A faster result with less durability
explicit_test_small,10,sub_mm,3,A,False,A) A is the most important moment
explicit_test_small,10,sub_mm,4,A,False,"A) Quick fixes that work now
"
explicit_test_small,10,sub_mm,5,A,False,"A) Today
(B) Forever"
explicit_test_small,10,sub_mm,6,A,False,"A) A year, (B)"
explicit_test_small,10,sub_mm,7,A,False,"A) A trend is coming, and"
explicit_test_small,10,sub_mm,8,A,False,A) Immediate but limited impact (
explicit_test_small,10,sub_mm,9,A,False,A) A major operational need is a
explicit_test_small,20,baseline,0,A,False,A) Reactive crisis management is the
explicit_test_small,20,baseline,1,A,False,A) A or B is the most
explicit_test_small,20,baseline,2,A,False,A) A faster result with less durability
explicit_test_small,20,baseline,3,A,False,A) A is the most important moment
explicit_test_small,20,baseline,4,A,False,"A) Quick fixes that work now
"
explicit_test_small,20,baseline,5,A,False,"A) Today
(B) Forever"
explicit_test_small,20,baseline,6,A,False,"A) A year to decades
("
explicit_test_small,20,baseline,7,A,False,A) A trend is a trend that
explicit_test_small,20,baseline,8,A,False,"A) Immediate but limited impact
"
explicit_test_small,20,baseline,9,A,False,A) A major operational need is needed
explicit_test_small,20,add_mm,0,A,False,1) A strategic plan is a plan
explicit_test_small,20,add_mm,1,A,False,A) A or B is more important
explicit_test_small,20,add_mm,2,A,False,A) A faster result with less durability
explicit_test_small,20,add_mm,3,A,False,"A) A is the most important
"
explicit_test_small,20,add_mm,4,A,False,A) A lot of people are using
explicit_test_small,20,add_mm,5,A,False,"A) Today
(B) Forever"
explicit_test_small,20,add_mm,6,A,False,"A) A year to decades
("
explicit_test_small,20,add_mm,7,A,False,A) A trend will emerge over time
