dataset,strength,condition,prop_A,prop_B,fallback_rate
explicit_test_small,0,add_mm,1.0,0.0,0.0
explicit_test_small,0,baseline,1.0,0.0,0.0
explicit_test_small,0,sub_mm,1.0,0.0,0.0
explicit_test_small,2,add_mm,1.0,0.0,0.0
explicit_test_small,2,baseline,1.0,0.0,0.0
explicit_test_small,2,sub_mm,1.0,0.0,0.0
explicit_test_small,5,add_mm,1.0,0.0,0.0
explicit_test_small,5,baseline,1.0,0.0,0.0
explicit_test_small,5,sub_mm,1.0,0.0,0.0
explicit_test_small,10,add_mm,1.0,0.0,0.0
explicit_test_small,10,baseline,1.0,0.0,0.0
explicit_test_small,10,sub_mm,1.0,0.0,0.0
explicit_test_small,20,add_mm,1.0,0.0,0.0
explicit_test_small,20,baseline,1.0,0.0,0.0
explicit_test_small,20,sub_mm,1.0,0.0,0.0
explicit_test_small,40,add_mm,1.0,0.0,0.0
explicit_test_small,40,baseline,1.0,0.0,0.0
explicit_test_small,40,sub_mm,1.0,0.0,0.0
explicit_test_small,80,add_mm,1.0,0.0,0.0
explicit_test_small,80,baseline,1.0,0.0,0.0
explicit_test_small,80,sub_mm,1.0,0.0,0.0
explicit_test_small,160,add_mm,1.0,0.0,0.0
explicit_test_small,160,baseline,1.0,0.0,0.0
explicit_test_small,160,sub_mm,1.0,0.0,0.0
implicit_small,0,add_mm,1.0,0.0,0.0
implicit_small,0,baseline,1.0,0.0,0.0
implicit_small,0,sub_mm,1.0,0.0,0.0
implicit_small,2,add_mm,1.0,0.0,0.0
implicit_small,2,baseline,1.0,0.0,0.0
implicit_small,2,sub_mm,1.0,0.0,0.0
implicit_small,5,add_mm,1.0,0.0,0.0
implicit_small,5,baseline,1.0,0.0,0.0
implicit_small,5,sub_mm,1.0,0.0,0.0
implicit_small,10,add_mm,1.0,0.0,0.0
implicit_small,10,baseline,1.0,0.0,0.0
implicit_small,10,sub_mm,1.0,0.0,0.0
implicit_small,20,add_mm,1.0,0.0,0.0
implicit_small,20,baseline,1.0,0.0,0.0
implicit_small,20,sub_mm,1.0,0.0,0.0
implicit_small,40,add_mm,1.0,0.0,0.0
implicit_small,40,baseline,1.0,0.0,0.0
implicit_small,40,sub_mm,1.0,0.0,0.0
implicit_small,80,add_mm,1.0,0.0,0.0
implicit_small,80,baseline,1.0,0.0,0.0
implicit_small,80,sub_mm,1.0,0.0,0.0
implicit_small,160,add_mm,1.0,0.0,0.0
implicit_small,160,baseline,1.0,0.0,0.0
implicit_small,160,sub_mm,1.0,0.0,0.0
