layer,mm_train_acc,mm_raw_norm,mm_steering_norm,wmm_train_acc,wmm_raw_norm,wmm_steering_norm,wmm_reg_lambda,wmm_sample_space_condition_number
0,0.86,5.82567834854126,1.0000001192092896,1.0,4.070740222930908,1.0,0.0007938551112104206,41657.17844589403
1,0.8125,5.9206624031066895,0.9999999403953552,1.0,3.8181188106536865,0.9999999403953552,0.0008176656604300867,41138.875848904376
2,0.85875,6.945560932159424,1.0,1.0,3.2125637531280518,1.0,0.0010550567081849458,46640.69897940984
3,0.8625,8.331659317016602,0.9999998807907104,1.0,2.57369327545166,0.9999999403953552,0.0014444322196727126,48790.2083289213
4,0.8775,10.339056015014648,1.0,1.0,1.9991862773895264,0.9999999403953552,0.0020128893081189808,47738.32749928392
5,0.88375,12.006634712219238,1.0,1.0,1.6782426834106445,1.0,0.0025874855557295063,49524.34157555176
6,0.84125,12.724431991577148,1.0,1.0,1.4199330806732178,1.0,0.0030791666111185155,44884.83177564188
7,0.85625,13.05971622467041,1.0,1.0,1.3013602495193481,1.0,0.003499842294489563,40949.78580425718
8,0.87125,13.62234115600586,1.0,1.0,1.2895418405532837,1.0,0.003774230932405006,41308.09639200409
9,0.87125,15.180113792419434,1.0,1.0,1.1849108934402466,1.0,0.004531597266797653,43113.420732575025
10,0.86375,16.74383544921875,0.9999999403953552,1.0,1.0863882303237915,1.0,0.0053183940272526,47484.323941084585
11,0.88125,18.892148971557617,0.9999999403953552,1.0,0.8480048775672913,1.0,0.0060025408467656765,48066.49049993654
12,0.90625,19.72096061706543,0.9999999403953552,1.0,0.8028601408004761,1.0,0.0063441480671102895,47248.95024615197
13,0.91375,20.88780975341797,1.0,1.0,0.7611329555511475,1.0,0.006581266741020401,47412.100788850374
14,0.9275,21.922475814819336,1.0,1.0,0.7471663951873779,0.9999998807907104,0.006939440670798619,47739.406999360894
15,0.92125,22.3358211517334,1.0,1.0,0.7423131465911865,1.0,0.007107107680988171,45920.43104332523
16,0.94375,24.85737419128418,1.0,1.0,0.6431959271430969,1.0,0.007588893919173844,45165.09592914788
17,0.95875,25.591609954833984,1.0,1.0,0.6015837788581848,1.0,0.007692549148205761,45399.0168188387
18,0.95375,25.912872314453125,0.9999999403953552,1.0,0.5760276317596436,1.0,0.008022525320194443,44080.943032856354
19,0.96125,26.598451614379883,1.0,1.0,0.5652728080749512,1.0,0.008430157649676645,44260.754381865474
20,0.965,27.041053771972656,1.0,1.0,0.5486562252044678,0.9999999403953552,0.008638846311402925,43998.712544767826
21,0.96,27.20720863342285,1.0,1.0,0.5287314653396606,1.0000001192092896,0.008887094514346999,44533.772468348005
22,0.96875,28.101652145385742,1.0,1.0,0.4843803644180298,0.9999999403953552,0.009233918798425401,43202.96512335157
23,0.97,28.62847137451172,1.0,1.0,0.4764786660671234,0.9999999403953552,0.009568209411316505,43402.565402977605
24,0.98,30.28476905822754,1.0,1.0,0.43425318598747253,1.0,0.010081871112957561,44026.68340029997
25,0.975,31.444225311279297,0.9999998807907104,1.0,0.3958628475666046,1.0,0.010761833956454693,43176.87386443988
26,0.9825,31.41311264038086,1.0,1.0,0.3816763162612915,0.9999999403953552,0.011311894985035154,42250.39482613678
27,0.9825,32.968589782714844,1.0,1.0,0.3540266454219818,0.9999999403953552,0.012583630820682657,43419.27492350505
28,0.9875,34.73215103149414,0.9999999403953552,1.0,0.33935463428497314,0.9999999403953552,0.013745526561947758,46820.81783928973
29,0.975,36.08158874511719,1.0,1.0,0.3317725658416748,1.0,0.01493177067176325,47395.03718929499
30,0.875,37.495731353759766,1.0,1.0,0.3300888240337372,0.9999999403953552,0.01650145450960025,55590.06828206648
31,0.875,37.876670837402344,1.0,1.0,0.3325352072715759,1.0,0.018254255008234126,61555.89847262192
32,0.895,38.45888900756836,1.0,1.0,0.32030588388442993,1.0000001192092896,0.01992876777022012,66469.60371460894
33,0.945,40.248008728027344,1.0,1.0,0.3074776530265808,1.0,0.023501602428113815,80522.77765055763
34,0.965,41.87375259399414,0.9999999403953552,1.0,0.2995142936706543,1.0,0.026974986038031112,79841.31055139657
35,0.94125,44.24236297607422,0.9999999403953552,1.0,0.28168976306915283,1.0,0.0313918768581608,86081.44733103337
36,0.92875,46.06922149658203,0.9999999403953552,1.0,0.2664978504180908,1.0,0.03751457148994442,108220.28634513778
37,0.89125,48.20748519897461,1.0,1.0,0.2520800828933716,0.9999999403953552,0.045590573949654545,119979.84181066003
38,0.90625,48.66768264770508,1.0,1.0,0.24046839773654938,0.9999999403953552,0.05110203949794988,127254.6743336056
39,0.875,50.31654739379883,1.0,1.0,0.2270076721906662,1.0,0.056611047214765196,125229.46652950568
40,0.82125,51.81414031982422,0.9999999403953552,1.0,0.21454380452632904,1.0,0.06283739927289818,128594.56558497161
41,0.77875,53.56808853149414,1.0,1.0,0.2041669636964798,1.0,0.06974924239526313,127966.49009059563
42,0.70625,54.929176330566406,1.0,1.0,0.1932080239057541,0.9999999403953552,0.07694066002858646,126188.2646256301
43,0.64,57.459266662597656,1.0,1.0,0.17947173118591309,1.0,0.08968145561519253,124237.49874557168
44,0.67625,59.85818099975586,1.0,1.0,0.16406482458114624,1.0,0.10373983398400691,120020.80680996738
45,0.65125,63.58972930908203,1.0,1.0,0.15081244707107544,1.0,0.12639269407869022,123864.31383490472
46,0.54625,73.4515380859375,1.0,1.0,0.13428232073783875,1.0,0.1915154046201082,143781.81674127682
47,0.5675,30.106006622314453,1.0,1.0,0.4715458154678345,1.0,0.03629196929761078,272849.63925473386
