case,context_fill,entropy,n_gen,pred,gold,correct,stage,model
0,0.0488,1.3318440318107605,24,A,A,True,base,allenai/OLMo-2-1124-7B
1,0.1658,0.749515744469439,24,D,D,True,base,allenai/OLMo-2-1124-7B
2,0.2417,1.0919883251190186,2,B,D,False,base,allenai/OLMo-2-1124-7B
3,0.3032,1.2682421505451202,2,E,E,True,base,allenai/OLMo-2-1124-7B
4,0.4326,1.0921646654605865,2,D,D,True,base,allenai/OLMo-2-1124-7B
5,0.5732,0.8701529204845428,2,A,A,True,base,allenai/OLMo-2-1124-7B
6,0.6619,1.2177698612213135,2,E,E,True,base,allenai/OLMo-2-1124-7B
7,0.7319,0.740621536038816,24,C,B,False,base,allenai/OLMo-2-1124-7B
8,0.8042,0.6352456443904279,24,B,D,False,base,allenai/OLMo-2-1124-7B
9,0.8647,0.5582324382752025,24,D,D,True,base,allenai/OLMo-2-1124-7B
0,0.0515,1.089775189757347,2,,A,False,sft,allenai/OLMo-2-1124-7B-SFT
1,0.1655,0.12933893501758575,2,D,D,True,sft,allenai/OLMo-2-1124-7B-SFT
2,0.2385,0.5272931242361665,2,B,D,False,sft,allenai/OLMo-2-1124-7B-SFT
3,0.3027,0.2843542469199747,2,E,E,True,sft,allenai/OLMo-2-1124-7B-SFT
4,0.4348,0.48607219278346747,2,D,D,True,sft,allenai/OLMo-2-1124-7B-SFT
5,0.5781,0.609265084262006,2,A,A,True,sft,allenai/OLMo-2-1124-7B-SFT
6,0.6694,0.7793819428770803,2,C,E,False,sft,allenai/OLMo-2-1124-7B-SFT
7,0.7422,0.6350757458712906,2,A,B,False,sft,allenai/OLMo-2-1124-7B-SFT
8,0.8115,0.6150317490100861,2,B,D,False,sft,allenai/OLMo-2-1124-7B-SFT
9,0.8691,0.13577845762483776,2,D,D,True,sft,allenai/OLMo-2-1124-7B-SFT
0,0.0515,0.42379602789878845,2,,A,False,dpo,allenai/OLMo-2-1124-7B-DPO
1,0.1655,0.053627102402970195,2,D,D,True,dpo,allenai/OLMo-2-1124-7B-DPO
2,0.2385,0.5026368028484285,2,B,D,False,dpo,allenai/OLMo-2-1124-7B-DPO
3,0.3027,0.1611060987925157,2,E,E,True,dpo,allenai/OLMo-2-1124-7B-DPO
4,0.4348,0.46077352098654956,2,D,D,True,dpo,allenai/OLMo-2-1124-7B-DPO
5,0.5781,0.7015811474993825,2,A,A,True,dpo,allenai/OLMo-2-1124-7B-DPO
6,0.6694,0.755359054543078,2,E,E,True,dpo,allenai/OLMo-2-1124-7B-DPO
7,0.7422,0.6598306400119327,2,A,B,False,dpo,allenai/OLMo-2-1124-7B-DPO
8,0.8115,0.49651963205542415,2,B,D,False,dpo,allenai/OLMo-2-1124-7B-DPO
9,0.8691,0.056055733701214194,2,D,D,True,dpo,allenai/OLMo-2-1124-7B-DPO
0,0.0515,0.11855550855398178,2,,A,False,instruct,allenai/OLMo-2-1124-7B-Instruct
1,0.1655,0.029895877465605736,2,D,D,True,instruct,allenai/OLMo-2-1124-7B-Instruct
2,0.2385,0.45590514517971314,2,E,D,False,instruct,allenai/OLMo-2-1124-7B-Instruct
3,0.3027,0.06580620878958143,2,E,E,True,instruct,allenai/OLMo-2-1124-7B-Instruct
4,0.4348,0.37080209591658786,2,D,D,True,instruct,allenai/OLMo-2-1124-7B-Instruct
5,0.5781,0.6969641135656275,2,A,A,True,instruct,allenai/OLMo-2-1124-7B-Instruct
6,0.6694,0.680529875389766,2,E,E,True,instruct,allenai/OLMo-2-1124-7B-Instruct
7,0.7422,0.7236563424230553,2,B,B,True,instruct,allenai/OLMo-2-1124-7B-Instruct
8,0.8115,0.5133827973040752,2,B,D,False,instruct,allenai/OLMo-2-1124-7B-Instruct
9,0.8691,0.04152449232060462,2,D,D,True,instruct,allenai/OLMo-2-1124-7B-Instruct
