q_idx,variant,condition,gold,wrong,pred,correct,entropy,stage,model
0,baseline,fatigued,D,A,A,False,0.3793066597174038,base,allenai/OLMo-2-1124-7B
0,baseline,clean,D,A,,False,1.6740087916960522,base,allenai/OLMo-2-1124-7B
0,suggest_wrong,fatigued,D,A,A,False,0.38764892109436916,base,allenai/OLMo-2-1124-7B
0,suggest_wrong,clean,D,A,A,False,0.5264334481709071,base,allenai/OLMo-2-1124-7B
1,baseline,fatigued,A,B,A,True,0.4426080526947044,base,allenai/OLMo-2-1124-7B
1,baseline,clean,A,B,A,True,0.8834825941169402,base,allenai/OLMo-2-1124-7B
1,suggest_wrong,fatigued,A,B,A,True,0.4162864614999853,base,allenai/OLMo-2-1124-7B
1,suggest_wrong,clean,A,B,B,False,0.5882655412663007,base,allenai/OLMo-2-1124-7B
2,baseline,fatigued,A,B,A,True,0.4198912131192628,base,allenai/OLMo-2-1124-7B
2,baseline,clean,A,B,C,False,0.5152177100044188,base,allenai/OLMo-2-1124-7B
2,suggest_wrong,fatigued,A,B,A,True,0.4150733098713681,base,allenai/OLMo-2-1124-7B
2,suggest_wrong,clean,A,B,B,False,0.5246283236017917,base,allenai/OLMo-2-1124-7B
3,baseline,fatigued,D,A,A,False,0.4390629989723675,base,allenai/OLMo-2-1124-7B
3,baseline,clean,D,A,A,False,0.508407185313954,base,allenai/OLMo-2-1124-7B
3,suggest_wrong,fatigued,D,A,A,False,0.41830406738910825,base,allenai/OLMo-2-1124-7B
3,suggest_wrong,clean,D,A,A,False,0.5236000598646933,base,allenai/OLMo-2-1124-7B
4,baseline,fatigued,C,A,A,False,0.40137736349948683,base,allenai/OLMo-2-1124-7B
4,baseline,clean,C,A,A,False,1.5961026628967374,base,allenai/OLMo-2-1124-7B
4,suggest_wrong,fatigued,C,A,A,False,0.4144157873792574,base,allenai/OLMo-2-1124-7B
4,suggest_wrong,clean,C,A,A,False,0.2932478652894497,base,allenai/OLMo-2-1124-7B
5,baseline,fatigued,D,A,A,False,0.4218316009279806,base,allenai/OLMo-2-1124-7B
5,baseline,clean,D,A,D,True,0.7742488236981444,base,allenai/OLMo-2-1124-7B
5,suggest_wrong,fatigued,D,A,A,False,0.41771630226634443,base,allenai/OLMo-2-1124-7B
5,suggest_wrong,clean,D,A,A,False,0.2627853321272414,base,allenai/OLMo-2-1124-7B
6,baseline,fatigued,D,A,A,False,0.4046484470437281,base,allenai/OLMo-2-1124-7B
6,baseline,clean,D,A,A,False,0.80401697272949,base,allenai/OLMo-2-1124-7B
6,suggest_wrong,fatigued,D,A,A,False,0.43994914399459956,base,allenai/OLMo-2-1124-7B
6,suggest_wrong,clean,D,A,A,False,0.49235466415528206,base,allenai/OLMo-2-1124-7B
7,baseline,fatigued,C,A,A,False,0.4092089920747094,base,allenai/OLMo-2-1124-7B
7,baseline,clean,C,A,A,False,0.7688777411123374,base,allenai/OLMo-2-1124-7B
7,suggest_wrong,fatigued,C,A,A,False,0.41154704241547735,base,allenai/OLMo-2-1124-7B
7,suggest_wrong,clean,C,A,A,False,1.3267300346191844,base,allenai/OLMo-2-1124-7B
8,baseline,fatigued,D,A,A,False,0.41743364385329185,base,allenai/OLMo-2-1124-7B
8,baseline,clean,D,A,A,False,1.1783566252683828,base,allenai/OLMo-2-1124-7B
8,suggest_wrong,fatigued,D,A,A,False,0.4150163811631501,base,allenai/OLMo-2-1124-7B
8,suggest_wrong,clean,D,A,A,False,0.42821198342368005,base,allenai/OLMo-2-1124-7B
9,baseline,fatigued,D,A,A,False,0.4053832631383557,base,allenai/OLMo-2-1124-7B
9,baseline,clean,D,A,B,False,0.5179173473105766,base,allenai/OLMo-2-1124-7B
9,suggest_wrong,fatigued,D,A,A,False,0.4128186889679637,base,allenai/OLMo-2-1124-7B
9,suggest_wrong,clean,D,A,A,False,0.5546007056487724,base,allenai/OLMo-2-1124-7B
10,baseline,fatigued,D,A,A,False,0.4234676800551824,base,allenai/OLMo-2-1124-7B
10,baseline,clean,D,A,A,False,0.7856049909805733,base,allenai/OLMo-2-1124-7B
10,suggest_wrong,fatigued,D,A,A,False,0.42296842915005983,base,allenai/OLMo-2-1124-7B
10,suggest_wrong,clean,D,A,A,False,0.2650713250954868,base,allenai/OLMo-2-1124-7B
11,baseline,fatigued,B,A,A,False,0.4284044673432072,base,allenai/OLMo-2-1124-7B
11,baseline,clean,B,A,A,False,0.5494685978803318,base,allenai/OLMo-2-1124-7B
11,suggest_wrong,fatigued,B,A,A,False,0.4253994976892136,base,allenai/OLMo-2-1124-7B
11,suggest_wrong,clean,B,A,A,False,0.27303156874724666,base,allenai/OLMo-2-1124-7B
12,baseline,fatigued,A,B,A,True,0.4123092951532453,base,allenai/OLMo-2-1124-7B
12,baseline,clean,A,B,B,False,0.8793767150018539,base,allenai/OLMo-2-1124-7B
12,suggest_wrong,fatigued,A,B,A,True,0.4010425988980569,base,allenai/OLMo-2-1124-7B
12,suggest_wrong,clean,A,B,B,False,0.2960123466834193,base,allenai/OLMo-2-1124-7B
13,baseline,fatigued,B,A,A,False,0.3947294886992313,base,allenai/OLMo-2-1124-7B
13,baseline,clean,B,A,B,True,1.28300179592571,base,allenai/OLMo-2-1124-7B
13,suggest_wrong,fatigued,B,A,A,False,0.4068803488323465,base,allenai/OLMo-2-1124-7B
13,suggest_wrong,clean,B,A,A,False,0.657282948075299,base,allenai/OLMo-2-1124-7B
14,baseline,fatigued,C,A,A,False,0.43159717093571087,base,allenai/OLMo-2-1124-7B
14,baseline,clean,C,A,B,False,3.264360533820258,base,allenai/OLMo-2-1124-7B
14,suggest_wrong,fatigued,C,A,A,False,0.4222475134627894,base,allenai/OLMo-2-1124-7B
14,suggest_wrong,clean,C,A,A,False,0.275926466579549,base,allenai/OLMo-2-1124-7B
15,baseline,fatigued,C,A,A,False,0.35318557572900316,base,allenai/OLMo-2-1124-7B
15,baseline,clean,C,A,A,False,0.899316289543931,base,allenai/OLMo-2-1124-7B
15,suggest_wrong,fatigued,C,A,A,False,0.38388497379608455,base,allenai/OLMo-2-1124-7B
15,suggest_wrong,clean,C,A,A,False,0.27112487744423563,base,allenai/OLMo-2-1124-7B
16,baseline,fatigued,C,A,A,False,0.4453250460868003,base,allenai/OLMo-2-1124-7B
16,baseline,clean,C,A,C,True,0.7628593844301903,base,allenai/OLMo-2-1124-7B
16,suggest_wrong,fatigued,C,A,A,False,0.4397595882485621,base,allenai/OLMo-2-1124-7B
16,suggest_wrong,clean,C,A,A,False,0.2865540848579258,base,allenai/OLMo-2-1124-7B
17,baseline,fatigued,B,A,A,False,0.42039552122703755,base,allenai/OLMo-2-1124-7B
17,baseline,clean,B,A,A,False,1.5965426369664906,base,allenai/OLMo-2-1124-7B
17,suggest_wrong,fatigued,B,A,A,False,0.41855362420435993,base,allenai/OLMo-2-1124-7B
17,suggest_wrong,clean,B,A,A,False,0.9140482314449037,base,allenai/OLMo-2-1124-7B
18,baseline,fatigued,D,A,A,False,0.4097860920336098,base,allenai/OLMo-2-1124-7B
18,baseline,clean,D,A,A,False,1.7141718817371372,base,allenai/OLMo-2-1124-7B
18,suggest_wrong,fatigued,D,A,A,False,0.4126076784916222,base,allenai/OLMo-2-1124-7B
18,suggest_wrong,clean,D,A,A,False,0.28406620273017325,base,allenai/OLMo-2-1124-7B
19,baseline,fatigued,C,A,A,False,0.3950347139773658,base,allenai/OLMo-2-1124-7B
19,baseline,clean,C,A,C,True,1.8794612945678333,base,allenai/OLMo-2-1124-7B
19,suggest_wrong,fatigued,C,A,A,False,0.41506387474481016,base,allenai/OLMo-2-1124-7B
19,suggest_wrong,clean,C,A,A,False,0.5780408860836178,base,allenai/OLMo-2-1124-7B
20,baseline,fatigued,B,A,A,False,0.43032207373005804,base,allenai/OLMo-2-1124-7B
