dataset,source_dataset,split_random_state,train_fraction,n_train_pairs,n_test_pairs,t_delay,exact_pair_count,exact_pair_pct,unit_pair_count,unit_pair_pct
explicit_train_only,explicit_expanded_500,42,0.8,400,100,1 hour,0,0.0,14,0.035
explicit_train_only,explicit_expanded_500,42,0.8,400,100,8 hours,0,0.0,14,0.035
explicit_train_only,explicit_expanded_500,42,0.8,400,100,tomorrow,8,0.02,8,0.02
explicit_train_only,explicit_expanded_500,42,0.8,400,100,2 days,0,0.0,13,0.0325
explicit_train_only,explicit_expanded_500,42,0.8,400,100,week,22,0.055,27,0.0675
explicit_train_only,explicit_expanded_500,42,0.8,400,100,month,10,0.025,16,0.04
explicit_train_only,explicit_expanded_500,42,0.8,400,100,3 months,0,0.0,16,0.04
explicit_train_only,explicit_expanded_500,42,0.8,400,100,year,23,0.0575,120,0.3
explicit_train_only,explicit_expanded_500,42,0.8,400,100,2 years,0,0.0,120,0.3
explicit_train_only,explicit_expanded_500,42,0.8,400,100,3 years,0,0.0,120,0.3
explicit_train_only,explicit_expanded_500,42,0.8,400,100,5 years,0,0.0,120,0.3
explicit_train_only,explicit_expanded_500,42,0.8,400,100,10 years,0,0.0,120,0.3
