dataset,condition,layer,strength,signed_strength,n_prompts,reused,source_path
explicit_test,baseline,-1,0.0,0.0,100,False,
explicit_test,steer_long_term,24,2.0,2.0,100,False,
explicit_test,steer_immediate,24,2.0,-2.0,100,False,
explicit_test,steer_long_term,24,4.0,4.0,100,False,
explicit_test,steer_immediate,24,4.0,-4.0,100,False,
explicit_test,steer_long_term,24,8.0,8.0,100,False,
explicit_test,steer_immediate,24,8.0,-8.0,100,False,
explicit_test,steer_long_term,24,16.0,16.0,100,False,
explicit_test,steer_immediate,24,16.0,-16.0,100,False,
explicit_test,steer_long_term,24,32.0,32.0,100,False,
explicit_test,steer_immediate,24,32.0,-32.0,100,False,
explicit_test,steer_long_term,28,2.0,2.0,100,False,
explicit_test,steer_immediate,28,2.0,-2.0,100,False,
explicit_test,steer_long_term,28,4.0,4.0,100,False,
explicit_test,steer_immediate,28,4.0,-4.0,100,False,
explicit_test,steer_long_term,28,8.0,8.0,100,False,
explicit_test,steer_immediate,28,8.0,-8.0,100,False,
explicit_test,steer_long_term,28,16.0,16.0,100,False,
explicit_test,steer_immediate,28,16.0,-16.0,100,False,
explicit_test,steer_long_term,28,32.0,32.0,100,False,
explicit_test,steer_immediate,28,32.0,-32.0,100,False,
explicit_test,steer_long_term,32,2.0,2.0,100,False,
explicit_test,steer_immediate,32,2.0,-2.0,100,False,
explicit_test,steer_long_term,32,4.0,4.0,100,False,
explicit_test,steer_immediate,32,4.0,-4.0,100,False,
explicit_test,steer_long_term,32,8.0,8.0,100,False,
explicit_test,steer_immediate,32,8.0,-8.0,100,False,
explicit_test,steer_long_term,32,16.0,16.0,100,False,
explicit_test,steer_immediate,32,16.0,-16.0,100,False,
explicit_test,steer_long_term,32,32.0,32.0,100,False,
explicit_test,steer_immediate,32,32.0,-32.0,100,False,
explicit_test,steer_long_term,36,2.0,2.0,100,False,
explicit_test,steer_immediate,36,2.0,-2.0,100,False,
explicit_test,steer_long_term,36,4.0,4.0,100,False,
explicit_test,steer_immediate,36,4.0,-4.0,100,False,
explicit_test,steer_long_term,36,8.0,8.0,100,False,
explicit_test,steer_immediate,36,8.0,-8.0,100,False,
explicit_test,steer_long_term,36,16.0,16.0,100,False,
explicit_test,steer_immediate,36,16.0,-16.0,100,False,
explicit_test,steer_long_term,36,32.0,32.0,100,False,
explicit_test,steer_immediate,36,32.0,-32.0,100,False,
explicit_test,steer_long_term,40,2.0,2.0,100,False,
explicit_test,steer_immediate,40,2.0,-2.0,100,False,
explicit_test,steer_long_term,40,4.0,4.0,100,False,
explicit_test,steer_immediate,40,4.0,-4.0,100,False,
explicit_test,steer_long_term,40,8.0,8.0,100,False,
explicit_test,steer_immediate,40,8.0,-8.0,100,False,
explicit_test,steer_long_term,40,16.0,16.0,100,False,
explicit_test,steer_immediate,40,16.0,-16.0,100,False,
explicit_test,steer_long_term,40,32.0,32.0,100,False,
explicit_test,steer_immediate,40,32.0,-32.0,100,False,
explicit_test,steer_long_term,44,2.0,2.0,100,False,
explicit_test,steer_immediate,44,2.0,-2.0,100,False,
explicit_test,steer_long_term,44,4.0,4.0,100,False,
explicit_test,steer_immediate,44,4.0,-4.0,100,False,
explicit_test,steer_long_term,44,8.0,8.0,100,False,
explicit_test,steer_immediate,44,8.0,-8.0,100,False,
explicit_test,steer_long_term,44,16.0,16.0,100,False,
explicit_test,steer_immediate,44,16.0,-16.0,100,False,
explicit_test,steer_long_term,44,32.0,32.0,100,False,
explicit_test,steer_immediate,44,32.0,-32.0,100,False,
explicit_test,steer_long_term,48,2.0,2.0,100,False,
explicit_test,steer_immediate,48,2.0,-2.0,100,False,
explicit_test,steer_long_term,48,4.0,4.0,100,False,
explicit_test,steer_immediate,48,4.0,-4.0,100,False,
explicit_test,steer_long_term,48,8.0,8.0,100,False,
explicit_test,steer_immediate,48,8.0,-8.0,100,False,
explicit_test,steer_long_term,48,16.0,16.0,100,False,
explicit_test,steer_immediate,48,16.0,-16.0,100,False,
explicit_test,steer_long_term,48,32.0,32.0,100,False,
explicit_test,steer_immediate,48,32.0,-32.0,100,False,
implicit_full,baseline,-1,0.0,0.0,300,False,
implicit_full,steer_long_term,24,2.0,2.0,300,False,
implicit_full,steer_immediate,24,2.0,-2.0,300,False,
implicit_full,steer_long_term,24,4.0,4.0,300,False,
implicit_full,steer_immediate,24,4.0,-4.0,300,False,
implicit_full,steer_long_term,24,8.0,8.0,300,False,
implicit_full,steer_immediate,24,8.0,-8.0,300,False,
implicit_full,steer_long_term,24,16.0,16.0,300,False,
implicit_full,steer_immediate,24,16.0,-16.0,300,False,
implicit_full,steer_long_term,24,32.0,32.0,300,False,
implicit_full,steer_immediate,24,32.0,-32.0,300,False,
implicit_full,steer_long_term,28,2.0,2.0,300,False,
implicit_full,steer_immediate,28,2.0,-2.0,300,False,
implicit_full,steer_long_term,28,4.0,4.0,300,False,
implicit_full,steer_immediate,28,4.0,-4.0,300,False,
implicit_full,steer_long_term,28,8.0,8.0,300,False,
implicit_full,steer_immediate,28,8.0,-8.0,300,False,
implicit_full,steer_long_term,28,16.0,16.0,300,False,
implicit_full,steer_immediate,28,16.0,-16.0,300,False,
implicit_full,steer_long_term,28,32.0,32.0,300,False,
implicit_full,steer_immediate,28,32.0,-32.0,300,False,
implicit_full,steer_long_term,32,2.0,2.0,300,False,
implicit_full,steer_immediate,32,2.0,-2.0,300,False,
implicit_full,steer_long_term,32,4.0,4.0,300,False,
implicit_full,steer_immediate,32,4.0,-4.0,300,False,
implicit_full,steer_long_term,32,8.0,8.0,300,False,
implicit_full,steer_immediate,32,8.0,-8.0,300,False,
implicit_full,steer_long_term,32,16.0,16.0,300,False,
implicit_full,steer_immediate,32,16.0,-16.0,300,False,
implicit_full,steer_long_term,32,32.0,32.0,300,False,
implicit_full,steer_immediate,32,32.0,-32.0,300,False,
implicit_full,steer_long_term,36,2.0,2.0,300,False,
implicit_full,steer_immediate,36,2.0,-2.0,300,False,
implicit_full,steer_long_term,36,4.0,4.0,300,False,
implicit_full,steer_immediate,36,4.0,-4.0,300,False,
implicit_full,steer_long_term,36,8.0,8.0,300,False,
implicit_full,steer_immediate,36,8.0,-8.0,300,False,
implicit_full,steer_long_term,36,16.0,16.0,300,False,
implicit_full,steer_immediate,36,16.0,-16.0,300,False,
implicit_full,steer_long_term,36,32.0,32.0,300,False,
implicit_full,steer_immediate,36,32.0,-32.0,300,False,
implicit_full,steer_long_term,40,2.0,2.0,300,False,
