train_regime,feature_name,vector_key,dataset,condition,layer,strength,signed_strength,n_prompts,reused,source_path
implicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_test,baseline,-1,0.0,0.0,90,False,
implicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_test,steer_long_term,24,2.0,2.0,90,False,
implicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_test,steer_immediate,24,2.0,-2.0,90,False,
implicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_test,steer_long_term,24,4.0,4.0,90,False,
implicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_test,steer_immediate,24,4.0,-4.0,90,False,
implicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_test,steer_long_term,24,8.0,8.0,90,False,
implicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_test,steer_immediate,24,8.0,-8.0,90,False,
implicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_test,steer_long_term,24,16.0,16.0,90,False,
implicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_test,steer_immediate,24,16.0,-16.0,90,False,
implicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_test,steer_long_term,24,32.0,32.0,90,False,
implicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_test,steer_immediate,24,32.0,-32.0,90,False,
implicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_test,steer_long_term,24,64.0,64.0,90,False,
implicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_test,steer_immediate,24,64.0,-64.0,90,False,
implicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_test,steer_long_term,24,128.0,128.0,90,False,
implicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_test,steer_immediate,24,128.0,-128.0,90,False,
implicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_test,steer_long_term,28,2.0,2.0,90,False,
implicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_test,steer_immediate,28,2.0,-2.0,90,False,
implicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_test,steer_long_term,28,4.0,4.0,90,False,
implicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_test,steer_immediate,28,4.0,-4.0,90,False,
implicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_test,steer_long_term,28,8.0,8.0,90,False,
implicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_test,steer_immediate,28,8.0,-8.0,90,False,
implicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_test,steer_long_term,28,16.0,16.0,90,False,
implicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_test,steer_immediate,28,16.0,-16.0,90,False,
implicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_test,steer_long_term,28,32.0,32.0,90,False,
implicit_train_only,mean_answer_tokens,mm_probe_vectors,implicit_test,steer_immediate,28,32.0,-32.0,90,False,
