train_regime,feature_name,vector_key,layer,direction,rank,token_id,decoded_stripped,score
explicit_train_only,mean_answer_tokens,mm_probe_vectors,24,positive,1,4134,ago,0.0849609375
explicit_train_only,mean_answer_tokens,mm_probe_vectors,24,positive,2,74397,enal,0.08056640625
explicit_train_only,mean_answer_tokens,mm_probe_vectors,24,positive,3,61639,baugh,0.07666015625
explicit_train_only,mean_answer_tokens,mm_probe_vectors,24,positive,4,71456,buff,0.07568359375
explicit_train_only,mean_answer_tokens,mm_probe_vectors,24,positive,5,53537,edd,0.07421875
explicit_train_only,mean_answer_tokens,mm_probe_vectors,24,positive,6,19986,theless,0.07421875
explicit_train_only,mean_answer_tokens,mm_probe_vectors,24,positive,7,1595,pty,0.07177734375
explicit_train_only,mean_answer_tokens,mm_probe_vectors,24,positive,8,77115,icho,0.0712890625
explicit_train_only,mean_answer_tokens,mm_probe_vectors,24,positive,9,21323,etal,0.0712890625
explicit_train_only,mean_answer_tokens,mm_probe_vectors,24,positive,10,9376,eg,0.07080078125
explicit_train_only,mean_answer_tokens,mm_probe_vectors,24,negative,1,63936,ogh,-0.08544921875
explicit_train_only,mean_answer_tokens,mm_probe_vectors,24,negative,2,12765,aron,-0.08251953125
explicit_train_only,mean_answer_tokens,mm_probe_vectors,24,negative,3,84569,oling,-0.08251953125
explicit_train_only,mean_answer_tokens,mm_probe_vectors,24,negative,4,72399,laat,-0.08203125
explicit_train_only,mean_answer_tokens,mm_probe_vectors,24,negative,5,8199,ander,-0.07861328125
explicit_train_only,mean_answer_tokens,mm_probe_vectors,24,negative,6,59466,eteor,-0.078125
explicit_train_only,mean_answer_tokens,mm_probe_vectors,24,negative,7,70679,osti,-0.07763671875
explicit_train_only,mean_answer_tokens,mm_probe_vectors,24,negative,8,85284,swing,-0.0771484375
explicit_train_only,mean_answer_tokens,mm_probe_vectors,24,negative,9,40879,ariat,-0.07666015625
explicit_train_only,mean_answer_tokens,mm_probe_vectors,24,negative,10,2412,ots,-0.07666015625
explicit_train_only,mean_answer_tokens,mm_probe_vectors,28,positive,1,96603,ago,0.087890625
explicit_train_only,mean_answer_tokens,mm_probe_vectors,28,positive,2,46230,inspector,0.0810546875
explicit_train_only,mean_answer_tokens,mm_probe_vectors,28,positive,3,26275,ctor,0.078125
explicit_train_only,mean_answer_tokens,mm_probe_vectors,28,positive,4,62464,ims,0.07763671875
explicit_train_only,mean_answer_tokens,mm_probe_vectors,28,positive,5,74397,enal,0.0771484375
explicit_train_only,mean_answer_tokens,mm_probe_vectors,28,positive,6,89255,kino,0.0751953125
explicit_train_only,mean_answer_tokens,mm_probe_vectors,28,positive,7,78504,ited,0.0751953125
explicit_train_only,mean_answer_tokens,mm_probe_vectors,28,positive,8,29990,comed,0.07470703125
explicit_train_only,mean_answer_tokens,mm_probe_vectors,28,positive,9,2206,andom,0.07275390625
explicit_train_only,mean_answer_tokens,mm_probe_vectors,28,positive,10,80038,icare,0.07177734375
explicit_train_only,mean_answer_tokens,mm_probe_vectors,28,negative,1,12765,aron,-0.09423828125
explicit_train_only,mean_answer_tokens,mm_probe_vectors,28,negative,2,25849,oton,-0.08935546875
explicit_train_only,mean_answer_tokens,mm_probe_vectors,28,negative,3,1292,day,-0.08642578125
explicit_train_only,mean_answer_tokens,mm_probe_vectors,28,negative,4,70679,osti,-0.08544921875
explicit_train_only,mean_answer_tokens,mm_probe_vectors,28,negative,5,26383,glas,-0.0830078125
explicit_train_only,mean_answer_tokens,mm_probe_vectors,28,negative,6,2338,tes,-0.0810546875
explicit_train_only,mean_answer_tokens,mm_probe_vectors,28,negative,7,15477,antes,-0.076171875
explicit_train_only,mean_answer_tokens,mm_probe_vectors,28,negative,8,18198,flush,-0.076171875
explicit_train_only,mean_answer_tokens,mm_probe_vectors,28,negative,9,40879,ariat,-0.07568359375
explicit_train_only,mean_answer_tokens,mm_probe_vectors,28,negative,10,27885,arak,-0.07568359375
explicit_train_only,mean_answer_tokens,mm_probe_vectors,32,positive,1,96603,ago,0.08544921875
explicit_train_only,mean_answer_tokens,mm_probe_vectors,32,positive,2,2985,thers,0.083984375
explicit_train_only,mean_answer_tokens,mm_probe_vectors,32,positive,3,46230,inspector,0.0810546875
explicit_train_only,mean_answer_tokens,mm_probe_vectors,32,positive,4,74397,enal,0.080078125
explicit_train_only,mean_answer_tokens,mm_probe_vectors,32,positive,5,62464,ims,0.07470703125
explicit_train_only,mean_answer_tokens,mm_probe_vectors,32,positive,6,26275,ctor,0.0732421875
explicit_train_only,mean_answer_tokens,mm_probe_vectors,32,positive,7,55827,tort,0.07275390625
explicit_train_only,mean_answer_tokens,mm_probe_vectors,32,positive,8,81805,affected,0.072265625
explicit_train_only,mean_answer_tokens,mm_probe_vectors,32,positive,9,61864,sqlconnection,0.07177734375
explicit_train_only,mean_answer_tokens,mm_probe_vectors,32,positive,10,2206,andom,0.0703125
explicit_train_only,mean_answer_tokens,mm_probe_vectors,32,negative,1,12765,aron,-0.09228515625
explicit_train_only,mean_answer_tokens,mm_probe_vectors,32,negative,2,57080,orda,-0.0849609375
explicit_train_only,mean_answer_tokens,mm_probe_vectors,32,negative,3,70679,osti,-0.0830078125
explicit_train_only,mean_answer_tokens,mm_probe_vectors,32,negative,4,27885,arak,-0.08203125
explicit_train_only,mean_answer_tokens,mm_probe_vectors,32,negative,5,2248,ron,-0.08203125
explicit_train_only,mean_answer_tokens,mm_probe_vectors,32,negative,6,1292,day,-0.08056640625
explicit_train_only,mean_answer_tokens,mm_probe_vectors,32,negative,7,2338,tes,-0.0791015625
explicit_train_only,mean_answer_tokens,mm_probe_vectors,32,negative,8,79725,swire,-0.076171875
explicit_train_only,mean_answer_tokens,mm_probe_vectors,32,negative,9,84569,oling,-0.07568359375
explicit_train_only,mean_answer_tokens,mm_probe_vectors,32,negative,10,26383,glas,-0.07568359375
explicit_train_only,mean_answer_tokens,mm_probe_vectors,36,positive,1,53095,inbackground,0.078125
explicit_train_only,mean_answer_tokens,mm_probe_vectors,36,positive,2,80500,educt,0.07568359375
explicit_train_only,mean_answer_tokens,mm_probe_vectors,36,positive,3,22156,fran,0.07421875
explicit_train_only,mean_answer_tokens,mm_probe_vectors,36,positive,4,74397,enal,0.07373046875
explicit_train_only,mean_answer_tokens,mm_probe_vectors,36,positive,5,46230,inspector,0.07275390625
explicit_train_only,mean_answer_tokens,mm_probe_vectors,36,positive,6,19986,theless,0.072265625
explicit_train_only,mean_answer_tokens,mm_probe_vectors,36,positive,7,18857,igne,0.07177734375
explicit_train_only,mean_answer_tokens,mm_probe_vectors,36,positive,8,4402,ently,0.0712890625
explicit_train_only,mean_answer_tokens,mm_probe_vectors,36,positive,9,35608,wart,0.07080078125
explicit_train_only,mean_answer_tokens,mm_probe_vectors,36,positive,10,54023,yrs,0.07080078125
explicit_train_only,mean_answer_tokens,mm_probe_vectors,36,negative,1,72399,laat,-0.08740234375
explicit_train_only,mean_answer_tokens,mm_probe_vectors,36,negative,2,12765,aron,-0.0859375
explicit_train_only,mean_answer_tokens,mm_probe_vectors,36,negative,3,57738,burst,-0.080078125
explicit_train_only,mean_answer_tokens,mm_probe_vectors,36,negative,4,11672,outs,-0.07861328125
explicit_train_only,mean_answer_tokens,mm_probe_vectors,36,negative,5,70679,osti,-0.07861328125
explicit_train_only,mean_answer_tokens,mm_probe_vectors,36,negative,6,79725,swire,-0.07666015625
explicit_train_only,mean_answer_tokens,mm_probe_vectors,36,negative,7,26383,glas,-0.07666015625
explicit_train_only,mean_answer_tokens,mm_probe_vectors,36,negative,8,84569,oling,-0.07666015625
explicit_train_only,mean_answer_tokens,mm_probe_vectors,36,negative,9,95231,kare,-0.076171875
explicit_train_only,mean_answer_tokens,mm_probe_vectors,36,negative,10,81029,woods,-0.076171875
explicit_train_only,mean_answer_tokens,mm_probe_vectors,40,positive,1,1595,pty,0.09619140625
explicit_train_only,mean_answer_tokens,mm_probe_vectors,40,positive,2,74397,enal,0.08251953125
explicit_train_only,mean_answer_tokens,mm_probe_vectors,40,positive,3,1293,long,0.0810546875
explicit_train_only,mean_answer_tokens,mm_probe_vectors,40,positive,4,7471,uing,0.080078125
explicit_train_only,mean_answer_tokens,mm_probe_vectors,40,positive,5,53095,inbackground,0.07861328125
explicit_train_only,mean_answer_tokens,mm_probe_vectors,40,positive,6,80500,educt,0.0751953125
explicit_train_only,mean_answer_tokens,mm_probe_vectors,40,positive,7,28222,pha,0.07470703125
explicit_train_only,mean_answer_tokens,mm_probe_vectors,40,positive,8,38544,toint,0.07373046875
explicit_train_only,mean_answer_tokens,mm_probe_vectors,40,positive,9,71456,buff,0.0732421875
explicit_train_only,mean_answer_tokens,mm_probe_vectors,40,positive,10,6304,ago,0.0732421875
explicit_train_only,mean_answer_tokens,mm_probe_vectors,40,negative,1,70679,osti,-0.09130859375
explicit_train_only,mean_answer_tokens,mm_probe_vectors,40,negative,2,26383,glas,-0.0888671875
explicit_train_only,mean_answer_tokens,mm_probe_vectors,40,negative,3,72399,laat,-0.08251953125
explicit_train_only,mean_answer_tokens,mm_probe_vectors,40,negative,4,72724,jad,-0.08203125
explicit_train_only,mean_answer_tokens,mm_probe_vectors,40,negative,5,79725,swire,-0.078125
explicit_train_only,mean_answer_tokens,mm_probe_vectors,40,negative,6,84569,oling,-0.078125
explicit_train_only,mean_answer_tokens,mm_probe_vectors,40,negative,7,59466,eteor,-0.076171875
explicit_train_only,mean_answer_tokens,mm_probe_vectors,40,negative,8,12765,aron,-0.07421875
explicit_train_only,mean_answer_tokens,mm_probe_vectors,40,negative,9,17272,inator,-0.07373046875
explicit_train_only,mean_answer_tokens,mm_probe_vectors,40,negative,10,10906,byte,-0.072265625
explicit_train_only,mean_answer_tokens,mm_probe_vectors,44,positive,1,1595,pty,0.0927734375
explicit_train_only,mean_answer_tokens,mm_probe_vectors,44,positive,2,53095,inbackground,0.08642578125
explicit_train_only,mean_answer_tokens,mm_probe_vectors,44,positive,3,1293,long,0.0830078125
explicit_train_only,mean_answer_tokens,mm_probe_vectors,44,positive,4,74397,enal,0.07958984375
explicit_train_only,mean_answer_tokens,mm_probe_vectors,44,positive,5,39337,ohl,0.0791015625
explicit_train_only,mean_answer_tokens,mm_probe_vectors,44,positive,6,7471,uing,0.07861328125
explicit_train_only,mean_answer_tokens,mm_probe_vectors,44,positive,7,88813,years,0.07861328125
explicit_train_only,mean_answer_tokens,mm_probe_vectors,44,positive,8,85814,ides,0.0771484375
explicit_train_only,mean_answer_tokens,mm_probe_vectors,44,positive,9,80500,educt,0.076171875
explicit_train_only,mean_answer_tokens,mm_probe_vectors,44,positive,10,13111,aler,0.07568359375
explicit_train_only,mean_answer_tokens,mm_probe_vectors,44,negative,1,72724,jad,-0.0869140625
explicit_train_only,mean_answer_tokens,mm_probe_vectors,44,negative,2,72399,laat,-0.08203125
explicit_train_only,mean_answer_tokens,mm_probe_vectors,44,negative,3,62323,ruz,-0.08154296875
explicit_train_only,mean_answer_tokens,mm_probe_vectors,44,negative,4,70679,osti,-0.080078125
