artifact,path
raw_csv,/workspace/results/qwen3_32b/time_utility_experiment_probe_projected/20260414-192744/mmraz_time_utility_qwen3_32b_probe_projected_raw_20260414-192744.csv
summary_csv,/workspace/results/qwen3_32b/time_utility_experiment_probe_projected/20260414-192744/mmraz_time_utility_qwen3_32b_probe_projected_summary_20260414-192744.csv
summary_by_amount_scale_factor_csv,/workspace/results/qwen3_32b/time_utility_experiment_probe_projected/20260414-192744/mmraz_time_utility_qwen3_32b_probe_projected_summary_by_amount_scale_factor_20260414-192744.csv
projection_diagnostics_raw_csv,/workspace/results/qwen3_32b/time_utility_experiment_probe_projected/20260414-192744/mmraz_time_utility_qwen3_32b_probe_projected_projection_diagnostics_raw_20260414-192744.csv
projection_diagnostics_summary_csv,/workspace/results/qwen3_32b/time_utility_experiment_probe_projected/20260414-192744/mmraz_time_utility_qwen3_32b_probe_projected_projection_diagnostics_summary_20260414-192744.csv
config_json,/workspace/results/qwen3_32b/time_utility_experiment_probe_projected/20260414-192744/mmraz_time_utility_qwen3_32b_probe_projected_config_20260414-192744.json
plot_index_csv,/workspace/results/qwen3_32b/time_utility_experiment_probe_projected/20260414-192744/mmraz_time_utility_qwen3_32b_probe_projected_plots_20260414-192744.csv
partial_dir,/workspace/results/qwen3_32b/time_utility_experiment_probe_projected/20260414-192744/partial
baseline_choose_x_now,/workspace/results/qwen3_32b/time_utility_experiment_probe_projected/20260414-192744/qwen3_32b_baseline_layer40_projection0_choose_x_now.png
baseline_unparsed_rate,/workspace/results/qwen3_32b/time_utility_experiment_probe_projected/20260414-192744/qwen3_32b_baseline_layer40_projection0_unparsed_rate.png
projection_erasure_choose_x_now,/workspace/results/qwen3_32b/time_utility_experiment_probe_projected/20260414-192744/qwen3_32b_projection_erasure_layer40_projection1_choose_x_now.png
projection_erasure_unparsed_rate,/workspace/results/qwen3_32b/time_utility_experiment_probe_projected/20260414-192744/qwen3_32b_projection_erasure_layer40_projection1_unparsed_rate.png
