condition,plot_type,plot_path
steer_immediate_minus16,choose_x_now,/workspace/results/qwen3_32b/time_utility_experiment_probe_steered/20260410-104705/qwen3_32b_steer_immediate_minus16_layer40_strength16_choose_x_now.png
steer_immediate_minus16,unparsed_rate,/workspace/results/qwen3_32b/time_utility_experiment_probe_steered/20260410-104705/qwen3_32b_steer_immediate_minus16_layer40_strength16_unparsed_rate.png
steer_immediate_minus32,choose_x_now,/workspace/results/qwen3_32b/time_utility_experiment_probe_steered/20260410-104705/qwen3_32b_steer_immediate_minus32_layer40_strength32_choose_x_now.png
steer_immediate_minus32,unparsed_rate,/workspace/results/qwen3_32b/time_utility_experiment_probe_steered/20260410-104705/qwen3_32b_steer_immediate_minus32_layer40_strength32_unparsed_rate.png
steer_immediate_minus8,choose_x_now,/workspace/results/qwen3_32b/time_utility_experiment_probe_steered/20260410-104705/qwen3_32b_steer_immediate_minus8_layer40_strength8_choose_x_now.png
steer_immediate_minus8,unparsed_rate,/workspace/results/qwen3_32b/time_utility_experiment_probe_steered/20260410-104705/qwen3_32b_steer_immediate_minus8_layer40_strength8_unparsed_rate.png
steer_long_term_plus16,choose_x_now,/workspace/results/qwen3_32b/time_utility_experiment_probe_steered/20260410-104705/qwen3_32b_steer_long_term_plus16_layer40_strength16_choose_x_now.png
steer_long_term_plus16,unparsed_rate,/workspace/results/qwen3_32b/time_utility_experiment_probe_steered/20260410-104705/qwen3_32b_steer_long_term_plus16_layer40_strength16_unparsed_rate.png
steer_long_term_plus32,choose_x_now,/workspace/results/qwen3_32b/time_utility_experiment_probe_steered/20260410-104705/qwen3_32b_steer_long_term_plus32_layer40_strength32_choose_x_now.png
steer_long_term_plus32,unparsed_rate,/workspace/results/qwen3_32b/time_utility_experiment_probe_steered/20260410-104705/qwen3_32b_steer_long_term_plus32_layer40_strength32_unparsed_rate.png
steer_long_term_plus8,choose_x_now,/workspace/results/qwen3_32b/time_utility_experiment_probe_steered/20260410-104705/qwen3_32b_steer_long_term_plus8_layer40_strength8_choose_x_now.png
steer_long_term_plus8,unparsed_rate,/workspace/results/qwen3_32b/time_utility_experiment_probe_steered/20260410-104705/qwen3_32b_steer_long_term_plus8_layer40_strength8_unparsed_rate.png
