method,condition,signed_strength,t_delay,delay_idx,indifference_multiplier,plot_multiplier,log_indifference_multiplier,logistic_alpha,logistic_beta_log_multiplier,status,parsed_weight_fraction,n_parsed_cells,n_unparsed_cells
weighted_logistic_per_delay_column,steer_immediate_minus128,-128.0,1 hour,0,3.0757611516883903,3.0757611516883903,1.1235523996325862,-4.9018218178008,4.362788793298603,finite,1.0,8,0
weighted_logistic_per_delay_column,steer_immediate_minus128,-128.0,8 hours,1,3.0757611516883903,3.0757611516883903,1.1235523996325862,-4.9018218178008,4.362788793298603,finite,1.0,8,0
weighted_logistic_per_delay_column,steer_immediate_minus128,-128.0,tomorrow,2,1.0168046695190123,1.0168046695190123,0.016665033249804954,-0.05275011585003053,3.16531716794792,finite,1.0,8,0
weighted_logistic_per_delay_column,steer_immediate_minus128,-128.0,week,3,3.0757611516883903,3.0757611516883903,1.1235523996325862,-4.9018218178008,4.362788793298603,finite,1.0,8,0
weighted_logistic_per_delay_column,steer_immediate_minus128,-128.0,month,4,6.585748462822774,6.585748462822774,1.8849079905164574,-9.525945002759956,5.0537984085631065,finite,1.0,8,0
weighted_logistic_per_delay_column,steer_immediate_minus128,-128.0,year,5,13.718289621051778,13.718289621051778,2.618729951337992,-2.895647232003869,1.1057448785524415,finite,1.0,8,0
weighted_logistic_per_delay_column,steer_immediate_minus128,-128.0,2 years,6,3.0757611516883903,3.0757611516883903,1.1235523996325862,-4.9018218178008,4.362788793298603,finite,1.0,8,0
weighted_logistic_per_delay_column,steer_immediate_minus128,-128.0,3 years,7,13.718289621051778,13.718289621051778,2.618729951337992,-2.895647232003869,1.1057448785524415,finite,1.0,8,0
weighted_logistic_per_delay_column,steer_immediate_minus128,-128.0,5 years,8,13.718289621051778,13.718289621051778,2.618729951337992,-2.895647232003869,1.1057448785524415,finite,1.0,8,0
weighted_logistic_per_delay_column,steer_immediate_minus128,-128.0,10 years,9,inf,100.0,,,,right_censored_all_now_in_tested_range,1.0,8,0
weighted_logistic_per_delay_column,steer_immediate_minus64,-64.0,1 hour,0,3.0757611516883903,3.0757611516883903,1.1235523996325862,-4.9018218178008,4.362788793298603,finite,1.0,8,0
weighted_logistic_per_delay_column,steer_immediate_minus64,-64.0,8 hours,1,3.0757611516883903,3.0757611516883903,1.1235523996325862,-4.9018218178008,4.362788793298603,finite,1.0,8,0
weighted_logistic_per_delay_column,steer_immediate_minus64,-64.0,tomorrow,2,1.0168046695190123,1.0168046695190123,0.016665033249804954,-0.05275011585003053,3.16531716794792,finite,1.0,8,0
weighted_logistic_per_delay_column,steer_immediate_minus64,-64.0,week,3,6.585748462822774,6.585748462822774,1.8849079905164574,-9.525945002759956,5.0537984085631065,finite,1.0,8,0
weighted_logistic_per_delay_column,steer_immediate_minus64,-64.0,month,4,3.7814699704501207,3.7814699704501207,1.3301128151083106,-3.2614297636355363,2.451994843287003,finite,1.0,8,0
weighted_logistic_per_delay_column,steer_immediate_minus64,-64.0,year,5,6.585748462822774,6.585748462822774,1.8849079905164574,-9.525945002759956,5.0537984085631065,finite,1.0,8,0
weighted_logistic_per_delay_column,steer_immediate_minus64,-64.0,2 years,6,3.0757611516883903,3.0757611516883903,1.1235523996325862,-4.9018218178008,4.362788793298603,finite,1.0,8,0
weighted_logistic_per_delay_column,steer_immediate_minus64,-64.0,3 years,7,3.0757611516883903,3.0757611516883903,1.1235523996325862,-4.9018218178008,4.362788793298603,finite,1.0,8,0
weighted_logistic_per_delay_column,steer_immediate_minus64,-64.0,5 years,8,3.0757611516883903,3.0757611516883903,1.1235523996325862,-4.9018218178008,4.362788793298603,finite,1.0,8,0
weighted_logistic_per_delay_column,steer_immediate_minus64,-64.0,10 years,9,inf,100.0,,,,right_censored_all_now_in_tested_range,1.0,8,0
weighted_logistic_per_delay_column,steer_immediate_minus32,-32.0,1 hour,0,3.0757611516883903,3.0757611516883903,1.1235523996325862,-4.9018218178008,4.362788793298603,finite,1.0,8,0
weighted_logistic_per_delay_column,steer_immediate_minus32,-32.0,8 hours,1,3.0757611516883903,3.0757611516883903,1.1235523996325862,-4.9018218178008,4.362788793298603,finite,1.0,8,0
