method,condition,signed_strength,t_delay,delay_idx,indifference_multiplier,plot_multiplier,log_indifference_multiplier,logistic_alpha,logistic_beta_log_multiplier,status,parsed_weight_fraction,n_factor_rows,n_valid_factor_rows,time_delay_format,day_count_delays,time_delay_format_source
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,1 hour,0,56.34430502435577,,4.031481171036928,2.9879372466721072,-0.7411512344738515,negative_slope_incoherent_amount_effect,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,8 hours,1,7.775493227794185,,2.050976893711631,0.38001802059133916,-0.18528634903517838,negative_slope_incoherent_amount_effect,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,1 day,2,92685.35152363585,,11.43696571882618,2.769117458891548,-0.24211994046055016,negative_slope_incoherent_amount_effect,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,2 days,3,40168487.96570609,,17.508593364743437,1.634121866159368,-0.09333256145236392,negative_slope_incoherent_amount_effect,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,7 days,4,2513.9405574724856,,7.829606744269416,1.7110667661214716,-0.21853802138578954,negative_slope_incoherent_amount_effect,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,30 days,5,0.036388788458309534,1.0,-3.3134945611711766,0.4442791749775248,0.134081757726046,left_censored_threshold_below_tested_range,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,90 days,6,30.192940482381932,30.192940482381932,3.4076081381934373,-1.3852314251931288,0.406511361933628,finite,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,365 days,7,28.419658783875118,28.419658783875118,3.3470811163996634,-1.9711790496420676,0.5889247918085699,finite,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,730 days,8,104.3387866167667,100.0,4.647643168398457,-2.3741232874023663,0.5108230561987123,right_censored_threshold_above_tested_range,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,1095 days,9,485.82865457617453,100.0,6.185855999135224,-3.177207022431239,0.5136244721628517,right_censored_threshold_above_tested_range,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,1825 days,10,485.82865457617453,100.0,6.185855999135224,-3.177207022431239,0.5136244721628517,right_censored_threshold_above_tested_range,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,3650 days,11,inf,100.0,,,,right_censored_all_now_in_tested_range,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus64,-64.0,1 hour,0,1496.5875544467617,,7.31094283172685,3.8582528903601965,-0.5277367063543122,negative_slope_incoherent_amount_effect,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus64,-64.0,8 hours,1,2.7506999073347787e-27,1.0,-61.157942119785275,1.6527688148941677,0.02702459823872129,left_censored_threshold_below_tested_range,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus64,-64.0,1 day,2,2147.175773793626,,7.671908664017003,3.6543739163068647,-0.4763317808313738,negative_slope_incoherent_amount_effect,1.0,64,64,day_counts,True,config:time_delay_format
