condition,base_x_now,base_x_now_text,base_y_later,base_y_later_text,amount_multiplier,amount_multiplier_text,t_delay,x_now,x_now_text,y_later,y_later_text,n_total,n_choose_x,n_choose_y,n_it_depends,n_unparsed,n_amount_scale_factors,amount_scale_factors,n_parsed,prop_choose_x_parsed,prop_choose_y_parsed,prop_it_depends_parsed,unparsed_rate
steer_immediate_minus128,100,100,100,100,1.0,1,1 day,100,100,100,100,8,8,0,0,0,8,"0.3,0.5,0.7,1,1.4,2,6,8",8,1.0,0.0,0.0,0.0
steer_immediate_minus128,100,100,100,100,1.0,1,1 hour,100,100,100,100,8,8,0,0,0,8,"0.3,0.5,0.7,1,1.4,2,6,8",8,1.0,0.0,0.0,0.0
steer_immediate_minus128,100,100,100,100,1.0,1,1095 days,100,100,100,100,8,8,0,0,0,8,"0.3,0.5,0.7,1,1.4,2,6,8",8,1.0,0.0,0.0,0.0
steer_immediate_minus128,100,100,100,100,1.0,1,1825 days,100,100,100,100,8,8,0,0,0,8,"0.3,0.5,0.7,1,1.4,2,6,8",8,1.0,0.0,0.0,0.0
steer_immediate_minus128,100,100,100,100,1.0,1,2 days,100,100,100,100,8,8,0,0,0,8,"0.3,0.5,0.7,1,1.4,2,6,8",8,1.0,0.0,0.0,0.0
steer_immediate_minus128,100,100,100,100,1.0,1,30 days,100,100,100,100,8,8,0,0,0,8,"0.3,0.5,0.7,1,1.4,2,6,8",8,1.0,0.0,0.0,0.0
steer_immediate_minus128,100,100,100,100,1.0,1,365 days,100,100,100,100,8,8,0,0,0,8,"0.3,0.5,0.7,1,1.4,2,6,8",8,1.0,0.0,0.0,0.0
steer_immediate_minus128,100,100,100,100,1.0,1,3650 days,100,100,100,100,8,8,0,0,0,8,"0.3,0.5,0.7,1,1.4,2,6,8",8,1.0,0.0,0.0,0.0
steer_immediate_minus128,100,100,100,100,1.0,1,7 days,100,100,100,100,8,8,0,0,0,8,"0.3,0.5,0.7,1,1.4,2,6,8",8,1.0,0.0,0.0,0.0
steer_immediate_minus128,100,100,100,100,1.0,1,730 days,100,100,100,100,8,8,0,0,0,8,"0.3,0.5,0.7,1,1.4,2,6,8",8,1.0,0.0,0.0,0.0
steer_immediate_minus128,100,100,100,100,1.0,1,8 hours,100,100,100,100,8,8,0,0,0,8,"0.3,0.5,0.7,1,1.4,2,6,8",8,1.0,0.0,0.0,0.0
steer_immediate_minus128,100,100,100,100,1.0,1,90 days,100,100,100,100,8,8,0,0,0,8,"0.3,0.5,0.7,1,1.4,2,6,8",8,1.0,0.0,0.0,0.0
steer_immediate_minus128,100,100,101,101,1.01,1.01,1 day,100,100,101,101,8,4,4,0,0,8,"0.3,0.5,0.7,1,1.4,2,6,8",8,0.5,0.5,0.0,0.0
steer_immediate_minus128,100,100,101,101,1.01,1.01,1 hour,100,100,101,101,8,6,2,0,0,8,"0.3,0.5,0.7,1,1.4,2,6,8",8,0.75,0.25,0.0,0.0
steer_immediate_minus128,100,100,101,101,1.01,1.01,1095 days,100,100,101,101,8,8,0,0,0,8,"0.3,0.5,0.7,1,1.4,2,6,8",8,1.0,0.0,0.0,0.0
steer_immediate_minus128,100,100,101,101,1.01,1.01,1825 days,100,100,101,101,8,8,0,0,0,8,"0.3,0.5,0.7,1,1.4,2,6,8",8,1.0,0.0,0.0,0.0
steer_immediate_minus128,100,100,101,101,1.01,1.01,2 days,100,100,101,101,8,3,5,0,0,8,"0.3,0.5,0.7,1,1.4,2,6,8",8,0.375,0.625,0.0,0.0
steer_immediate_minus128,100,100,101,101,1.01,1.01,30 days,100,100,101,101,8,8,0,0,0,8,"0.3,0.5,0.7,1,1.4,2,6,8",8,1.0,0.0,0.0,0.0
steer_immediate_minus128,100,100,101,101,1.01,1.01,365 days,100,100,101,101,8,8,0,0,0,8,"0.3,0.5,0.7,1,1.4,2,6,8",8,1.0,0.0,0.0,0.0
steer_immediate_minus128,100,100,101,101,1.01,1.01,3650 days,100,100,101,101,8,8,0,0,0,8,"0.3,0.5,0.7,1,1.4,2,6,8",8,1.0,0.0,0.0,0.0
steer_immediate_minus128,100,100,101,101,1.01,1.01,7 days,100,100,101,101,8,2,6,0,0,8,"0.3,0.5,0.7,1,1.4,2,6,8",8,0.25,0.75,0.0,0.0
steer_immediate_minus128,100,100,101,101,1.01,1.01,730 days,100,100,101,101,8,8,0,0,0,8,"0.3,0.5,0.7,1,1.4,2,6,8",8,1.0,0.0,0.0,0.0
steer_immediate_minus128,100,100,101,101,1.01,1.01,8 hours,100,100,101,101,8,6,2,0,0,8,"0.3,0.5,0.7,1,1.4,2,6,8",8,0.75,0.25,0.0,0.0
steer_immediate_minus128,100,100,101,101,1.01,1.01,90 days,100,100,101,101,8,8,0,0,0,8,"0.3,0.5,0.7,1,1.4,2,6,8",8,1.0,0.0,0.0,0.0
steer_immediate_minus128,100,100,110,110,1.1,1.1,1 day,100,100,110,110,8,0,8,0,0,8,"0.3,0.5,0.7,1,1.4,2,6,8",8,0.0,1.0,0.0,0.0
steer_immediate_minus128,100,100,110,110,1.1,1.1,1 hour,100,100,110,110,8,0,8,0,0,8,"0.3,0.5,0.7,1,1.4,2,6,8",8,0.0,1.0,0.0,0.0
steer_immediate_minus128,100,100,110,110,1.1,1.1,1095 days,100,100,110,110,8,8,0,0,0,8,"0.3,0.5,0.7,1,1.4,2,6,8",8,1.0,0.0,0.0,0.0
steer_immediate_minus128,100,100,110,110,1.1,1.1,1825 days,100,100,110,110,8,8,0,0,0,8,"0.3,0.5,0.7,1,1.4,2,6,8",8,1.0,0.0,0.0,0.0
steer_immediate_minus128,100,100,110,110,1.1,1.1,2 days,100,100,110,110,8,0,8,0,0,8,"0.3,0.5,0.7,1,1.4,2,6,8",8,0.0,1.0,0.0,0.0
steer_immediate_minus128,100,100,110,110,1.1,1.1,30 days,100,100,110,110,8,7,1,0,0,8,"0.3,0.5,0.7,1,1.4,2,6,8",8,0.875,0.125,0.0,0.0
steer_immediate_minus128,100,100,110,110,1.1,1.1,365 days,100,100,110,110,8,8,0,0,0,8,"0.3,0.5,0.7,1,1.4,2,6,8",8,1.0,0.0,0.0,0.0
steer_immediate_minus128,100,100,110,110,1.1,1.1,3650 days,100,100,110,110,8,8,0,0,0,8,"0.3,0.5,0.7,1,1.4,2,6,8",8,1.0,0.0,0.0,0.0
steer_immediate_minus128,100,100,110,110,1.1,1.1,7 days,100,100,110,110,8,1,7,0,0,8,"0.3,0.5,0.7,1,1.4,2,6,8",8,0.125,0.875,0.0,0.0
steer_immediate_minus128,100,100,110,110,1.1,1.1,730 days,100,100,110,110,8,8,0,0,0,8,"0.3,0.5,0.7,1,1.4,2,6,8",8,1.0,0.0,0.0,0.0
steer_immediate_minus128,100,100,110,110,1.1,1.1,8 hours,100,100,110,110,8,2,6,0,0,8,"0.3,0.5,0.7,1,1.4,2,6,8",8,0.25,0.75,0.0,0.0
steer_immediate_minus128,100,100,110,110,1.1,1.1,90 days,100,100,110,110,8,8,0,0,0,8,"0.3,0.5,0.7,1,1.4,2,6,8",8,1.0,0.0,0.0,0.0
