condition,set_type,n_queries,Delivery Rate,Commonsense Constraint Micro Pass Rate,Commonsense Constraint Macro Pass Rate,Hard Constraint Micro Pass Rate,Hard Constraint Macro Pass Rate,Final Pass Rate,delivery_count,commonsense_true_count,commonsense_total_count,hard_true_count,hard_total_count,final_pass_count,evaluation_skipped,evaluation_result_source,signed_strength,steering_applied,Final Pass Rate Delta vs Baseline
baseline,validation,180,0.9666666666666667,0.5875,0.0,0.004761904761904762,0.011111111111111112,0.0,174,846,1440,2,420,0,False,reused_existing,0.0,False,0.0
steer_immediate_minus128,validation,180,1.0,0.42916666666666664,0.0,0.0,0.0,0.0,180,618,1440,0,420,0,False,reused_existing,-128.0,True,0.0
steer_long_term_plus128,validation,180,0.9611111111111111,0.47638888888888886,0.0,0.0,0.0,0.0,173,686,1440,0,420,0,False,reused_existing,128.0,True,0.0
steer_immediate_minus91,validation,180,0.9888888888888889,0.49930555555555556,0.005555555555555556,0.002380952380952381,0.005555555555555556,0.005555555555555556,178,719,1440,1,420,1,False,reused_existing,-91.0,True,0.005555555555555556
steer_long_term_plus91,validation,180,1.0,0.6097222222222223,0.0,0.0,0.0,0.0,180,878,1440,0,420,0,False,reused_existing,91.0,True,0.0
steer_immediate_minus64,validation,180,0.9777777777777777,0.5395833333333333,0.0,0.004761904761904762,0.0,0.0,176,777,1440,2,420,0,False,reused_existing,-64.0,True,0.0
steer_long_term_plus64,validation,180,0.9888888888888889,0.6083333333333333,0.0,0.0,0.0,0.0,178,876,1440,0,420,0,False,reused_existing,64.0,True,0.0
steer_immediate_minus32,validation,180,0.9666666666666667,0.5597222222222222,0.0,0.004761904761904762,0.011111111111111112,0.0,174,806,1440,2,420,0,False,reused_existing,-32.0,True,0.0
steer_long_term_plus32,validation,180,0.9611111111111111,0.60625,0.0,0.004761904761904762,0.005555555555555556,0.0,173,873,1440,2,420,0,False,reused_existing,32.0,True,0.0
steer_immediate_minus16,validation,180,0.9777777777777777,0.5833333333333334,0.0,0.007142857142857143,0.016666666666666666,0.0,176,840,1440,3,420,0,False,reused_existing,-16.0,True,0.0
steer_long_term_plus16,validation,180,0.9666666666666667,0.6020833333333333,0.0,0.009523809523809525,0.016666666666666666,0.0,174,867,1440,4,420,0,False,reused_existing,16.0,True,0.0
steer_immediate_minus8,validation,180,0.95,0.575,0.0,0.007142857142857143,0.011111111111111112,0.0,171,828,1440,3,420,0,False,reused_existing,-8.0,True,0.0
steer_long_term_plus8,validation,180,0.9611111111111111,0.5888888888888889,0.0,0.004761904761904762,0.011111111111111112,0.0,173,848,1440,2,420,0,False,computed_now,8.0,True,0.0
