condition,level,days,n_queries,Delivery Rate,Commonsense Constraint Micro Pass Rate,Commonsense Constraint Macro Pass Rate,Hard Constraint Micro Pass Rate,Hard Constraint Macro Pass Rate,Final Pass Rate
baseline,easy,3,20,0.9,0.63125,0.0,0.0,0.0,0.0
baseline,easy,5,20,1.0,0.59375,0.0,0.0,0.0,0.0
baseline,easy,7,20,1.0,0.58125,0.0,0.1,0.1,0.0
baseline,hard,3,20,0.85,0.55,0.0,0.0,0.0,0.0
baseline,hard,5,20,1.0,0.6125,0.0,0.0,0.0,0.0
baseline,hard,7,20,1.0,0.5375,0.0,0.0,0.0,0.0
baseline,medium,3,20,0.95,0.6375,0.0,0.0,0.0,0.0
baseline,medium,5,20,1.0,0.60625,0.0,0.0,0.0,0.0
baseline,medium,7,20,1.0,0.5375,0.0,0.0,0.0,0.0
steer_immediate_minus128,easy,3,20,1.0,0.5625,0.0,0.0,0.0,0.0
steer_immediate_minus128,easy,5,20,1.0,0.40625,0.0,0.0,0.0,0.0
steer_immediate_minus128,easy,7,20,1.0,0.3625,0.0,0.0,0.0,0.0
steer_immediate_minus128,hard,3,20,1.0,0.56875,0.0,0.0,0.0,0.0
steer_immediate_minus128,hard,5,20,1.0,0.4,0.0,0.0,0.0,0.0
steer_immediate_minus128,hard,7,20,1.0,0.36875,0.0,0.0,0.0,0.0
steer_immediate_minus128,medium,3,20,1.0,0.5,0.0,0.0,0.0,0.0
steer_immediate_minus128,medium,5,20,1.0,0.38125,0.0,0.0,0.0,0.0
steer_immediate_minus128,medium,7,20,1.0,0.3125,0.0,0.0,0.0,0.0
steer_long_term_plus128,easy,3,20,1.0,0.64375,0.0,0.0,0.0,0.0
steer_long_term_plus128,easy,5,20,1.0,0.54375,0.0,0.0,0.0,0.0
steer_long_term_plus128,easy,7,20,0.9,0.33125,0.0,0.0,0.0,0.0
steer_long_term_plus128,hard,3,20,1.0,0.59375,0.0,0.0,0.0,0.0
steer_long_term_plus128,hard,5,20,0.95,0.425,0.0,0.0,0.0,0.0
steer_long_term_plus128,hard,7,20,0.9,0.31875,0.0,0.0,0.0,0.0
steer_long_term_plus128,medium,3,20,1.0,0.5875,0.0,0.0,0.0,0.0
steer_long_term_plus128,medium,5,20,1.0,0.4875,0.0,0.0,0.0,0.0
steer_long_term_plus128,medium,7,20,0.9,0.35625,0.0,0.0,0.0,0.0
steer_immediate_minus91,easy,3,20,1.0,0.59375,0.0,0.0,0.0,0.0
steer_immediate_minus91,easy,5,20,1.0,0.4875,0.0,0.0,0.0,0.0
steer_immediate_minus91,easy,7,20,1.0,0.45,0.05,0.05,0.05,0.05
steer_immediate_minus91,hard,3,20,0.95,0.56875,0.0,0.0,0.0,0.0
steer_immediate_minus91,hard,5,20,1.0,0.4375,0.0,0.0,0.0,0.0
steer_immediate_minus91,hard,7,20,0.95,0.41875,0.0,0.0,0.0,0.0
steer_immediate_minus91,medium,3,20,1.0,0.6125,0.0,0.0,0.0,0.0
steer_immediate_minus91,medium,5,20,1.0,0.5125,0.0,0.0,0.0,0.0
steer_immediate_minus91,medium,7,20,1.0,0.4125,0.0,0.0,0.0,0.0
steer_long_term_plus91,easy,3,20,1.0,0.66875,0.0,0.0,0.0,0.0
steer_long_term_plus91,easy,5,20,1.0,0.60625,0.0,0.0,0.0,0.0
steer_long_term_plus91,easy,7,20,1.0,0.56875,0.0,0.0,0.0,0.0
steer_long_term_plus91,hard,3,20,1.0,0.6625,0.0,0.0,0.0,0.0
steer_long_term_plus91,hard,5,20,1.0,0.60625,0.0,0.0,0.0,0.0
steer_long_term_plus91,hard,7,20,1.0,0.53125,0.0,0.0,0.0,0.0
steer_long_term_plus91,medium,3,20,1.0,0.66875,0.0,0.0,0.0,0.0
steer_long_term_plus91,medium,5,20,1.0,0.60625,0.0,0.0,0.0,0.0
steer_long_term_plus91,medium,7,20,1.0,0.56875,0.0,0.0,0.0,0.0
steer_immediate_minus64,easy,3,20,0.85,0.525,0.0,0.0,0.0,0.0
steer_immediate_minus64,easy,5,20,1.0,0.54375,0.0,0.0,0.0,0.0
steer_immediate_minus64,easy,7,20,1.0,0.5125,0.0,0.0,0.0,0.0
steer_immediate_minus64,hard,3,20,0.95,0.58125,0.0,0.0,0.0,0.0
steer_immediate_minus64,hard,5,20,1.0,0.51875,0.0,0.0,0.0,0.0
steer_immediate_minus64,hard,7,20,1.0,0.525,0.0,0.025,0.0,0.0
steer_immediate_minus64,medium,3,20,1.0,0.6375,0.0,0.0,0.0,0.0
steer_immediate_minus64,medium,5,20,1.0,0.5375,0.0,0.0,0.0,0.0
steer_immediate_minus64,medium,7,20,1.0,0.475,0.0,0.0,0.0,0.0
steer_long_term_plus64,easy,3,20,0.95,0.6375,0.0,0.0,0.0,0.0
steer_long_term_plus64,easy,5,20,1.0,0.575,0.0,0.0,0.0,0.0
steer_long_term_plus64,easy,7,20,1.0,0.575,0.0,0.0,0.0,0.0
steer_long_term_plus64,hard,3,20,1.0,0.65625,0.0,0.0,0.0,0.0
steer_long_term_plus64,hard,5,20,1.0,0.63125,0.0,0.0,0.0,0.0
steer_long_term_plus64,hard,7,20,0.95,0.5375,0.0,0.0,0.0,0.0
steer_long_term_plus64,medium,3,20,1.0,0.70625,0.0,0.0,0.0,0.0
steer_long_term_plus64,medium,5,20,1.0,0.59375,0.0,0.0,0.0,0.0
steer_long_term_plus64,medium,7,20,1.0,0.5625,0.0,0.0,0.0,0.0
steer_immediate_minus32,easy,3,20,0.95,0.63125,0.0,0.0,0.0,0.0
steer_immediate_minus32,easy,5,20,1.0,0.59375,0.0,0.0,0.0,0.0
steer_immediate_minus32,easy,7,20,1.0,0.5625,0.0,0.1,0.1,0.0
steer_immediate_minus32,hard,3,20,0.8,0.5,0.0,0.0,0.0,0.0
steer_immediate_minus32,hard,5,20,1.0,0.56875,0.0,0.0,0.0,0.0
steer_immediate_minus32,hard,7,20,0.95,0.46875,0.0,0.0,0.0,0.0
steer_immediate_minus32,medium,3,20,1.0,0.64375,0.0,0.0,0.0,0.0
steer_immediate_minus32,medium,5,20,1.0,0.575,0.0,0.0,0.0,0.0
steer_immediate_minus32,medium,7,20,1.0,0.49375,0.0,0.0,0.0,0.0
steer_long_term_plus32,easy,3,20,0.9,0.61875,0.0,0.0,0.0,0.0
steer_long_term_plus32,easy,5,20,0.95,0.58125,0.0,0.0,0.0,0.0
steer_long_term_plus32,easy,7,20,0.95,0.55,0.0,0.05,0.05,0.0
steer_long_term_plus32,hard,3,20,0.85,0.5625,0.0,0.0,0.0,0.0
steer_long_term_plus32,hard,5,20,1.0,0.64375,0.0,0.0,0.0,0.0
steer_long_term_plus32,hard,7,20,1.0,0.5875,0.0,0.0,0.0,0.0
steer_long_term_plus32,medium,3,20,1.0,0.70625,0.0,0.0,0.0,0.0
steer_long_term_plus32,medium,5,20,1.0,0.63125,0.0,0.0,0.0,0.0
steer_long_term_plus32,medium,7,20,1.0,0.575,0.0,0.025,0.0,0.0
steer_immediate_minus16,easy,3,20,0.95,0.6375,0.0,0.0,0.0,0.0
steer_immediate_minus16,easy,5,20,1.0,0.5875,0.0,0.0,0.0,0.0
steer_immediate_minus16,easy,7,20,1.0,0.5625,0.0,0.15,0.15,0.0
steer_immediate_minus16,hard,3,20,0.9,0.58125,0.0,0.0,0.0,0.0
steer_immediate_minus16,hard,5,20,1.0,0.59375,0.0,0.0,0.0,0.0
steer_immediate_minus16,hard,7,20,1.0,0.54375,0.0,0.0,0.0,0.0
steer_immediate_minus16,medium,3,20,0.95,0.625,0.0,0.0,0.0,0.0
steer_immediate_minus16,medium,5,20,1.0,0.6125,0.0,0.0,0.0,0.0
steer_immediate_minus16,medium,7,20,1.0,0.50625,0.0,0.0,0.0,0.0
steer_long_term_plus16,easy,3,20,0.95,0.65,0.0,0.0,0.0,0.0
steer_long_term_plus16,easy,5,20,1.0,0.59375,0.0,0.0,0.0,0.0
steer_long_term_plus16,easy,7,20,1.0,0.5875,0.0,0.1,0.1,0.0
steer_long_term_plus16,hard,3,20,0.95,0.625,0.0,0.0,0.0,0.0
steer_long_term_plus16,hard,5,20,0.95,0.60625,0.0,0.0,0.0,0.0
steer_long_term_plus16,hard,7,20,1.0,0.5875,0.0,0.0,0.0,0.0
steer_long_term_plus16,medium,3,20,0.9,0.6125,0.0,0.0,0.0,0.0
steer_long_term_plus16,medium,5,20,0.95,0.60625,0.0,0.05,0.05,0.0
steer_long_term_plus16,medium,7,20,1.0,0.55,0.0,0.0,0.0,0.0
steer_immediate_minus8,easy,3,20,0.8,0.55625,0.0,0.0,0.0,0.0
steer_immediate_minus8,easy,5,20,1.0,0.6,0.0,0.0,0.0,0.0
steer_immediate_minus8,easy,7,20,1.0,0.56875,0.0,0.1,0.1,0.0
steer_immediate_minus8,hard,3,20,0.85,0.5625,0.0,0.0,0.0,0.0
steer_immediate_minus8,hard,5,20,1.0,0.6125,0.0,0.0125,0.0,0.0
steer_immediate_minus8,hard,7,20,1.0,0.5625,0.0,0.0,0.0,0.0
steer_immediate_minus8,medium,3,20,0.9,0.6,0.0,0.0,0.0,0.0
