train_regime,feature_name,vector_key,dataset,condition,layer,strength,signed_strength,n_prompts,reused,source_path
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,baseline,-1,0.0,0.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,14,2.0,2.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,14,2.0,-2.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,14,4.0,4.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,14,4.0,-4.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,14,8.0,8.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,14,8.0,-8.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,14,16.0,16.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,14,16.0,-16.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,14,32.0,32.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,14,32.0,-32.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,14,64.0,64.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,14,64.0,-64.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,14,128.0,128.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,14,128.0,-128.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,16,2.0,2.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,16,2.0,-2.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,16,4.0,4.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,16,4.0,-4.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,16,8.0,8.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,16,8.0,-8.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,16,16.0,16.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_immediate,16,16.0,-16.0,100,False,
explicit_train_only,mean_answer_tokens,mm_probe_vectors,explicit_test,steer_long_term,16,32.0,32.0,100,False,
