train_dataset,train_dataset_label,feature_name,train_domain,cross_domain,layer,train_size,explicit_train_question_count,explicit_test_question_count,implicit_train_question_count,implicit_test_question_count,whitener_cov_reg_condition_number,wmm_reg,mm_raw_norm,mm_vector_norm,wmm_raw_norm,wmm_vector_norm,lr_train_acc,lr_explicit_holdout_acc,lr_implicit_holdout_acc,lr_explicit_full_acc,lr_implicit_full_acc,lr_in_domain_holdout_acc,lr_cross_domain_holdout_acc,lr_in_domain_full_acc,lr_cross_domain_full_acc,wlr_train_acc,wlr_explicit_holdout_acc,wlr_implicit_holdout_acc,wlr_explicit_full_acc,wlr_implicit_full_acc,wlr_in_domain_holdout_acc,wlr_cross_domain_holdout_acc,wlr_in_domain_full_acc,wlr_cross_domain_full_acc,mm_train_acc,mm_explicit_holdout_acc,mm_implicit_holdout_acc,mm_explicit_full_acc,mm_implicit_full_acc,mm_in_domain_holdout_acc,mm_cross_domain_holdout_acc,mm_in_domain_full_acc,mm_cross_domain_full_acc,wmm_train_acc,wmm_explicit_holdout_acc,wmm_implicit_holdout_acc,wmm_explicit_full_acc,wmm_implicit_full_acc,wmm_in_domain_holdout_acc,wmm_cross_domain_holdout_acc,wmm_in_domain_full_acc,wmm_cross_domain_full_acc
implicit_train_only,implicit train only,last_answer_token,implicit,explicit,14,420,400,100,210,90,11254.645369967933,0.01,10.47616958618164,1.0,1.1408449411392212,1.0,1.0,0.805,0.9222222222222223,0.852,0.9766666666666667,0.9222222222222223,0.805,0.9766666666666667,0.852,1.0,0.86,0.8777777777777778,0.871,0.9633333333333334,0.8777777777777778,0.86,0.9633333333333334,0.871,0.8476190476190476,0.67,0.8388888888888889,0.684,0.845,0.8388888888888889,0.67,0.845,0.684,1.0,0.86,0.8777777777777778,0.873,0.9633333333333334,0.8777777777777778,0.86,0.9633333333333334,0.873
implicit_train_only,implicit train only,last_answer_token,implicit,explicit,16,420,400,100,210,90,12235.771315444163,0.01,11.356635093688965,1.0,1.0756703615188599,0.9999999403953552,1.0,0.815,0.9277777777777778,0.849,0.9783333333333334,0.9277777777777778,0.815,0.9783333333333334,0.849,1.0,0.835,0.8944444444444445,0.845,0.9683333333333334,0.8944444444444445,0.835,0.9683333333333334,0.845,0.8333333333333334,0.65,0.85,0.674,0.8383333333333334,0.85,0.65,0.8383333333333334,0.674,1.0,0.835,0.8944444444444445,0.845,0.9683333333333334,0.8944444444444445,0.835,0.9683333333333334,0.845
implicit_train_only,implicit train only,last_answer_token,implicit,explicit,18,420,400,100,210,90,12940.874678273329,0.01,12.479486465454102,1.0,0.9899720549583435,1.0,1.0,0.845,0.9555555555555556,0.873,0.9866666666666667,0.9555555555555556,0.845,0.9866666666666667,0.873,1.0,0.85,0.9333333333333333,0.867,0.98,0.9333333333333333,0.85,0.98,0.867,0.8261904761904761,0.66,0.8277777777777777,0.68,0.8266666666666667,0.8277777777777777,0.66,0.8266666666666667,0.68,1.0,0.85,0.9333333333333333,0.868,0.98,0.9333333333333333,0.85,0.98,0.868
implicit_train_only,implicit train only,last_answer_token,implicit,explicit,20,420,400,100,210,90,14350.102906260074,0.01,15.409215927124023,1.0,0.8303048014640808,0.9999999403953552,1.0,0.895,0.9555555555555556,0.9,0.9866666666666667,0.9555555555555556,0.895,0.9866666666666667,0.9,1.0,0.89,0.9277777777777778,0.889,0.9783333333333334,0.9277777777777778,0.89,0.9783333333333334,0.889,0.8166666666666667,0.69,0.8444444444444444,0.708,0.825,0.8444444444444444,0.69,0.825,0.708,1.0,0.89,0.9277777777777778,0.89,0.9783333333333334,0.9277777777777778,0.89,0.9783333333333334,0.89
implicit_train_only,implicit train only,last_answer_token,implicit,explicit,22,420,400,100,210,90,14879.965495816186,0.01,18.507585525512695,1.0,0.723755955696106,1.0,1.0,0.885,0.9611111111111111,0.901,0.9883333333333333,0.9611111111111111,0.885,0.9883333333333333,0.901,1.0,0.875,0.9166666666666666,0.889,0.975,0.9166666666666666,0.875,0.975,0.889,0.830952380952381,0.765,0.8833333333333333,0.766,0.8466666666666667,0.8833333333333333,0.765,0.8466666666666667,0.766,1.0,0.88,0.9222222222222223,0.892,0.9766666666666667,0.9222222222222223,0.88,0.9766666666666667,0.892
implicit_train_only,implicit train only,last_answer_token,implicit,explicit,24,420,400,100,210,90,13097.1139647719,0.01,25.620723724365234,1.0,0.5101619362831116,1.0,1.0,0.86,0.95,0.879,0.985,0.95,0.86,0.985,0.879,1.0,0.855,0.9111111111111111,0.865,0.9733333333333334,0.9111111111111111,0.855,0.9733333333333334,0.865,0.7880952380952381,0.67,0.7777777777777778,0.684,0.785,0.7777777777777778,0.67,0.785,0.684,1.0,0.855,0.9111111111111111,0.863,0.9733333333333334,0.9111111111111111,0.855,0.9733333333333334,0.863
implicit_train_only,implicit train only,last_answer_token,implicit,explicit,26,420,400,100,210,90,12299.311473901447,0.01,29.727964401245117,1.0,0.43302685022354126,0.9999999403953552,1.0,0.86,0.9666666666666667,0.874,0.99,0.9666666666666667,0.86,0.99,0.874,1.0,0.86,0.9333333333333333,0.853,0.98,0.9333333333333333,0.86,0.98,0.853,0.7071428571428572,0.625,0.7388888888888889,0.629,0.7166666666666667,0.7388888888888889,0.625,0.7166666666666667,0.629,1.0,0.86,0.9333333333333333,0.854,0.98,0.9333333333333333,0.86,0.98,0.854
implicit_train_only,implicit train only,last_answer_token,implicit,explicit,28,420,400,100,210,90,11007.353701070577,0.01,36.2089958190918,1.0,0.3417164981365204,1.0,1.0,0.835,0.9611111111111111,0.859,0.9883333333333333,0.9611111111111111,0.835,0.9883333333333333,0.859,1.0,0.855,0.9333333333333333,0.842,0.98,0.9333333333333333,0.855,0.98,0.842,0.7619047619047619,0.65,0.7666666666666667,0.67,0.7633333333333333,0.7666666666666667,0.65,0.7633333333333333,0.67,1.0,0.86,0.9333333333333333,0.844,0.98,0.9333333333333333,0.86,0.98,0.844
implicit_train_only,implicit train only,mean_answer_tokens,implicit,explicit,14,420,400,100,210,90,15722.83315396086,0.01,7.5914130210876465,1.0,1.7863824367523193,1.0,1.0,0.875,0.9777777777777777,0.886,0.9933333333333333,0.9777777777777777,0.875,0.9933333333333333,0.886,1.0,0.77,0.9666666666666667,0.81,0.99,0.9666666666666667,0.77,0.99,0.81,0.8714285714285714,0.73,0.8722222222222222,0.772,0.8716666666666667,0.8722222222222222,0.73,0.8716666666666667,0.772,1.0,0.77,0.9666666666666667,0.81,0.99,0.9666666666666667,0.77,0.99,0.81
implicit_train_only,implicit train only,mean_answer_tokens,implicit,explicit,16,420,400,100,210,90,16551.72955748758,0.01,7.935485363006592,1.0,1.7454150915145874,1.0,1.0,0.86,0.9833333333333333,0.872,0.995,0.9833333333333333,0.86,0.995,0.872,1.0,0.735,0.9555555555555556,0.73,0.9866666666666667,0.9555555555555556,0.735,0.9866666666666667,0.73,0.8214285714285714,0.7,0.8277777777777777,0.723,0.8233333333333334,0.8277777777777777,0.7,0.8233333333333334,0.723,1.0,0.735,0.9555555555555556,0.731,0.9866666666666667,0.9555555555555556,0.735,0.9866666666666667,0.731
implicit_train_only,implicit train only,mean_answer_tokens,implicit,explicit,18,420,400,100,210,90,16359.392806873084,0.01,8.616555213928223,1.0,1.5978953838348389,0.9999999403953552,1.0,0.86,0.9833333333333333,0.86,0.995,0.9833333333333333,0.86,0.995,0.86,1.0,0.755,0.9722222222222222,0.755,0.9916666666666667,0.9722222222222222,0.755,0.9916666666666667,0.755,0.7880952380952381,0.68,0.8055555555555556,0.69,0.7933333333333333,0.8055555555555556,0.68,0.7933333333333333,0.69,1.0,0.755,0.9722222222222222,0.755,0.9916666666666667,0.9722222222222222,0.755,0.9916666666666667,0.755
implicit_train_only,implicit train only,mean_answer_tokens,implicit,explicit,20,420,400,100,210,90,17024.381741916415,0.01,10.250113487243652,1.0,1.3970779180526733,1.0,1.0,0.855,0.9777777777777777,0.866,0.9933333333333333,0.9777777777777777,0.855,0.9933333333333333,0.866,1.0,0.79,0.9611111111111111,0.777,0.9883333333333333,0.9611111111111111,0.79,0.9883333333333333,0.777,0.7357142857142858,0.635,0.75,0.643,0.74,0.75,0.635,0.74,0.643,1.0,0.79,0.9611111111111111,0.778,0.9883333333333333,0.9611111111111111,0.79,0.9883333333333333,0.778
implicit_train_only,implicit train only,mean_answer_tokens,implicit,explicit,22,420,400,100,210,90,16299.784715546479,0.01,12.114248275756836,0.9999999403953552,1.1726099252700806,0.9999999403953552,1.0,0.85,0.9777777777777777,0.879,0.9933333333333333,0.9777777777777777,0.85,0.9933333333333333,0.879,1.0,0.83,0.95,0.822,0.985,0.95,0.83,0.985,0.822,0.7476190476190476,0.66,0.7555555555555555,0.683,0.75,0.7555555555555555,0.66,0.75,0.683,1.0,0.83,0.9555555555555556,0.823,0.9866666666666667,0.9555555555555556,0.83,0.9866666666666667,0.823
implicit_train_only,implicit train only,mean_answer_tokens,implicit,explicit,24,420,400,100,210,90,14473.681660533246,0.01,18.424970626831055,0.9999999403953552,0.7538183331489563,0.9999999403953552,1.0,0.84,0.9555555555555556,0.844,0.9866666666666667,0.9555555555555556,0.84,0.9866666666666667,0.844,1.0,0.79,0.9444444444444444,0.798,0.9833333333333333,0.9444444444444444,0.79,0.9833333333333333,0.798,0.6023809523809524,0.54,0.6055555555555555,0.549,0.6033333333333334,0.6055555555555555,0.54,0.6033333333333334,0.549,1.0,0.79,0.9444444444444444,0.799,0.9833333333333333,0.9444444444444444,0.79,0.9833333333333333,0.799
implicit_train_only,implicit train only,mean_answer_tokens,implicit,explicit,26,420,400,100,210,90,13833.852328527562,0.01,22.411697387695312,0.9999999403953552,0.5715255737304688,0.9999999403953552,1.0,0.835,0.9611111111111111,0.817,0.9883333333333333,0.9611111111111111,0.835,0.9883333333333333,0.817,1.0,0.795,0.9277777777777778,0.806,0.9783333333333334,0.9277777777777778,0.795,0.9783333333333334,0.806,0.5571428571428572,0.52,0.5666666666666667,0.52,0.56,0.5666666666666667,0.52,0.56,0.52,1.0,0.8,0.9333333333333333,0.805,0.98,0.9333333333333333,0.8,0.98,0.805
