dataset,probe_variant,condition,layer,strength,signed_strength,raw_vector_norm,steering_vector_norm,baseline_prop_choose_long_term,baseline_prop_choose_immediate,baseline_prop_choose_long_term_no_fallback,baseline_prop_choose_immediate_no_fallback,baseline_mean_long_minus_immediate_avg_logprob,baseline_prop_logprob_prefers_long_term,delta_long_term_vs_baseline,delta_immediate_vs_baseline,delta_long_term_vs_baseline_no_fallback,delta_immediate_vs_baseline_no_fallback,delta_long_minus_immediate_avg_logprob_vs_baseline,delta_prop_logprob_prefers_long_term_vs_baseline,steering_success,steering_success_no_fallback,n_prompts,n_no_fallback_prompts,prop_choose_long_term,prop_choose_immediate,prop_choose_long_term_no_fallback,prop_choose_immediate_no_fallback,fallback_rate,direct_parse_rate,mean_long_minus_immediate_avg_logprob,mean_long_minus_immediate_sum_logprob,prop_logprob_prefers_long_term
explicit_test,baseline,baseline,-1,0.0,0.0,,,0.64,0.36,0.7058823529411765,0.29411764705882354,0.6896443939208985,0.57,0.0,0.0,0.0,0.0,0.0,0.0,,,100,85,0.64,0.36,0.7058823529411765,0.29411764705882354,0.15,0.85,0.6896443939208985,0.381819953918457,0.57
implicit_full,baseline,baseline,-1,0.0,0.0,,,0.5866666666666667,0.41333333333333333,0.605072463768116,0.39492753623188404,0.1978732903798421,0.6,0.0,0.0,0.0,0.0,0.0,0.0,,,300,276,0.5866666666666667,0.41333333333333333,0.605072463768116,0.39492753623188404,0.08,0.92,0.1978732903798421,0.8581464258829753,0.6
explicit_test,mm,steer_long_term,10,2.0,2.0,8.77165412902832,0.9999999403953552,0.64,0.36,0.7058823529411765,0.29411764705882354,0.6896443939208985,0.57,0.0,0.0,0.04095309009679815,-0.040953090096798206,-0.003926508426666309,0.0,0.64,0.7468354430379747,100,79,0.64,0.36,0.7468354430379747,0.25316455696202533,0.21,0.79,0.6857178854942322,0.3785091972351074,0.57
explicit_test,mm,steer_immediate,10,2.0,-2.0,8.77165412902832,0.9999999403953552,0.64,0.36,0.7058823529411765,0.29411764705882354,0.6896443939208985,0.57,0.0,0.0,0.01700921332388372,-0.017009213323883776,-0.0017628479003907183,0.0,0.36,0.27710843373493976,100,83,0.64,0.36,0.7228915662650602,0.27710843373493976,0.17,0.83,0.6878815460205078,0.36858238220214845,0.57
explicit_test,mm,steer_long_term,10,4.0,4.0,8.77165412902832,0.9999999403953552,0.64,0.36,0.7058823529411765,0.29411764705882354,0.6896443939208985,0.57,0.010000000000000009,-0.010000000000000009,0.05661764705882344,-0.05661764705882355,-0.011082739830017174,0.0,0.65,0.7625,100,80,0.65,0.35,0.7625,0.2375,0.2,0.8,0.6785616540908813,0.3667846488952637,0.57
explicit_test,mm,steer_immediate,10,4.0,-4.0,8.77165412902832,0.9999999403953552,0.64,0.36,0.7058823529411765,0.29411764705882354,0.6896443939208985,0.57,-0.010000000000000009,0.010000000000000009,0.02251270878721856,-0.022512708787218616,-0.011000268459320117,0.0,0.37,0.2716049382716049,100,81,0.63,0.37,0.7283950617283951,0.2716049382716049,0.19,0.81,0.6786441254615784,0.33340595245361326,0.57
explicit_test,mm,steer_long_term,10,8.0,8.0,8.77165412902832,0.9999999403953552,0.64,0.36,0.7058823529411765,0.29411764705882354,0.6896443939208985,0.57,0.030000000000000027,-0.02999999999999997,0.08161764705882346,-0.08161764705882354,-0.025083634853363068,-0.009999999999999898,0.67,0.7875,100,80,0.67,0.33,0.7875,0.2125,0.2,0.8,0.6645607590675354,0.3496617889404297,0.56
explicit_test,mm,steer_immediate,10,8.0,-8.0,8.77165412902832,0.9999999403953552,0.64,0.36,0.7058823529411765,0.29411764705882354,0.6896443939208985,0.57,0.020000000000000018,-0.019999999999999962,0.026675786593707174,-0.026675786593707285,-0.049001150131225635,0.0,0.34,0.26744186046511625,100,86,0.66,0.34,0.7325581395348837,0.26744186046511625,0.14,0.86,0.6406432437896729,0.20402864456176759,0.57
explicit_test,mm,steer_long_term,10,16.0,16.0,8.77165412902832,0.9999999403953552,0.64,0.36,0.7058823529411765,0.29411764705882354,0.6896443939208985,0.57,0.06999999999999995,-0.07,0.1252864782276547,-0.1252864782276547,-0.031247179508209322,-0.009999999999999898,0.71,0.8311688311688312,100,77,0.71,0.29,0.8311688311688312,0.16883116883116883,0.23,0.77,0.6583972144126892,0.3768164253234863,0.56
explicit_test,mm,steer_immediate,10,16.0,-16.0,8.77165412902832,0.9999999403953552,0.64,0.36,0.7058823529411765,0.29411764705882354,0.6896443939208985,0.57,-0.050000000000000044,0.04999999999999999,-0.06543291473892932,0.06543291473892926,-0.13704324483871466,0.0,0.41,0.3595505617977528,100,89,0.59,0.41,0.6404494382022472,0.3595505617977528,0.11,0.89,0.5526011490821838,-0.06830766677856445,0.57
explicit_test,mm,steer_long_term,10,32.0,32.0,8.77165412902832,0.9999999403953552,0.64,0.36,0.7058823529411765,0.29411764705882354,0.6896443939208985,0.57,0.0,0.0,0.2171945701357466,-0.2171945701357466,0.21433006286621092,0.030000000000000027,0.64,0.9230769230769231,100,39,0.64,0.36,0.9230769230769231,0.07692307692307693,0.61,0.39,0.9039744567871094,1.333671703338623,0.6
explicit_test,mm,steer_immediate,10,32.0,-32.0,8.77165412902832,0.9999999403953552,0.64,0.36,0.7058823529411765,0.29411764705882354,0.6896443939208985,0.57,-0.2,0.20000000000000007,-0.3152573529411765,0.31525735294117646,-0.12047130465507516,0.0,0.56,0.609375,100,64,0.44,0.56,0.390625,0.609375,0.36,0.64,0.5691730892658233,0.07453561782836914,0.57
explicit_test,mm,steer_long_term,14,2.0,2.0,10.132462501525879,0.9999999403953552,0.64,0.36,0.7058823529411765,0.29411764705882354,0.6896443939208985,0.57,0.0,0.0,0.03485838779956418,-0.034858387799564294,-0.002487487792968812,0.0,0.64,0.7407407407407407,100,81,0.64,0.36,0.7407407407407407,0.25925925925925924,0.19,0.81,0.6871569061279297,0.37450084686279295,0.57
explicit_test,mm,steer_immediate,14,2.0,-2.0,10.132462501525879,0.9999999403953552,0.64,0.36,0.7058823529411765,0.29411764705882354,0.6896443939208985,0.57,0.0,0.0,0.0258249641319942,-0.025824964131994255,0.005034642219543417,-0.009999999999999898,0.36,0.2682926829268293,100,82,0.64,0.36,0.7317073170731707,0.2682926829268293,0.18,0.82,0.6946790361404419,0.3958855056762695,0.56
explicit_test,mm,steer_long_term,14,4.0,4.0,10.132462501525879,0.9999999403953552,0.64,0.36,0.7058823529411765,0.29411764705882354,0.6896443939208985,0.57,0.020000000000000018,-0.019999999999999962,0.050215208034433245,-0.0502152080344333,-0.0038818597793579546,0.0,0.66,0.7560975609756098,100,82,0.66,0.34,0.7560975609756098,0.24390243902439024,0.18,0.82,0.6857625341415405,0.3737300682067871,0.57
explicit_test,mm,steer_immediate,14,4.0,-4.0,10.132462501525879,0.9999999403953552,0.64,0.36,0.7058823529411765,0.29411764705882354,0.6896443939208985,0.57,0.0,0.0,0.0258249641319942,-0.025824964131994255,0.011280763149261408,0.0,0.36,0.2682926829268293,100,82,0.64,0.36,0.7317073170731707,0.2682926829268293,0.18,0.82,0.7009251570701599,0.4150588607788086,0.57
explicit_test,mm,steer_long_term,14,8.0,8.0,10.132462501525879,0.9999999403953552,0.64,0.36,0.7058823529411765,0.29411764705882354,0.6896443939208985,0.57,0.040000000000000036,-0.03999999999999998,0.10424422933730448,-0.10424422933730454,0.005729546546936026,0.0,0.68,0.810126582278481,100,79,0.68,0.32,0.810126582278481,0.189873417721519,0.21,0.79,0.6953739404678345,0.4150830078125,0.57
explicit_test,mm,steer_immediate,14,8.0,-8.0,10.132462501525879,0.9999999403953552,0.64,0.36,0.7058823529411765,0.29411764705882354,0.6896443939208985,0.57,-0.06000000000000005,0.06,-0.055279943302622314,0.05527994330262226,0.025471456050872754,0.0,0.42,0.3493975903614458,100,83,0.58,0.42,0.6506024096385542,0.3493975903614458,0.17,0.83,0.7151158499717712,0.4631488609313965,0.57
explicit_test,mm,steer_long_term,14,16.0,16.0,10.132462501525879,0.9999999403953552,0.64,0.36,0.7058823529411765,0.29411764705882354,0.6896443939208985,0.57,0.05999999999999994,-0.06,0.10424422933730448,-0.10424422933730454,0.05624462127685537,0.0,0.7,0.810126582278481,100,79,0.7,0.3,0.810126582278481,0.189873417721519,0.21,0.79,0.7458890151977539,0.6422384452819824,0.57
explicit_test,mm,steer_immediate,14,16.0,-16.0,10.132462501525879,0.9999999403953552,0.64,0.36,0.7058823529411765,0.29411764705882354,0.6896443939208985,0.57,-0.09999999999999998,0.10000000000000003,-0.1359898798228969,0.1359898798228969,0.03804231166839589,0.0,0.46,0.43010752688172044,100,93,0.54,0.46,0.5698924731182796,0.43010752688172044,0.07,0.93,0.7276867055892944,0.49539161682128907,0.57
explicit_test,mm,steer_long_term,14,32.0,32.0,10.132462501525879,0.9999999403953552,0.64,0.36,0.7058823529411765,0.29411764705882354,0.6896443939208985,0.57,-0.030000000000000027,0.030000000000000027,0.1869747899159664,-0.1869747899159664,0.1825798034667968,0.050000000000000044,0.61,0.8928571428571429,100,28,0.61,0.39,0.8928571428571429,0.10714285714285714,0.72,0.28,0.8722241973876953,1.4086410331726074,0.62
explicit_test,mm,steer_immediate,14,32.0,-32.0,10.132462501525879,0.9999999403953552,0.64,0.36,0.7058823529411765,0.29411764705882354,0.6896443939208985,0.57,-0.17000000000000004,0.17000000000000004,-0.3199174406604748,0.31991744066047473,-0.20747773528099067,0.0,0.53,0.6140350877192983,100,57,0.47,0.53,0.38596491228070173,0.6140350877192983,0.43,0.57,0.4821666586399078,-0.18222752571105957,0.57
explicit_test,mm,steer_long_term,18,2.0,2.0,11.991506576538086,0.9999999403953552,0.64,0.36,0.7058823529411765,0.29411764705882354,0.6896443939208985,0.57,0.010000000000000009,-0.010000000000000009,0.04110559886605236,-0.04110559886605247,0.006314096450805606,0.0,0.65,0.7469879518072289,100,83,0.65,0.35,0.7469879518072289,0.25301204819277107,0.17,0.83,0.6959584903717041,0.4028569412231445,0.57
explicit_test,mm,steer_immediate,18,2.0,-2.0,11.991506576538086,0.9999999403953552,0.64,0.36,0.7058823529411765,0.29411764705882354,0.6896443939208985,0.57,-0.020000000000000018,0.020000000000000018,-0.01176470588235301,0.011764705882352955,-0.005440046787262065,-0.009999999999999898,0.38,0.3058823529411765,100,85,0.62,0.38,0.6941176470588235,0.3058823529411765,0.15,0.85,0.6842043471336364,0.36277963638305666,0.56
explicit_test,mm,steer_long_term,18,4.0,4.0,11.991506576538086,0.9999999403953552,0.64,0.36,0.7058823529411765,0.29411764705882354,0.6896443939208985,0.57,0.040000000000000036,-0.03999999999999998,0.06520198440822111,-0.06520198440822114,0.014244501590728653,0.0,0.68,0.7710843373493976,100,83,0.68,0.32,0.7710843373493976,0.2289156626506024,0.17,0.83,0.7038888955116271,0.4297190284729004,0.57
explicit_test,mm,steer_immediate,18,4.0,-4.0,11.991506576538086,0.9999999403953552,0.64,0.36,0.7058823529411765,0.29411764705882354,0.6896443939208985,0.57,-0.07000000000000006,0.07,-0.04734576757532283,0.04734576757532283,-0.010153510570526159,-0.009999999999999898,0.43,0.34146341463414637,100,82,0.57,0.43,0.6585365853658537,0.34146341463414637,0.18,0.82,0.6794908833503723,0.3450791549682617,0.56
explicit_test,mm,steer_long_term,18,8.0,8.0,11.991506576538086,0.9999999403953552,0.64,0.36,0.7058823529411765,0.29411764705882354,0.6896443939208985,0.57,0.06999999999999995,-0.07,0.0964432284541723,-0.09644322845417239,0.034051837921142525,0.0,0.71,0.8023255813953488,100,86,0.71,0.29,0.8023255813953488,0.19767441860465115,0.14,0.86,0.723696231842041,0.4924046516418457,0.57
explicit_test,mm,steer_immediate,18,8.0,-8.0,11.991506576538086,0.9999999403953552,0.64,0.36,0.7058823529411765,0.29411764705882354,0.6896443939208985,0.57,-0.09999999999999998,0.10000000000000003,-0.09411764705882353,0.09411764705882353,-0.021882500648498615,0.0,0.46,0.38823529411764707,100,85,0.54,0.46,0.611764705882353,0.38823529411764707,0.15,0.85,0.6677618932723999,0.30031867980957033,0.57
explicit_test,mm,steer_long_term,18,16.0,16.0,11.991506576538086,0.9999999403953552,0.64,0.36,0.7058823529411765,0.29411764705882354,0.6896443939208985,0.57,0.18999999999999995,-0.18999999999999997,0.22515212981744415,-0.22515212981744423,0.06852408647537223,0.0,0.83,0.9310344827586207,100,87,0.83,0.17,0.9310344827586207,0.06896551724137931,0.13,0.87,0.7581684803962707,0.6060250663757324,0.57
explicit_test,mm,steer_immediate,18,16.0,-16.0,11.991506576538086,0.9999999403953552,0.64,0.36,0.7058823529411765,0.29411764705882354,0.6896443939208985,0.57,-0.24,0.24,-0.25350140056022413,0.25350140056022413,-0.06986046075820929,-0.019999999999999907,0.6,0.5476190476190477,100,84,0.4,0.6,0.4523809523809524,0.5476190476190477,0.16,0.84,0.6197839331626892,0.13107845306396484,0.55
explicit_test,mm,steer_long_term,18,32.0,32.0,11.991506576538086,0.9999999403953552,0.64,0.36,0.7058823529411765,0.29411764705882354,0.6896443939208985,0.57,0.18999999999999995,-0.18999999999999997,0.22435020519835835,-0.2243502051983584,0.1829613661766052,0.040000000000000036,0.83,0.9302325581395349,100,86,0.83,0.17,0.9302325581395349,0.06976744186046512,0.14,0.86,0.8726057600975037,1.055787296295166,0.61
explicit_test,mm,steer_immediate,18,32.0,-32.0,11.991506576538086,0.9999999403953552,0.64,0.36,0.7058823529411765,0.29411764705882354,0.6896443939208985,0.57,-0.3,0.30000000000000004,-0.33378932968536257,0.3337893296853625,-0.1928175520896912,-0.019999999999999907,0.66,0.627906976744186,100,86,0.34,0.66,0.37209302325581395,0.627906976744186,0.14,0.86,0.4968268418312073,-0.21210999488830568,0.55
explicit_test,mm,steer_long_term,22,2.0,2.0,20.724382400512695,1.0,0.64,0.36,0.7058823529411765,0.29411764705882354,0.6896443939208985,0.57,0.030000000000000027,-0.02999999999999997,0.03830369357045138,-0.038303693570451436,0.021596159934997528,0.0,0.67,0.7441860465116279,100,86,0.67,0.33,0.7441860465116279,0.2558139534883721,0.14,0.86,0.711240553855896,0.47164445877075195,0.57
