train_dataset,figure_type,path
explicit_train_only,last_answer_token,/Users/michalmraz/code/spar-ai/temporal-awareness/results/qwen_question_only_probe_variations_vast/20260408-093208/replots_from_notebook/explicit_train_only_last_answer_token_replot.png
explicit_train_only,mean_answer_tokens,/Users/michalmraz/code/spar-ai/temporal-awareness/results/qwen_question_only_probe_variations_vast/20260408-093208/replots_from_notebook/explicit_train_only_mean_answer_tokens_replot.png
explicit_train_only,comparison,/Users/michalmraz/code/spar-ai/temporal-awareness/results/qwen_question_only_probe_variations_vast/20260408-093208/replots_from_notebook/explicit_train_only_comparison_replot.png
explicit_train_plus_redteam_20260322-090107,last_answer_token,/Users/michalmraz/code/spar-ai/temporal-awareness/results/qwen_question_only_probe_variations_vast/20260408-093208/replots_from_notebook/explicit_train_plus_redteam_20260322-090107_last_answer_token_replot.png
explicit_train_plus_redteam_20260322-090107,mean_answer_tokens,/Users/michalmraz/code/spar-ai/temporal-awareness/results/qwen_question_only_probe_variations_vast/20260408-093208/replots_from_notebook/explicit_train_plus_redteam_20260322-090107_mean_answer_tokens_replot.png
explicit_train_plus_redteam_20260322-090107,comparison,/Users/michalmraz/code/spar-ai/temporal-awareness/results/qwen_question_only_probe_variations_vast/20260408-093208/replots_from_notebook/explicit_train_plus_redteam_20260322-090107_comparison_replot.png
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,last_answer_token,/Users/michalmraz/code/spar-ai/temporal-awareness/results/qwen_question_only_probe_variations_vast/20260408-093208/replots_from_notebook/explicit_train_plus_redteam_20260322-090107_plus_20260403-183445_last_answer_token_replot.png
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,mean_answer_tokens,/Users/michalmraz/code/spar-ai/temporal-awareness/results/qwen_question_only_probe_variations_vast/20260408-093208/replots_from_notebook/explicit_train_plus_redteam_20260322-090107_plus_20260403-183445_mean_answer_tokens_replot.png
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,comparison,/Users/michalmraz/code/spar-ai/temporal-awareness/results/qwen_question_only_probe_variations_vast/20260408-093208/replots_from_notebook/explicit_train_plus_redteam_20260322-090107_plus_20260403-183445_comparison_replot.png
all,mean_training_comparison,/Users/michalmraz/code/spar-ai/temporal-awareness/results/qwen_question_only_probe_variations_vast/20260408-093208/replots_from_notebook/mean_training_comparison_replot.png
