train_dataset,figure_type,path
explicit_train_only,last_answer_token,/content/drive/MyDrive/spar-ai-temporal-activations-experiments-results/qwen_question_options_answer_probe_variations_colab/20260405-185421/explicit_train_only_last_answer_token_20260405-185421.png
explicit_train_only,mean_answer_tokens,/content/drive/MyDrive/spar-ai-temporal-activations-experiments-results/qwen_question_options_answer_probe_variations_colab/20260405-185421/explicit_train_only_mean_answer_tokens_20260405-185421.png
explicit_train_only,comparison,/content/drive/MyDrive/spar-ai-temporal-activations-experiments-results/qwen_question_options_answer_probe_variations_colab/20260405-185421/explicit_train_only_comparison_20260405-185421.png
explicit_train_plus_redteam_20260322-090107,last_answer_token,/content/drive/MyDrive/spar-ai-temporal-activations-experiments-results/qwen_question_options_answer_probe_variations_colab/20260405-185421/explicit_train_plus_redteam_20260322-090107_last_answer_token_20260405-185421.png
explicit_train_plus_redteam_20260322-090107,mean_answer_tokens,/content/drive/MyDrive/spar-ai-temporal-activations-experiments-results/qwen_question_options_answer_probe_variations_colab/20260405-185421/explicit_train_plus_redteam_20260322-090107_mean_answer_tokens_20260405-185421.png
explicit_train_plus_redteam_20260322-090107,comparison,/content/drive/MyDrive/spar-ai-temporal-activations-experiments-results/qwen_question_options_answer_probe_variations_colab/20260405-185421/explicit_train_plus_redteam_20260322-090107_comparison_20260405-185421.png
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,last_answer_token,/content/drive/MyDrive/spar-ai-temporal-activations-experiments-results/qwen_question_options_answer_probe_variations_colab/20260405-185421/explicit_train_plus_redteam_20260322-090107_plus_20260403-183445_last_answer_token_20260405-185421.png
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,mean_answer_tokens,/content/drive/MyDrive/spar-ai-temporal-activations-experiments-results/qwen_question_options_answer_probe_variations_colab/20260405-185421/explicit_train_plus_redteam_20260322-090107_plus_20260403-183445_mean_answer_tokens_20260405-185421.png
explicit_train_plus_redteam_20260322-090107_plus_20260403-183445,comparison,/content/drive/MyDrive/spar-ai-temporal-activations-experiments-results/qwen_question_options_answer_probe_variations_colab/20260405-185421/explicit_train_plus_redteam_20260322-090107_plus_20260403-183445_comparison_20260405-185421.png
all,mean_training_comparison,/content/drive/MyDrive/spar-ai-temporal-activations-experiments-results/qwen_question_options_answer_probe_variations_colab/20260405-185421/mean_training_comparison_20260405-185421.png
