train_dataset,train_dataset_label,feature_name,layer,base_train_size,extra_train_size,train_size,lr_train_acc,lr_explicit_test_acc,lr_implicit_acc,wlr_train_acc,wlr_explicit_test_acc,wlr_implicit_acc,mm_train_acc,mm_explicit_test_acc,mm_implicit_acc,wmm_train_acc,wmm_explicit_test_acc,wmm_implicit_acc,whitener_cov_reg_condition_number,wmm_reg,mm_raw_norm,mm_steering_norm,wmm_raw_norm,wmm_steering_norm
explicit_train_only,explicit train only,last_answer_token,10,800,0,800,1.0,0.98,0.7633333333333333,1.0,0.98,0.7283333333333334,0.90125,0.9,0.7116666666666667,1.0,0.98,0.73,28957.14751283755,0.01,11.72935676574707,1.0,1.9923344850540161,1.0
explicit_train_only,explicit train only,last_answer_token,14,800,0,800,1.0,0.995,0.8483333333333334,1.0,1.0,0.8366666666666667,0.94875,0.96,0.78,1.0,1.0,0.8416666666666667,29427.865997135177,0.01,12.968173027038574,1.0,1.6125890016555786,0.9999999403953552
explicit_train_only,explicit train only,last_answer_token,18,800,0,800,1.0,1.0,0.9166666666666666,1.0,1.0,0.9116666666666666,0.94875,0.96,0.7166666666666667,1.0,1.0,0.9116666666666666,29427.64877611849,0.01,15.075066566467285,1.0,1.1507892608642578,0.9999998807907104
explicit_train_only,explicit train only,last_answer_token,22,800,0,800,1.0,1.0,0.9483333333333334,1.0,1.0,0.8716666666666667,0.9125,0.935,0.6666666666666666,1.0,1.0,0.875,28116.67425939247,0.01,24.32651710510254,0.9999999403953552,0.7295708060264587,1.0
explicit_train_only,explicit train only,last_answer_token,26,800,0,800,1.0,1.0,0.9383333333333334,1.0,1.0,0.8966666666666666,0.84375,0.855,0.6733333333333333,1.0,1.0,0.9033333333333333,37738.320703940706,0.01,36.37617111206055,1.0000001192092896,0.56216961145401,0.9999999403953552
explicit_train_only,explicit train only,mean_answer_tokens,10,800,0,800,1.0,0.99,0.8233333333333334,1.0,0.975,0.6566666666666666,0.9725,0.98,0.79,1.0,0.975,0.6666666666666666,18990.861464056867,0.01,8.77165412902832,0.9999999403953552,2.4857845306396484,0.9999999403953552
explicit_train_only,explicit train only,mean_answer_tokens,14,800,0,800,1.0,0.99,0.8533333333333334,1.0,0.99,0.79,0.99125,0.97,0.81,1.0,0.99,0.8016666666666666,20852.569753104624,0.01,10.132462501525879,0.9999999403953552,2.2916862964630127,0.9999999403953552
explicit_train_only,explicit train only,mean_answer_tokens,18,800,0,800,1.0,0.995,0.9233333333333333,1.0,0.99,0.7183333333333334,0.9925,0.98,0.75,1.0,0.985,0.735,20696.847331562887,0.01,11.991506576538086,0.9999999403953552,1.7416417598724365,0.9999999403953552
explicit_train_only,explicit train only,mean_answer_tokens,22,800,0,800,1.0,0.995,0.9233333333333333,1.0,0.99,0.8366666666666667,0.98375,0.97,0.675,1.0,0.99,0.8383333333333334,27765.759808204268,0.01,20.724382400512695,1.0,1.1938868761062622,0.9999999403953552
explicit_train_only,explicit train only,mean_answer_tokens,26,800,0,800,1.0,0.995,0.875,1.0,0.99,0.6716666666666666,0.9825,0.98,0.8833333333333333,1.0,0.995,0.7216666666666667,24491.619482440467,0.01,33.30769348144531,1.0,0.7519896626472473,1.0
