mode,session,position,context_fill,subject,gold,pred,correct
random,0,0,0.0107,logical_fallacies,D,D,True
random,0,1,0.0286,world_religions,A,A,True
random,0,2,0.0452,high_school_geography,B,B,True
random,0,3,0.0671,college_mathematics,D,D,True
random,0,4,0.1018,professional_medicine,D,D,True
random,0,5,0.1345,professional_law,B,C,False
random,0,6,0.1687,high_school_microeconomics,D,B,False
random,0,7,0.1909,professional_medicine,A,D,False
random,0,8,0.2266,public_relations,B,B,True
random,0,9,0.2402,high_school_geography,B,A,False
random,0,10,0.259,professional_law,A,B,False
random,0,11,0.3176,high_school_us_history,B,B,True
random,0,12,0.4092,marketing,A,C,False
random,0,13,0.4297,professional_law,B,C,False
random,0,14,0.5032,high_school_computer_science,A,A,True
random,0,15,0.543,high_school_government_and_politics,D,D,True
random,0,16,0.5674,professional_psychology,A,D,False
random,0,17,0.5959,high_school_psychology,D,C,False
random,0,18,0.6206,prehistory,A,D,False
random,0,19,0.6409,professional_medicine,A,A,True
random,0,20,0.6777,astronomy,C,C,True
random,0,21,0.7048,professional_psychology,A,D,False
random,0,22,0.7332,moral_scenarios,B,A,False
random,0,23,0.7649,public_relations,B,B,True
random,0,24,0.7878,high_school_world_history,B,B,True
random,0,25,0.8872,high_school_macroeconomics,D,B,False
random,0,26,0.9048,philosophy,B,A,False
random,0,27,0.9243,miscellaneous,D,D,True
random,1,0,0.0107,high_school_microeconomics,D,A,False
random,1,1,0.0408,high_school_government_and_politics,C,C,True
random,1,2,0.062,professional_psychology,C,A,False
random,1,3,0.0886,miscellaneous,B,D,False
random,1,4,0.1062,conceptual_physics,D,D,True
random,1,5,0.124,clinical_knowledge,A,A,True
random,1,6,0.1582,high_school_mathematics,C,B,False
random,1,7,0.1855,elementary_mathematics,D,A,False
random,1,8,0.1997,medical_genetics,A,B,False
random,1,9,0.2163,marketing,A,A,True
random,1,10,0.2332,professional_law,B,C,False
random,1,11,0.2705,miscellaneous,C,C,True
random,1,12,0.2874,clinical_knowledge,B,B,True
random,1,13,0.3132,moral_disputes,B,A,False
random,1,14,0.3406,nutrition,C,A,False
random,1,15,0.3667,sociology,B,A,False
random,1,16,0.3984,professional_law,B,A,False
random,1,17,0.5017,miscellaneous,C,C,True
random,1,18,0.5176,professional_law,D,A,False
random,1,19,0.5703,conceptual_physics,B,B,True
random,1,20,0.5908,astronomy,A,A,True
random,1,21,0.6108,miscellaneous,A,A,True
random,1,22,0.6265,high_school_physics,A,D,False
random,1,23,0.6621,astronomy,D,D,True
random,1,24,0.6819,professional_psychology,A,A,True
