layer,artifact_type,probe_type,feature_space,json_path,array_path
0,probe,logistic_regression,raw,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_lr_probe_layer_0.json,
0,probe,logistic_regression,whitened,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_wlr_probe_layer_0.json,
0,probe,mean_mass,raw,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_mm_probe_layer_0.json,
0,probe,mean_mass,whitened,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_wmm_probe_layer_0.json,
0,whitener,shared_whitener,raw_to_whitened,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_whitener_layer_0.json,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_whitener_layer_0.npz
1,probe,logistic_regression,raw,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_lr_probe_layer_1.json,
1,probe,logistic_regression,whitened,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_wlr_probe_layer_1.json,
1,probe,mean_mass,raw,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_mm_probe_layer_1.json,
1,probe,mean_mass,whitened,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_wmm_probe_layer_1.json,
1,whitener,shared_whitener,raw_to_whitened,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_whitener_layer_1.json,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_whitener_layer_1.npz
2,probe,logistic_regression,raw,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_lr_probe_layer_2.json,
2,probe,logistic_regression,whitened,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_wlr_probe_layer_2.json,
2,probe,mean_mass,raw,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_mm_probe_layer_2.json,
2,probe,mean_mass,whitened,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_wmm_probe_layer_2.json,
2,whitener,shared_whitener,raw_to_whitened,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_whitener_layer_2.json,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_whitener_layer_2.npz
3,probe,logistic_regression,raw,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_lr_probe_layer_3.json,
3,probe,logistic_regression,whitened,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_wlr_probe_layer_3.json,
3,probe,mean_mass,raw,results/checkpoints/mmraz_probe_variations_base_choices_single_option_last_token/mmraz_gpt2_base_choices_last_token_mm_probe_layer_3.json,
