layer,train_dataset,lr_train_acc,lr_explicit_test_acc,lr_implicit_acc,lr_red_team_acc,wlr_train_acc,wlr_explicit_test_acc,wlr_implicit_acc,wlr_red_team_acc,mm_train_acc,mm_explicit_test_acc,mm_implicit_acc,mm_red_team_acc,mm_direction_norm,wmm_train_acc,wmm_explicit_test_acc,wmm_implicit_acc,wmm_red_team_acc,wmm_probe_direction_norm,whitener_reg,whitener_cov_reg_condition_number
0,base_explicit_plus_redteam,1.0,0.8,0.69,1.0,1.0,0.7,0.67,1.0,0.8185185185185185,0.85,0.7,0.8736842105263158,3.9249372482299805,1.0,0.7,0.7,1.0,1.9856399297714233,0.01,23343.434084121698
1,base_explicit_plus_redteam,1.0,0.9,0.69,1.0,1.0,0.8,0.69,1.0,0.8333333333333334,0.65,0.56,0.9315789473684211,4.521888256072998,1.0,0.75,0.69,1.0,1.9865591526031494,0.01,22706.943235040093
2,base_explicit_plus_redteam,1.0,0.9,0.65,1.0,1.0,0.8,0.66,1.0,0.8148148148148148,0.55,0.52,0.9157894736842105,5.305404186248779,1.0,0.8,0.65,1.0,1.9864455461502075,0.01,22087.47731839886
3,base_explicit_plus_redteam,1.0,0.85,0.7,1.0,1.0,0.85,0.64,1.0,0.8518518518518519,0.9,0.71,0.8842105263157894,6.330467224121094,1.0,0.85,0.65,1.0,1.9875056743621826,0.01,22664.82074094419
4,base_explicit_plus_redteam,1.0,0.9,0.72,1.0,1.0,0.95,0.67,1.0,0.8185185185185185,0.6,0.56,0.9157894736842105,7.140822887420654,1.0,0.95,0.67,1.0,1.9890185594558716,0.01,22082.149817881967
5,base_explicit_plus_redteam,1.0,0.8,0.67,1.0,1.0,0.85,0.66,1.0,0.8592592592592593,0.9,0.71,0.9,8.471503257751465,1.0,0.85,0.66,1.0,1.9887346029281616,0.01,23841.075893339435
6,base_explicit_plus_redteam,1.0,0.8,0.66,1.0,1.0,0.9,0.6,1.0,0.7555555555555555,0.5,0.51,0.8631578947368421,10.453290939331055,1.0,0.9,0.63,1.0,1.9893115758895874,0.01,24853.60977339175
7,base_explicit_plus_redteam,1.0,0.8,0.61,1.0,1.0,0.75,0.66,1.0,0.7888888888888889,0.7,0.59,0.8736842105263158,13.328754425048828,1.0,0.75,0.67,1.0,1.9895278215408325,0.01,21145.409059781356
8,base_explicit_plus_redteam,1.0,0.85,0.63,1.0,1.0,0.8,0.68,1.0,0.7444444444444445,0.5,0.5,0.8473684210526315,15.53681468963623,1.0,0.8,0.67,1.0,1.9886791706085205,0.01,22845.767168203107
9,base_explicit_plus_redteam,1.0,0.85,0.61,1.0,1.0,0.7,0.64,1.0,0.6296296296296297,0.5,0.5,0.6842105263157895,19.687950134277344,1.0,0.7,0.63,1.0,1.9881014823913574,0.01,20223.19947589641
10,base_explicit_plus_redteam,1.0,0.85,0.64,1.0,1.0,0.8,0.6,1.0,0.5111111111111111,0.5,0.5,0.5157894736842106,25.095781326293945,1.0,0.75,0.6,1.0,1.986056923866272,0.01,20256.553109516793
11,base_explicit_plus_redteam,1.0,0.85,0.55,1.0,1.0,0.75,0.57,1.0,0.4777777777777778,0.55,0.5,0.4842105263157895,23.577123641967773,0.9962962962962963,0.8,0.58,1.0,1.7587279081344604,0.01,68817.46357529788
